"","comid","FlowMetric","hydro.endpoint","MedDelta"
"1",20324447,"ds_mag_50","DS_Mag_50",9.372564769
"2",20324447,"fa_mag","FA_Mag",37.56584924
"3",20324447,"peak_10","Peak_10",812.9390749
"4",20324447,"peak_2","Peak_2",720.2190206
"5",20324447,"peak_5","Peak_5",710.9193556
"6",20324447,"q99","Q99",19.57543055
"7",20324447,"sp_mag","SP_Mag",288.5785248
"8",20324447,"wet_bfl_mag_10","Wet_BFL_Mag_10",9.679192491
"9",20324447,"wet_bfl_mag_50","Wet_BFL_Mag_50",41.82809574
"10",20324955,"ds_mag_50","DS_Mag_50",1.490482934
"11",20324955,"fa_mag","FA_Mag",34.58271833
"12",20324955,"peak_10","Peak_10",4364.72972
"13",20324955,"peak_2","Peak_2",790.1700138
"14",20324955,"peak_5","Peak_5",2077.175116
"15",20324955,"q99","Q99",392.3337971
"16",20324955,"sp_mag","SP_Mag",255.4396785
"17",20324955,"wet_bfl_mag_10","Wet_BFL_Mag_10",33.39303273
"18",20324955,"wet_bfl_mag_50","Wet_BFL_Mag_50",90.13204745
"19",20324957,"ds_mag_50","DS_Mag_50",1.30623951
"20",20324957,"fa_mag","FA_Mag",19.42028271
"21",20324957,"peak_10","Peak_10",-279.2412454
"22",20324957,"peak_2","Peak_2",-105.8118625
"23",20324957,"peak_5","Peak_5",-123.2476045
"24",20324957,"q99","Q99",-89.48721282
"25",20324957,"sp_mag","SP_Mag",159.7003305
"26",20324957,"wet_bfl_mag_10","Wet_BFL_Mag_10",4.700141259
"27",20324957,"wet_bfl_mag_50","Wet_BFL_Mag_50",15.90780744
"28",20324959,"ds_mag_50","DS_Mag_50",0.867126707
"29",20324959,"fa_mag","FA_Mag",13.79750151
"30",20324959,"peak_10","Peak_10",-39.53031475
"31",20324959,"peak_2","Peak_2",-22.37317199
"32",20324959,"peak_5","Peak_5",-39.95381798
"33",20324959,"q99","Q99",-32.12316923
"34",20324959,"sp_mag","SP_Mag",124.2833974
"35",20324959,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.576181419
"36",20324959,"wet_bfl_mag_50","Wet_BFL_Mag_50",14.72506851
"37",20324965,"ds_mag_50","DS_Mag_50",0.694376124
"38",20324965,"fa_mag","FA_Mag",17.75932002
"39",20324965,"peak_10","Peak_10",-126.8887055
"40",20324965,"peak_2","Peak_2",-60.75277156
"41",20324965,"peak_5","Peak_5",-83.76849597
"42",20324965,"q99","Q99",-59.73862967
"43",20324965,"sp_mag","SP_Mag",124.6681114
