"","comid","FlowMetric","hydro.endpoint","MedDelta"
"44",20324965,"wet_bfl_mag_10","Wet_BFL_Mag_10",3.144803863
"45",20324965,"wet_bfl_mag_50","Wet_BFL_Mag_50",12.70912238
"46",20324967,"ds_mag_50","DS_Mag_50",0.693186896
"47",20324967,"fa_mag","FA_Mag",18.03452815
"48",20324967,"peak_10","Peak_10",-114.0358947
"49",20324967,"peak_2","Peak_2",-64.45940027
"50",20324967,"peak_5","Peak_5",-78.16642171
"51",20324967,"q99","Q99",-62.09813736
"52",20324967,"sp_mag","SP_Mag",118.5990924
"53",20324967,"wet_bfl_mag_10","Wet_BFL_Mag_10",3.059553913
"54",20324967,"wet_bfl_mag_50","Wet_BFL_Mag_50",13.16486305
"55",20324975,"ds_mag_50","DS_Mag_50",1.177250833
"56",20324975,"fa_mag","FA_Mag",16.73253452
"57",20324975,"peak_10","Peak_10",-53.82129614
"58",20324975,"peak_2","Peak_2",-8.408223776
"59",20324975,"peak_5","Peak_5",-20.3669681
"60",20324975,"q99","Q99",-35.61840836
"61",20324975,"sp_mag","SP_Mag",167.2113934
"62",20324975,"wet_bfl_mag_10","Wet_BFL_Mag_10",3.488780819
"63",20324975,"wet_bfl_mag_50","Wet_BFL_Mag_50",13.63443973
"64",20324977,"ds_mag_50","DS_Mag_50",1.471693723
"65",20324977,"fa_mag","FA_Mag",32.75254565
"66",20324977,"peak_10","Peak_10",1514.982896
"67",20324977,"peak_2","Peak_2",246.624142
"68",20324977,"peak_5","Peak_5",722.6607389
"69",20324977,"q99","Q99",1.526552483
"70",20324977,"sp_mag","SP_Mag",204.6202035
"71",20324977,"wet_bfl_mag_10","Wet_BFL_Mag_10",4.570081402
"72",20324977,"wet_bfl_mag_50","Wet_BFL_Mag_50",21.95873693
"73",20324983,"ds_mag_50","DS_Mag_50",0.593239261
"74",20324983,"fa_mag","FA_Mag",13.82441655
"75",20324983,"peak_10","Peak_10",15.14564449
"76",20324983,"peak_2","Peak_2",-6.389444222
"77",20324983,"peak_5","Peak_5",-3.388860972
"78",20324983,"q99","Q99",-11.29834612
"79",20324983,"sp_mag","SP_Mag",147.3955463
"80",20324983,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.545294023
"81",20324983,"wet_bfl_mag_50","Wet_BFL_Mag_50",12.1438981
"82",20324987,"ds_mag_50","DS_Mag_50",4.970616966
"83",20324987,"fa_mag","FA_Mag",12.28345282
"84",20324987,"peak_10","Peak_10",-78.50196533
"85",20324987,"peak_2","Peak_2",-16.70214902
"86",20324987,"peak_5","Peak_5",-40.66893573
"87",20324987,"q99","Q99",-24.50260287
"88",20324987,"sp_mag","SP_Mag",107.66716
"89",20324987,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.074007093
"90",20324987,"wet_bfl_mag_50","Wet_BFL_Mag_50",13.65918074
"91",20324989,"ds_mag_50","DS_Mag_50",0.57614677
"92",20324989,"fa_mag","FA_Mag",13.90114514
"93",20324989,"peak_10","Peak_10",-14.30521675
"94",20324989,"peak_2","Peak_2",-4.758460539
"95",20324989,"peak_5","Peak_5",-24.48355311
"96",20324989,"q99","Q99",-20.5858357
"97",20324989,"sp_mag","SP_Mag",126.2782791
"98",20324989,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.987250932
"99",20324989,"wet_bfl_mag_50","Wet_BFL_Mag_50",10.36598576
"100",20324991,"ds_mag_50","DS_Mag_50",0.675540709
"101",20324991,"fa_mag","FA_Mag",13.72199242
"102",20324991,"peak_10","Peak_10",0.737430769
"103",20324991,"peak_2","Peak_2",-5.613143024
"104",20324991,"peak_5","Peak_5",-17.56069048
"105",20324991,"q99","Q99",-19.09653291
"106",20324991,"sp_mag","SP_Mag",140.0454695
"107",20324991,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.49084011
"108",20324991,"wet_bfl_mag_50","Wet_BFL_Mag_50",10.02094206
"109",20324993,"ds_mag_50","DS_Mag_50",0.574390859
"110",20324993,"fa_mag","FA_Mag",13.45688838
"111",20324993,"peak_10","Peak_10",6.674589111
"112",20324993,"peak_2","Peak_2",-4.439960539
"113",20324993,"peak_5","Peak_5",-8.828824575
"114",20324993,"q99","Q99",-17.98499078
"115",20324993,"sp_mag","SP_Mag",140.9844431
"116",20324993,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.367392258
"117",20324993,"wet_bfl_mag_50","Wet_BFL_Mag_50",10.02663761
"118",20325005,"ds_mag_50","DS_Mag_50",0.475397519
"119",20325005,"fa_mag","FA_Mag",9.87631074
"120",20325005,"peak_10","Peak_10",-47.32849764
"121",20325005,"peak_2","Peak_2",-16.09535331
"122",20325005,"peak_5","Peak_5",-73.5496702
"123",20325005,"q99","Q99",-18.6462286
"124",20325005,"sp_mag","SP_Mag",85.23372045
"125",20325005,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.00754985
"126",20325005,"wet_bfl_mag_50","Wet_BFL_Mag_50",7.654042791
"127",20325007,"ds_mag_50","DS_Mag_50",0.370225941
"128",20325007,"fa_mag","FA_Mag",11.46478002
"129",20325007,"peak_10","Peak_10",-58.70661465
"130",20325007,"peak_2","Peak_2",-11.53446354
"131",20325007,"peak_5","Peak_5",-67.92035315
"132",20325007,"q99","Q99",-20.65866669
"133",20325007,"sp_mag","SP_Mag",116.0830107
"134",20325007,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.793928866
"135",20325007,"wet_bfl_mag_50","Wet_BFL_Mag_50",9.109515901
"136",20325009,"ds_mag_50","DS_Mag_50",4.032310689
"137",20325009,"fa_mag","FA_Mag",10.99326595
"138",20325009,"peak_10","Peak_10",-49.70121425
"139",20325009,"peak_2","Peak_2",-15.86200466
"140",20325009,"peak_5","Peak_5",-76.44914822
"141",20325009,"q99","Q99",-19.46309787
"142",20325009,"sp_mag","SP_Mag",111.6292716
"143",20325009,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.522518515
"144",20325009,"wet_bfl_mag_50","Wet_BFL_Mag_50",8.506454379
"145",20325017,"ds_mag_50","DS_Mag_50",2.829495338
"146",20325017,"fa_mag","FA_Mag",17.25912564
"147",20325017,"peak_10","Peak_10",-63.61789141
"148",20325017,"peak_2","Peak_2",-55.5759682
"149",20325017,"peak_5","Peak_5",-90.60775688
"150",20325017,"q99","Q99",-37.59163057
"151",20325017,"sp_mag","SP_Mag",74.4374339
"152",20325017,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.997774759
"153",20325017,"wet_bfl_mag_50","Wet_BFL_Mag_50",20.80160223
"154",20325019,"ds_mag_50","DS_Mag_50",0.412334249
"155",20325019,"fa_mag","FA_Mag",10.04253075
"156",20325019,"peak_10","Peak_10",-33.12413533
"157",20325019,"peak_2","Peak_2",-16.73088045
"158",20325019,"peak_5","Peak_5",-66.36898059
"159",20325019,"q99","Q99",-19.06907466
"160",20325019,"sp_mag","SP_Mag",95.40052048
"161",20325019,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.962719797
"162",20325019,"wet_bfl_mag_50","Wet_BFL_Mag_50",7.240947469
"163",20325033,"ds_mag_50","DS_Mag_50",0.918769564
"164",20325033,"fa_mag","FA_Mag",12.57371919
"165",20325033,"peak_10","Peak_10",77.3827037
"166",20325033,"peak_2","Peak_2",-2.19050666
"167",20325033,"peak_5","Peak_5",-1.520642557
"168",20325033,"q99","Q99",-3.379408267
"169",20325033,"sp_mag","SP_Mag",128.6641344
"170",20325033,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.604612354
"171",20325033,"wet_bfl_mag_50","Wet_BFL_Mag_50",13.93902889
"172",20325035,"ds_mag_50","DS_Mag_50",2.833881036
"173",20325035,"fa_mag","FA_Mag",15.31739457
"174",20325035,"peak_10","Peak_10",-73.90255361
"175",20325035,"peak_2","Peak_2",-32.17786563
"176",20325035,"peak_5","Peak_5",-47.09207466
"177",20325035,"q99","Q99",-34.30376482
"178",20325035,"sp_mag","SP_Mag",72.20032751
"179",20325035,"wet_bfl_mag_10","Wet_BFL_Mag_10",3.069954545
"180",20325035,"wet_bfl_mag_50","Wet_BFL_Mag_50",20.60568149
"181",20325043,"ds_mag_50","DS_Mag_50",0.423524725
"182",20325043,"fa_mag","FA_Mag",9.477846163
"183",20325043,"peak_10","Peak_10",-42.14285611
"184",20325043,"peak_2","Peak_2",-16.73301732
"185",20325043,"peak_5","Peak_5",-71.69569654
"186",20325043,"q99","Q99",-19.37903431
"187",20325043,"sp_mag","SP_Mag",80.73787562
"188",20325043,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.926334998
"189",20325043,"wet_bfl_mag_50","Wet_BFL_Mag_50",6.212358392
"190",20325049,"ds_mag_50","DS_Mag_50",1.521728438
"191",20325049,"fa_mag","FA_Mag",21.65226052
"192",20325049,"peak_10","Peak_10",176.6021507
"193",20325049,"peak_2","Peak_2",-40.66098052
"194",20325049,"peak_5","Peak_5",5.018062837
"195",20325049,"q99","Q99",-20.58170638
"196",20325049,"sp_mag","SP_Mag",176.3022882
"197",20325049,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.56631352
"198",20325049,"wet_bfl_mag_50","Wet_BFL_Mag_50",11.28751998
"199",20325051,"ds_mag_50","DS_Mag_50",0.589126207
"200",20325051,"fa_mag","FA_Mag",14.63567388
"201",20325051,"peak_10","Peak_10",-8.170103397
"202",20325051,"peak_2","Peak_2",-25.83285714
"203",20325051,"peak_5","Peak_5",-62.83468801
"204",20325051,"q99","Q99",-18.69744191
"205",20325051,"sp_mag","SP_Mag",102.6300042
"206",20325051,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.793127389
"207",20325051,"wet_bfl_mag_50","Wet_BFL_Mag_50",10.59686697
"208",20325055,"ds_mag_50","DS_Mag_50",0.515293873
"209",20325055,"fa_mag","FA_Mag",9.73652632
"210",20325055,"peak_10","Peak_10",48.57174809
"211",20325055,"peak_2","Peak_2",-3.806785215
"212",20325055,"peak_5","Peak_5",-4.375323743
"213",20325055,"q99","Q99",-11.66860937
"214",20325055,"sp_mag","SP_Mag",142.1482924
"215",20325055,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.004931352
"216",20325055,"wet_bfl_mag_50","Wet_BFL_Mag_50",12.87711813
"217",20325057,"ds_mag_50","DS_Mag_50",1.38094647
"218",20325057,"fa_mag","FA_Mag",19.63422043
"219",20325057,"peak_10","Peak_10",126.039541
"220",20325057,"peak_2","Peak_2",-39.48021778
"221",20325057,"peak_5","Peak_5",3.862203663
"222",20325057,"q99","Q99",-20.18007426
"223",20325057,"sp_mag","SP_Mag",160.2931782
"224",20325057,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.72006382
"225",20325057,"wet_bfl_mag_50","Wet_BFL_Mag_50",8.89289702
"226",20325059,"ds_mag_50","DS_Mag_50",0.415765235
"227",20325059,"fa_mag","FA_Mag",9.377256289
"228",20325059,"peak_10","Peak_10",-43.17227839
"229",20325059,"peak_2","Peak_2",-16.94322095
"230",20325059,"peak_5","Peak_5",-68.25942784
"231",20325059,"q99","Q99",-20.19548779
"232",20325059,"sp_mag","SP_Mag",92.55702431
"233",20325059,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.216202481
"234",20325059,"wet_bfl_mag_50","Wet_BFL_Mag_50",7.195960456
"235",20325065,"ds_mag_50","DS_Mag_50",0.426172244
"236",20325065,"fa_mag","FA_Mag",8.499991273
"237",20325065,"peak_10","Peak_10",-50.51144789
"238",20325065,"peak_2","Peak_2",-17.84384932
"239",20325065,"peak_5","Peak_5",-90.14557669
"240",20325065,"q99","Q99",-24.62833958
"241",20325065,"sp_mag","SP_Mag",77.13210956
"242",20325065,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.390698268
"243",20325065,"wet_bfl_mag_50","Wet_BFL_Mag_50",6.529177323
"244",20325071,"ds_mag_50","DS_Mag_50",0.829017816
"245",20325071,"fa_mag","FA_Mag",10.64231596
"246",20325071,"peak_10","Peak_10",59.41739953
"247",20325071,"peak_2","Peak_2",-37.26180486
"248",20325071,"peak_5","Peak_5",-48.0861016
"249",20325071,"q99","Q99",-17.77418197
"250",20325071,"sp_mag","SP_Mag",72.85846737
"251",20325071,"wet_bfl_mag_10","Wet_BFL_Mag_10",0.705975358
"252",20325071,"wet_bfl_mag_50","Wet_BFL_Mag_50",6.959816101
"253",20325075,"ds_mag_50","DS_Mag_50",0.416476357
"254",20325075,"fa_mag","FA_Mag",8.447741281
"255",20325075,"peak_10","Peak_10",-64.75102198
"256",20325075,"peak_2","Peak_2",-20.68754379
"257",20325075,"peak_5","Peak_5",-88.69410932
"258",20325075,"q99","Q99",-25.75780301
"259",20325075,"sp_mag","SP_Mag",65.12232817
"260",20325075,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.306121795
"261",20325075,"wet_bfl_mag_50","Wet_BFL_Mag_50",5.736810689
"262",20325077,"ds_mag_50","DS_Mag_50",0.141290959
"263",20325077,"fa_mag","FA_Mag",5.483760726
"264",20325077,"peak_10","Peak_10",-133.2127554
"265",20325077,"peak_2","Peak_2",-53.06861355
"266",20325077,"peak_5","Peak_5",-115.5781933
"267",20325077,"q99","Q99",-33.75208853
"268",20325077,"sp_mag","SP_Mag",76.80764519
"269",20325077,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.057564602
"270",20325077,"wet_bfl_mag_50","Wet_BFL_Mag_50",3.16107659
"271",20325081,"ds_mag_50","DS_Mag_50",0.449039128
"272",20325081,"fa_mag","FA_Mag",9.968036167
"273",20325081,"peak_10","Peak_10",48.63552997
"274",20325081,"peak_2","Peak_2",-3.686393773
"275",20325081,"peak_5","Peak_5",1.409004429
"276",20325081,"q99","Q99",-18.72364375
"277",20325081,"sp_mag","SP_Mag",128.3227979
"278",20325081,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.093799667
"279",20325081,"wet_bfl_mag_50","Wet_BFL_Mag_50",10.19310897
"280",20325083,"ds_mag_50","DS_Mag_50",0.448235931
"281",20325083,"fa_mag","FA_Mag",9.926510931
"282",20325083,"peak_10","Peak_10",41.23351249
"283",20325083,"peak_2","Peak_2",-3.676032634
"284",20325083,"peak_5","Peak_5",-0.722140926
"285",20325083,"q99","Q99",-18.54154919
"286",20325083,"sp_mag","SP_Mag",128.2003248
"287",20325083,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.946312721
"288",20325083,"wet_bfl_mag_50","Wet_BFL_Mag_50",11.01949492
"289",20325087,"ds_mag_50","DS_Mag_50",0.498495588
"290",20325087,"fa_mag","FA_Mag",10.26661019
"291",20325087,"peak_10","Peak_10",46.83310583
"292",20325087,"peak_2","Peak_2",-10.10347169
"293",20325087,"peak_5","Peak_5",-3.254892541
"294",20325087,"q99","Q99",-18.95861247
"295",20325087,"sp_mag","SP_Mag",129.6506377
"296",20325087,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.383949051
"297",20325087,"wet_bfl_mag_50","Wet_BFL_Mag_50",10.11432642
"298",20325093,"ds_mag_50","DS_Mag_50",1.39359324
"299",20325093,"fa_mag","FA_Mag",19.99608218
"300",20325093,"peak_10","Peak_10",117.0043618
"301",20325093,"peak_2","Peak_2",-42.15154163
"302",20325093,"peak_5","Peak_5",-5.259678122
"303",20325093,"q99","Q99",-20.71789028
"304",20325093,"sp_mag","SP_Mag",153.535488
"305",20325093,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.693744439
"306",20325093,"wet_bfl_mag_50","Wet_BFL_Mag_50",9.342228771
"307",20325097,"ds_mag_50","DS_Mag_50",0.170222527
"308",20325097,"fa_mag","FA_Mag",4.083228344
"309",20325097,"peak_10","Peak_10",-148.1896465
"310",20325097,"peak_2","Peak_2",-53.74599767
"311",20325097,"peak_5","Peak_5",-103.6211982
"312",20325097,"q99","Q99",-35.40533965
"313",20325097,"sp_mag","SP_Mag",63.5622033
"314",20325097,"wet_bfl_mag_10","Wet_BFL_Mag_10",0.903464819
"315",20325097,"wet_bfl_mag_50","Wet_BFL_Mag_50",2.840262155
"316",20325111,"ds_mag_50","DS_Mag_50",0.955517899
"317",20325111,"fa_mag","FA_Mag",17.96147428
"318",20325111,"peak_10","Peak_10",156.0633771
"319",20325111,"peak_2","Peak_2",-36.61857259
"320",20325111,"peak_5","Peak_5",49.33743463
"321",20325111,"q99","Q99",-21.12783616
"322",20325111,"sp_mag","SP_Mag",148.9314664
"323",20325111,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.224301082
"324",20325111,"wet_bfl_mag_50","Wet_BFL_Mag_50",12.58080661
"325",20325115,"ds_mag_50","DS_Mag_50",0.471490343
"326",20325115,"fa_mag","FA_Mag",9.768932342
"327",20325115,"peak_10","Peak_10",54.98464962
"328",20325115,"peak_2","Peak_2",-7.103001832
"329",20325115,"peak_5","Peak_5",-7.764794539
"330",20325115,"q99","Q99",-18.66057892
"331",20325115,"sp_mag","SP_Mag",144.0115571
"332",20325115,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.716845438
"333",20325115,"wet_bfl_mag_50","Wet_BFL_Mag_50",11.84405711
"334",20325121,"ds_mag_50","DS_Mag_50",2.132432401
"335",20325121,"fa_mag","FA_Mag",20.24883001
"336",20325121,"peak_10","Peak_10",1076.216483
"337",20325121,"peak_2","Peak_2",84.30447286
"338",20325121,"peak_5","Peak_5",315.8917601
"339",20325121,"q99","Q99",180.3117606
"340",20325121,"sp_mag","SP_Mag",151.5245346
"341",20325121,"wet_bfl_mag_10","Wet_BFL_Mag_10",3.531724442
"342",20325121,"wet_bfl_mag_50","Wet_BFL_Mag_50",20.85323377
"343",20325127,"ds_mag_50","DS_Mag_50",0.459905511
"344",20325127,"fa_mag","FA_Mag",10.87087269
"345",20325127,"peak_10","Peak_10",-31.97218188
"346",20325127,"peak_2","Peak_2",-2.574063603
"347",20325127,"peak_5","Peak_5",-27.24585541
"348",20325127,"q99","Q99",-21.93694467
"349",20325127,"sp_mag","SP_Mag",74.89902362
"350",20325127,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.734981019
"351",20325127,"wet_bfl_mag_50","Wet_BFL_Mag_50",11.47365176
"352",20325133,"ds_mag_50","DS_Mag_50",0.154732101
"353",20325133,"fa_mag","FA_Mag",3.501610002
"354",20325133,"peak_10","Peak_10",-117.1584416
"355",20325133,"peak_2","Peak_2",-55.46217349
"356",20325133,"peak_5","Peak_5",-102.5769071
"357",20325133,"q99","Q99",-36.04652977
"358",20325133,"sp_mag","SP_Mag",59.01401066
"359",20325133,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.159459124
"360",20325133,"wet_bfl_mag_50","Wet_BFL_Mag_50",2.36875691
"361",20325137,"ds_mag_50","DS_Mag_50",0.953796703
"362",20325137,"fa_mag","FA_Mag",9.743993152
"363",20325137,"peak_10","Peak_10",65.48182474
"364",20325137,"peak_2","Peak_2",-29.88181052
"365",20325137,"peak_5","Peak_5",-3.168068065
"366",20325137,"q99","Q99",-12.51921435
"367",20325137,"sp_mag","SP_Mag",20.60889294
"368",20325137,"wet_bfl_mag_10","Wet_BFL_Mag_10",0.046885631
"369",20325137,"wet_bfl_mag_50","Wet_BFL_Mag_50",-0.012042291
"370",20325141,"ds_mag_50","DS_Mag_50",0.938658342
"371",20325141,"fa_mag","FA_Mag",16.91513954
"372",20325141,"peak_10","Peak_10",175.1651604
"373",20325141,"peak_2","Peak_2",-29.34072111
"374",20325141,"peak_5","Peak_5",56.20841615
"375",20325141,"q99","Q99",-14.05354798
"376",20325141,"sp_mag","SP_Mag",121.8850205
"377",20325141,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.336271162
"378",20325141,"wet_bfl_mag_50","Wet_BFL_Mag_50",15.14050092
"379",20325143,"ds_mag_50","DS_Mag_50",0.348948968
"380",20325143,"fa_mag","FA_Mag",10.07665241
"381",20325143,"peak_10","Peak_10",-24.41964419
"382",20325143,"peak_2","Peak_2",-10.41882085
"383",20325143,"peak_5","Peak_5",-35.21814186
"384",20325143,"q99","Q99",-24.94283243
"385",20325143,"sp_mag","SP_Mag",66.58817499
"386",20325143,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.201150716
"387",20325143,"wet_bfl_mag_50","Wet_BFL_Mag_50",11.93404021
"388",20325145,"ds_mag_50","DS_Mag_50",0.822049534
"389",20325145,"fa_mag","FA_Mag",14.10697336
"390",20325145,"peak_10","Peak_10",186.2052091
"391",20325145,"peak_2","Peak_2",-33.90743956
"392",20325145,"peak_5","Peak_5",55.14047716
"393",20325145,"q99","Q99",-20.53153646
"394",20325145,"sp_mag","SP_Mag",83.3203325
"395",20325145,"wet_bfl_mag_10","Wet_BFL_Mag_10",-0.694588129
"396",20325145,"wet_bfl_mag_50","Wet_BFL_Mag_50",7.0560502
"397",20325149,"ds_mag_50","DS_Mag_50",0.979128538
"398",20325149,"fa_mag","FA_Mag",14.6126145
"399",20325149,"peak_10","Peak_10",47.00235425
"400",20325149,"peak_2","Peak_2",-34.0800691
"401",20325149,"peak_5","Peak_5",-60.26011232
"402",20325149,"q99","Q99",-12.64648882
"403",20325149,"sp_mag","SP_Mag",114.3754474
"404",20325149,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.724274392
"405",20325149,"wet_bfl_mag_50","Wet_BFL_Mag_50",11.66997519
"406",20325155,"ds_mag_50","DS_Mag_50",0.576016817
"407",20325155,"fa_mag","FA_Mag",8.9787292
"408",20325155,"peak_10","Peak_10",23.57568089
"409",20325155,"peak_2","Peak_2",-39.78566567
"410",20325155,"peak_5","Peak_5",-77.91450293
"411",20325155,"q99","Q99",-22.58332959
"412",20325155,"sp_mag","SP_Mag",104.7072174
"413",20325155,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.847985997
"414",20325155,"wet_bfl_mag_50","Wet_BFL_Mag_50",12.56680245
"415",20325157,"ds_mag_50","DS_Mag_50",0.569654762
"416",20325157,"fa_mag","FA_Mag",13.2664703
"417",20325157,"peak_10","Peak_10",163.7911473
"418",20325157,"peak_2","Peak_2",-31.91728422
"419",20325157,"peak_5","Peak_5",59.71826294
"420",20325157,"q99","Q99",-21.05989553
"421",20325157,"sp_mag","SP_Mag",76.66726041
"422",20325157,"wet_bfl_mag_10","Wet_BFL_Mag_10",0.56949001
"423",20325157,"wet_bfl_mag_50","Wet_BFL_Mag_50",7.546149267
"424",20325161,"ds_mag_50","DS_Mag_50",0.621671245
"425",20325161,"fa_mag","FA_Mag",9.247154931
"426",20325161,"peak_10","Peak_10",37.02048741
"427",20325161,"peak_2","Peak_2",-37.34673676
"428",20325161,"peak_5","Peak_5",-50.24922441
"429",20325161,"q99","Q99",-22.76146179
"430",20325161,"sp_mag","SP_Mag",109.9792448
"431",20325161,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.159571995
"432",20325161,"wet_bfl_mag_50","Wet_BFL_Mag_50",13.42698643
"433",20325163,"ds_mag_50","DS_Mag_50",0.117003164
"434",20325163,"fa_mag","FA_Mag",3.556017063
"435",20325163,"peak_10","Peak_10",-113.3455696
"436",20325163,"peak_2","Peak_2",-52.96127539
"437",20325163,"peak_5","Peak_5",-109.8424085
"438",20325163,"q99","Q99",-34.25966966
"439",20325163,"sp_mag","SP_Mag",65.1752664
"440",20325163,"wet_bfl_mag_10","Wet_BFL_Mag_10",0.975829038
"441",20325163,"wet_bfl_mag_50","Wet_BFL_Mag_50",3.203275558
"442",20325167,"ds_mag_50","DS_Mag_50",0.416444306
"443",20325167,"fa_mag","FA_Mag",8.371533493
"444",20325167,"peak_10","Peak_10",42.7787049
"445",20325167,"peak_2","Peak_2",-11.86356244
"446",20325167,"peak_5","Peak_5",-11.60389144
"447",20325167,"q99","Q99",-15.71049201
"448",20325167,"sp_mag","SP_Mag",116.8547289
"449",20325167,"wet_bfl_mag_10","Wet_BFL_Mag_10",2.432751082
"450",20325167,"wet_bfl_mag_50","Wet_BFL_Mag_50",13.18083941
"451",20325169,"ds_mag_50","DS_Mag_50",0.619917999
"452",20325169,"fa_mag","FA_Mag",9.076089769
"453",20325169,"peak_10","Peak_10",20.64957766
"454",20325169,"peak_2","Peak_2",-38.39613919
"455",20325169,"peak_5","Peak_5",-68.5483049
"456",20325169,"q99","Q99",-23.82454149
"457",20325169,"sp_mag","SP_Mag",110.0835776
"458",20325169,"wet_bfl_mag_10","Wet_BFL_Mag_10",1.119067865
"459",20325169,"wet_bfl_mag_50","Wet_BFL_Mag_50",12.11050932
"460",20325173,"ds_mag_50","DS_Mag_50",0.704175325
"461",20325173,"fa_mag","FA_Mag",12.80702285
"462",20325173,"peak_10","Peak_10",4500.428894
"463",20325173,"peak_2","Peak_2",843.303303
"464",20325173,"peak_5","Peak_5",2138.492037
"465",20325173,"q99","Q99",193.4839386
"466",20325173,"sp_mag","SP_Mag",149.0483685
"467",20325173,"wet_bfl_mag_10","Wet_BFL_Mag_10",13.89261642
"468",20325173,"wet_bfl_mag_50","Wet_BFL_Mag_50",49.19726382
"469",20325177,"ds_mag_50","DS_Mag_50",0.069373876
"470",20325177,"fa_mag","FA_Mag",6.975757121
"471",20325177,"peak_10","Peak_10",54.23579953
"472",20325177,"peak_2","Peak_2",-33.03520646
"473",20325177,"peak_5","Peak_5",-59.9284321
"474",20325177,"q99","Q99",-21.36560589
"475",20325177,"sp_mag","SP_Mag",19.74280936
