"","site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
"2",101010,"DS_Dur_WS",19,"Current","ds_dur_ws",0.559148144173855,0.735526255164351,"CSCI"
"3",101011,"DS_Dur_WS",20.5,"Current","ds_dur_ws",0.541444358207673,0.712028257693228,"CSCI"
"4",101012,"DS_Dur_WS",29,"Current","ds_dur_ws",0.440465330515134,0.578000149700487,"CSCI"
"5",101020,"DS_Dur_WS",104,"Current","ds_dur_ws",0.0215284029320954,0.0219507892014948,"CSCI"
"6",201010,"DS_Dur_WS",29.5,"Current","ds_dur_ws",0.434596230142905,0.570210171558646,"CSCI"
"7",201020,"DS_Dur_WS",28.5,"Current","ds_dur_ws",0.446351120162894,0.585812279293718,"CSCI"
"8",201030,"DS_Dur_WS",25,"Current","ds_dur_ws",0.487881866853008,0.640935481899214,"CSCI"
"9",201031,"DS_Dur_WS",72,"Current","ds_dur_ws",0.0919307708899571,0.115394907165587,"CSCI"
"10",201050,"DS_Dur_WS",46,"Current","ds_dur_ws",0.259198488223347,0.337407103111055,"CSCI"
"11",201061,"DS_Dur_WS",26.5,"Current","ds_dur_ws",0.470028743130984,0.617239270429354,"CSCI"
"12",201070,"DS_Dur_WS",22,"Current","ds_dur_ws",0.523635313953007,0.688390552308704,"CSCI"
"13",201080,"DS_Dur_WS",22,"Current","ds_dur_ws",0.523635313953007,0.688390552308704,"CSCI"
"14",201090,"DS_Dur_WS",34,"Current","ds_dur_ws",0.382780401840154,0.501435718187596,"CSCI"
"15",201091,"DS_Dur_WS",135,"Current","ds_dur_ws",0.0049903096631007,0,"CSCI"
"16",201100,"DS_Dur_WS",4,"Current","ds_dur_ws",0.721753154997392,0.951349703347821,"CSCI"
"17",203010,"DS_Dur_WS",19.5,"Current","ds_dur_ws",0.553261313317903,0.727712743589464,"CSCI"
"18",204010,"DS_Dur_WS",46,"Current","ds_dur_ws",0.259198488223347,0.337407103111055,"CSCI"
"19",205010,"DS_Dur_WS",16,"Current","ds_dur_ws",0.594065883964046,0.781872102479416,"CSCI"
"20",207010,"DS_Dur_WS",59,"Current","ds_dur_ws",0.158395955259007,0.203613254201926,"CSCI"
"21",301010,"DS_Dur_WS",7,"Current","ds_dur_ws",0.692126709971201,0.912026920546806,"CSCI"
"22",301011,"DS_Dur_WS",45,"Current","ds_dur_ws",0.26846182910835,0.349702211123869,"CSCI"
"23",301020,"DS_Dur_WS",3,"Current","ds_dur_ws",0.731230082088876,0.963928301465482,"CSCI"
"24",401080,"DS_Dur_WS",13,"Current","ds_dur_ws",0.628057664222293,0.826988936137089,"CSCI"
