"","biol.endpoints","hydro.endpoints","thresholds","comb_code","InterceptCoef","VariableCoef","Deviance","AIC","NullDeviance","InterceptPvalue","VariablePvalue","Delta","McFadden","Nagelkerke","n"
"1","CSCI","d_ds_mag_50",0.63,"CSCI_d_ds_mag_50_0.63",1.57123579240222,-0.158394991841999,227.255476035313,231.255476035313,294.260590320962,3.3232399580203e-13,4.30786458667041e-09,"Positive",-11.2203,-19.3095,224
"2","OoverE","d_ds_mag_50",0.63,"OoverE_d_ds_mag_50_0.63",1.72339914242303,-0.0744272883503397,221.602049654039,225.602049654039,251.926144789226,1.03704141853353e-15,8.60536580943565e-06,"Positive",-10.9163,-18.5154,224
"3","MMI","d_ds_mag_50",0.63,"MMI_d_ds_mag_50_0.63",1.08603709042636,-0.250694087639359,233.477612877243,237.477612877243,310.369203381557,3.46441902907986e-07,1.05339079551312e-07,"Positive",-11.5548,-20.2069,224
"4","CSCI","d_fa_mag",0.63,"CSCI_d_fa_mag_0.63",1.60496396560509,-0.0222220479387756,243.28915224426,247.28915224426,311.63371685745,8.14161340651207e-12,0.000120160655169945,"Positive",-12.0824,-20.7431,241
"5","OoverE","d_fa_mag",0.63,"OoverE_d_fa_mag_0.63",1.62836913302065,-0.00657734419929802,233.229245013729,237.229245013729,270.494849157615,5.75805565956866e-18,3.36222744006693e-06,"Positive",-11.5415,-19.3446,241
"6","MMI","d_fa_mag",0.63,"MMI_d_fa_mag_0.63",1.51812214542252,-0.0492644226251646,257.417495541571,261.417495541571,333.993199146984,8.89215901214909e-08,2.80654472809953e-06,"Positive",-12.8422,-22.8085,241
"7","CSCI","d_peak_10",0.63,"CSCI_d_peak_10_0.63",0.798482016610002,0.00107957539119922,145.932183239848,149.932183239848,149.411588682728,0.00159921772225676,0.219148010462782,"Positive",-6.84725,-12.4776,130
"8","OoverE","d_peak_10",0.63,"OoverE_d_peak_10_0.63",1.18086325958057,0.000917035949736112,127.799026464631,131.799026464631,130.104630119929,1.58722951971282e-05,0.320578685439925,"Positive",-5.87217,-9.87628,130
"9","MMI","d_peak_10",0.63,"MMI_d_peak_10_0.63",0.215988982472984,0.000581309961328124,172.530505356036,176.530505356036,175.761979316459,0.297005039783919,0.218521309027846,"Positive",-8.27752,-17.0138,130
"10","CSCI","d_peak_2",0.63,"CSCI_d_peak_2_0.63",0.270291662179981,0.000179821609835932,70.8279077010461,74.8279077010461,70.8516358849732,0.478720098458211,0.877911339028378,"Positive",-2.80865,-5.75522,52
"11","OoverE","d_peak_2",0.63,"OoverE_d_peak_2_0.63",0.546974927050068,0.00127401455315631,63.3276142253093,67.3276142253093,64.1931440519555,0.183794454541299,0.381208078050118,"Positive",-2.40533,-4.53546,52
"12","MMI","d_peak_2",0.63,"MMI_d_peak_2_0.63",-0.669786549646349,0.000520533966260211,68.0748517160835,72.0748517160835,68.271166467356,0.0890660672337811,0.656371792865066,"Positive",-2.6606,-5.28694,52
"13","CSCI","d_peak_5",0.63,"CSCI_d_peak_5_0.63",0.682917642679052,0.000770790196633032,112.230402720761,116.230402720761,113.789708070261,0.0111081416658427,0.359214796590886,"Positive",-5.03499,-9.58329,93
"14","OoverE","d_peak_5",0.63,"OoverE_d_peak_5_0.63",1.66010198495324,0.000311615610137453,78.5473584533787,82.5473584533787,78.797139807489,3.00262081093255e-07,0.667991642813825,"Positive",-3.22375,-4.99497,93
"15","MMI","d_peak_5",0.63,"MMI_d_peak_5_0.63",0.22932276462067,0.000404431251638744,125.555635456457,129.555635456457,126.495420299452,0.328536263690644,0.402484690651848,"Positive",-5.75153,-11.9097,93
"16","CSCI","d_sp_mag",0.63,"CSCI_d_sp_mag_0.63",1.43042769218268,-0.00354922692946853,267.95523959078,271.95523959078,278.113939157283,4.47499439394404e-07,0.0128419562481322,"Positive",-13.4088,-25.4998,226
"17","OoverE","d_sp_mag",0.63,"OoverE_d_sp_mag_0.63",1.72902872997631,-0.00186540868533384,221.000713853773,225.000713853773,225.626270273516,1.29299762030944e-12,0.0544901519233537,"Positive",-10.8839,-18.3411,226
"18","MMI","d_sp_mag",0.63,"MMI_d_sp_mag_0.63",0.793091395485852,-0.00377195441787094,301.334987171816,305.334987171816,311.530296674154,0.0024899598669639,0.00756310224699222,"Positive",-15.2038,-31.5734,226
"19","CSCI","d_wet_bfl_mag_10",0.63,"CSCI_d_wet_bfl_mag_10_0.63",1.48187558102625,-0.117236141750577,213.638507174212,217.638507174212,241.554601994625,2.19614432398511e-10,3.46499175334596e-05,"Positive",-10.488,-19.0836,192
"20","OoverE","d_wet_bfl_mag_10",0.63,"OoverE_d_wet_bfl_mag_10_0.63",2.04457158923912,-0.0915246940191017,172.258433505286,176.258433505286,193.80641051447,6.60630373666992e-15,0.00014193491862539,"Positive",-8.26289,-13.2835,192
"21","MMI","d_wet_bfl_mag_10",0.63,"MMI_d_wet_bfl_mag_10_0.63",0.699368148702886,-0.110773947518527,244.44627976114,248.44627976114,265.835087484026,0.000961161935592418,0.000355395768858824,"Positive",-12.1447,-24.2904,192
"22","CSCI","d_wet_bfl_mag_50",0.63,"CSCI_d_wet_bfl_mag_50_0.63",1.29306772114105,-0.0310475147299299,230.113060443907,234.113060443907,244.592291512536,1.01950154988669e-07,0.00380858848574287,"Positive",-11.3739,-21.608,194
"23","OoverE","d_wet_bfl_mag_50",0.63,"OoverE_d_wet_bfl_mag_50_0.63",1.76990886756832,-0.0243451883598844,190.962546710446,194.962546710446,202.7050394435,1.59394037738793e-12,0.00695291358090616,"Positive",-9.26867,-15.66,194
"24","MMI","d_wet_bfl_mag_50",0.63,"MMI_d_wet_bfl_mag_50_0.63",0.530648831474658,-0.0252499424023085,258.823393402084,262.823393402084,268.425413629557,0.0149916466128478,0.0146331646201455,"Positive",-12.9178,-26.7995,194
"25","CSCI","delta_q99",0.63,"CSCI_delta_q99_0.63",0.00124566286374033,0.00442937310226849,31.7678730565842,35.7678730565842,34.6464790055632,0.998046875201418,0.271292596151534,"Positive",-0.708261,-1.29101,26
"26","OoverE","delta_q99",0.63,"OoverE_delta_q99_0.63",2.27771193833797,0.00182479245919471,13.8896038073639,17.8896038073639,14.1018473981759,0.00696444898104245,0.705221600211918,"Positive",0.253111,0.324108,26
"27","MMI","delta_q99",0.63,"MMI_delta_q99_0.63",-1.51645882563957,0.00698680354554787,26.1444713984102,30.1444713984102,33.5417238871538,0.0161419441659778,0.15332830903324,"Positive",-0.405873,-0.659249,26
"28","CSCI","d_ds_mag_50",0.79,"CSCI_d_ds_mag_50_0.79",1.05901592965078,-0.29426037084797,228.12765696175,232.12765696175,309.081947621342,1.54420367836905e-06,1.71169228709743e-07,"Positive",-11.2672,-19.4338,224
"29","OoverE","d_ds_mag_50",0.79,"OoverE_d_ds_mag_50_0.79",1.41992806841864,-0.193969440649726,229.614990970802,233.614990970802,304.719055045846,3.06193807939985e-11,6.79143269809966e-09,"Positive",-11.3471,-19.6469,224
"30","MMI","d_ds_mag_50",0.79,"MMI_d_ds_mag_50_0.79",0.111384395569615,-0.261097344264158,227.172253744281,231.172253744281,275.009309065252,0.598828561336983,4.27315711742775e-05,"Positive",-11.2158,-19.2977,224
"31","CSCI","d_fa_mag",0.79,"CSCI_d_fa_mag_0.79",1.26936400638193,-0.0479871308481912,264.478236513239,268.478236513239,333.162727350085,5.11513090488542e-06,6.96152696630849e-06,"Positive",-13.2219,-23.887,241
"32","OoverE","d_fa_mag",0.79,"OoverE_d_fa_mag_0.79",1.34018841352765,-0.0267793065544991,263.763011365153,267.763011365153,327.757899209956,1.02141196934554e-08,6.2820262231022e-05,"Positive",-13.1834,-23.7763,241
"33","MMI","d_fa_mag",0.79,"MMI_d_fa_mag_0.79",0.0325495210782148,-0.0286829674278722,265.229270948545,269.229270948545,297.260554801082,0.896246546816294,0.00230669352544488,"Positive",-13.2622,-24.0036,241
"34","CSCI","d_peak_10",0.79,"CSCI_d_peak_10_0.79",-0.156155213526097,0.00148546860923147,171.066140140619,175.066140140619,179.10899619771,0.497633311937691,0.0549730250601509,"Positive",-8.19878,-16.7392,130
"35","OoverE","d_peak_10",0.79,"OoverE_d_peak_10_0.79",0.503793522262752,0.00102150533564076,159.473129582452,163.473129582452,163.583429834484,0.0331315961961562,0.18686202796268,"Positive",-7.57539,-14.671,130
"36","MMI","d_peak_10",0.79,"MMI_d_peak_10_0.79",-0.484808860994399,0.000577656704170568,172.473085429173,176.473085429173,177.129089712433,0.0168628805431205,0.128655449577408,"Positive",-8.27444,-17.003,130
"37","CSCI","d_peak_2",0.79,"CSCI_d_peak_2_0.79",-0.669786549646348,0.000520533966260211,68.0748517160835,72.0748517160835,68.271166467356,0.0890660672337811,0.656371792865066,"Positive",-2.6606,-5.28694,52
"38","OoverE","d_peak_2",0.79,"OoverE_d_peak_2_0.79",0.205036434091175,-0.000928655537998824,71.4576331285377,75.4576331285377,72.0873067782343,0.590383359775375,0.436213256136546,"Positive",-2.84251,-5.86586,52
"39","MMI","d_peak_2",0.79,"MMI_d_peak_2_0.79",-1.28901978095809,0.00161983538842509,60.6946079535686,64.6946079535686,62.4799151637295,0.00308287059544338,0.184677900008054,"Positive",-2.26375,-4.14731,52
