"","site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
"2",101010,"DS_Dur_WS",19,"Current","ds_dur_ws",0.506778343178051,0.805283802919609,"ASCI"
"3",101011,"DS_Dur_WS",20.5,"Current","ds_dur_ws",0.498258635951246,0.789626403199706,"ASCI"
"4",101012,"DS_Dur_WS",29,"Current","ds_dur_ws",0.450144117091793,0.701202208088514,"ASCI"
"5",101020,"DS_Dur_WS",104,"Current","ds_dur_ws",0.129643521254588,0.112190660402745,"ASCI"
"6",201010,"DS_Dur_WS",29.5,"Current","ds_dur_ws",0.4473339326826,0.696037690176099,"ASCI"
"7",201020,"DS_Dur_WS",28.5,"Current","ds_dur_ws",0.452957486487013,0.706372579324054,"ASCI"
"8",201030,"DS_Dur_WS",25,"Current","ds_dur_ws",0.472725341702956,0.742701669336371,"ASCI"
"9",201031,"DS_Dur_WS",72,"Current","ds_dur_ws",0.23558063751478,0.306880422656657,"ASCI"
"10",201050,"DS_Dur_WS",46,"Current","ds_dur_ws",0.357476378639808,0.530898724241426,"ASCI"
"11",201061,"DS_Dur_WS",26.5,"Current","ds_dur_ws",0.464239274319661,0.727106092454076,"ASCI"
"12",201070,"DS_Dur_WS",22,"Current","ds_dur_ws",0.489739939797707,0.773970861616222,"ASCI"
"13",201080,"DS_Dur_WS",22,"Current","ds_dur_ws",0.489739939797707,0.773970861616222,"ASCI"
"14",201090,"DS_Dur_WS",34,"Current","ds_dur_ws",0.422214271947923,0.649873126244401,"ASCI"
"15",201091,"DS_Dur_WS",135,"Current","ds_dur_ws",0.0685968853308524,0,"ASCI"
"16",201100,"DS_Dur_WS",4,"Current","ds_dur_ws",0.590956333965736,0.95998494631504,"ASCI"
"17",203010,"DS_Dur_WS",19.5,"Current","ds_dur_ws",0.503938633817076,0.800065024460503,"ASCI"
"18",204010,"DS_Dur_WS",46,"Current","ds_dur_ws",0.357476378639808,0.530898724241426,"ASCI"
"19",205010,"DS_Dur_WS",16,"Current","ds_dur_ws",0.523801015787506,0.836567834430541,"ASCI"
"20",207010,"DS_Dur_WS",59,"Current","ds_dur_ws",0.292825872403307,0.412084920986056,"ASCI"
"21",301010,"DS_Dur_WS",7,"Current","ds_dur_ws",0.57438364528388,0.929527889022165,"ASCI"
