"","comid","comid_wy","wayr","WYT","abs_FFM_median_cfs","hydro","FlowMetric","Scenario","hydro.endpoints","PredictedProbability","PredictedProbabilityScaled","index"
"7196",20350801,"20350801_1996",1996,"moderate",2.317210956,2.077210956,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.739791970067803,0.975498413119742,"CSCI"
"7197",20329666,"20329666_1997",1997,"moderate",1.596730353,0.746730353,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.751821143323409,0.991360390698048,"CSCI"
"7198",20333290,"20333290_1991",1991,"wet",4.762027306,4.172027306,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.720102317293625,0.949535130008569,"CSCI"
"7199",20334618,"20334618_2000",2000,"moderate",3.342128205,1.902128205,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.741396330278553,0.977613963802212,"CSCI"
"7200",20325267,"20325267_2009",2009,"moderate",1.283862887,0.613862887,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.753001745330782,0.992917162902749,"CSCI"
"7201",20348749,"20348749_1994",1994,"moderate",6.002156593,4.412156593,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.717787963979613,0.946483364139454,"CSCI"
"7202",22547431,"22547431_2006",2006,"dry",8.859175907,8.759175907,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.673964615021119,0.888696767852632,"CSCI"
"7203",20348399,"20348399_2002",2002,"dry",107.8916506,107.7516506,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.0180647187843749,0.0238102767654641,"CSCI"
"7204",20332994,"20332994_1990",1990,"dry",11.29548993,11.25548993,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.64727960024044,0.853509220285251,"CSCI"
"7205",948070495,"948070495_2008",2008,"wet",9.193852314,4.873852314,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.713305700307678,0.940572935853689,"CSCI"
"7206",20348591,"20348591_2006",2006,"moderate",27.40179554,26.90179554,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.465257640897386,0.613490378049909,"CSCI"
"7207",22547481,"22547481_2002",2002,"dry",3.028866134,2.268866134,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.738028368685523,0.9731728829284,"CSCI"
"7208",20334540,"20334540_2002",2002,"dry",5.805192557,0.435192557,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.754583371502068,0.995002735895432,"CSCI"
"7209",20341767,"20341767_1994",1994,"moderate",4.846422411,4.396422411,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.717939964271346,0.94668379563779,"CSCI"
"7210",20325043,"20325043_1992",1992,"wet",47.00235839,6.212358392,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.700073864119924,0.923125095967256,"CSCI"
"7211",20348297,"20348297_2014",2014,"dry",8.51545288,8.48545288,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.676826955354604,0.892471123515027,"CSCI"
"7212",20325535,"20325535_1996",1996,"moderate",2.071693723,1.031693723,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.749276363332921,0.988004778280376,"CSCI"
"7213",20348831,"20348831_1990",1990,"dry",7.788363553,6.838363553,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.693767116528855,0.91480885620947,"CSCI"
"7214",20331362,"20331362_2004",2004,"moderate",29.88029004,29.63029004,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.433069797881653,0.571046659486651,"CSCI"
"7215",20333134,"20333134_1990",1990,"dry",2.633502997,2.493502997,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.735951482155717,0.97043424687516,"CSCI"
"7216",20348915,"20348915_2004",2004,"dry",8.000012904,7.910012904,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.682801193150446,0.900348907295467,"CSCI"
"7217",20330882,"20330882_1994",1994,"moderate",2.245347486,1.925347486,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.741183932725298,0.977333890919743,"CSCI"
"7218",20326355,"20326355_2001",2001,"moderate",8.602223443,7.762223443,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.684325975148946,0.902359524098308,"CSCI"
"7219",20332432,"20332432_1990",1990,"dry",35.21321645,35.19321645,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.369426628351711,0.487125137479657,"CSCI"
"7220",20351111,"20351111_1990",1990,"dry",18.55054212,18.50054212,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.565012035823084,0.745029091644505,"CSCI"
"7221",20325497,"20325497_2012",2012,"dry",8.336467532,0.986467532,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.749681398962784,0.988538868690646,"CSCI"
"7222",20329544,"20329544_2014",2014,"dry",1.172200383,1.022200383,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.749361419707514,0.988116935805921,"CSCI"
"7223",22545365,"22545365_1996",1996,"moderate",6.273084166,5.053084166,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.711554243135353,0.938263419330279,"CSCI"
"7224",20332700,"20332700_2014",2014,"dry",10.62768556,9.387685564,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.667343189366779,0.879965585498383,"CSCI"
"7225",20351061,"20351061_2000",2000,"moderate",1.866132867,1.436132867,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.745634950094582,0.983203117026311,"CSCI"
"7226",20333280,"20333280_2001",2001,"moderate",23.06978813,22.97978813,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.511967189299709,0.67508279123634,"CSCI"
"7227",948070382,"948070382_2009",2009,"moderate",1.842166417,1.082166417,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.748823826596206,0.987408051687566,"CSCI"
"7228",20330028,"20330028_2000",2000,"moderate",1.839803613,1.479803613,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.745239678174708,0.982681901295425,"CSCI"
"7229",20342721,"20342721_1999",1999,"dry",3.192296454,2.772296454,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.733359252766349,0.967016066458412,"CSCI"
"7230",20331196,"20331196_2006",2006,"moderate",9.970215784,8.650215784,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.675105588393692,0.890201284719139,"CSCI"
"7231",20348717,"20348717_1994",1994,"moderate",5.819288628,4.189288628,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.719936341101465,0.949316269528083,"CSCI"
"7232",20333588,"20333588_2002",2002,"dry",3.91123668,3.81123668,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.723557696713853,0.954091482280132,"CSCI"
"7233",20348579,"20348579_2009",2009,"moderate",5.351617466,3.111617466,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.730182470352851,0.962827079373154,"CSCI"
"7234",20333382,"20333382_2004",2004,"dry",3.873001915,3.783001915,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.723826993142717,0.954446583484993,"CSCI"
"7235",20343463,"20343463_1992",1992,"wet",5.81210706,5.21210706,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.709994953711305,0.936207300147624,"CSCI"
"7236",20325415,"20325415_1992",1992,"wet",8.027910589,5.427910589,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.707870952145787,0.933406536995191,"CSCI"
"7237",20325277,"20325277_2000",2000,"moderate",5.922717449,5.692717449,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.705252204850936,0.929953389385498,"CSCI"
"7238",20342487,"20342487_2001",2001,"moderate",16.5642008,16.4242008,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.589177405307545,0.776894170049238,"CSCI"
"7239",20342973,"20342973_1999",1999,"dry",4.452820013,4.362820013,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.718264414239589,0.947111623719754,"CSCI"
"7240",20325221,"20325221_1999",1999,"moderate",6.903527806,5.563527806,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.706531503526978,0.931640305558717,"CSCI"
"7241",20329978,"20329978_2004",2004,"dry",9.943302864,8.763302864,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.673921359037246,0.888639729398556,"CSCI"
"7242",20331920,"20331920_1990",1990,"dry",61.89614727,61.86614727,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.141010662566734,0.185929963811342,"CSCI"
"7243",20343017,"20343017_2002",2002,"dry",8.1347003,7.6847003,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.685124220487389,0.903412110954556,"CSCI"
"7244",20350669,"20350669_2004",2004,"moderate",5.050580669,4.970580669,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.712361259059015,0.939327571306018,"CSCI"
"7245",948070498,"948070498_1991",1991,"wet",12.23270388,6.742703879,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.694735638392999,0.916085974076734,"CSCI"
"7246",20333254,"20333254_2014",2014,"dry",37.64626257,37.60626257,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.343040315010156,0.452331465320778,"CSCI"
"7247",20331908,"20331908_1992",1992,"wet",23.21476016,13.15476016,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.626331657015428,0.825886722987532,"CSCI"
"7248",20348829,"20348829_1996",1996,"moderate",9.714059191,6.664059191,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.695530601516111,0.917134232919336,"CSCI"
"7249",20325121,"20325121_1999",1999,"dry",21.04323377,20.85323377,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.537258343785949,0.708432358730787,"CSCI"
"7250",20333232,"20333232_2007",2007,"dry",5.637116134,5.527116134,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.706891482659974,0.932114983312118,"CSCI"
"7251",20330016,"20330016_2012",2012,"dry",1.860854645,1.450854645,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.745501745745645,0.983027470342098,"CSCI"
"7252",20334572,"20334572_2007",2007,"dry",3.984842158,3.814842158,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.723523296846836,0.954046121729765,"CSCI"
"7253",20332590,"20332590_1996",1996,"moderate",13.45792224,12.87792224,"wet_bfl_mag_50","Current","Wet_BFL_Mag_50",0.629416873376017,0.82995496871781,"CSCI"
