COMID,FlowMetric,PredictedProbabilityScaled,Index,IndexCode
20350503,DS_Mag_50,9.883123e-01,ASCI,ASCI_DS_Mag_50
20341901,DS_Mag_50,9.794746e-01,ASCI,ASCI_DS_Mag_50
22548341,DS_Mag_50,9.760381e-01,ASCI,ASCI_DS_Mag_50
20329870,DS_Mag_50,9.937054e-01,ASCI,ASCI_DS_Mag_50
20332444,DS_Mag_50,9.972935e-01,ASCI,ASCI_DS_Mag_50
22549175,DS_Mag_50,9.986495e-01,ASCI,ASCI_DS_Mag_50
20344495,DS_Mag_50,9.974402e-01,ASCI,ASCI_DS_Mag_50
20351617,DS_Mag_50,9.987813e-01,ASCI,ASCI_DS_Mag_50
20348891,DS_Mag_50,9.962418e-01,ASCI,ASCI_DS_Mag_50
22545235,DS_Mag_50,9.890682e-01,ASCI,ASCI_DS_Mag_50
20343485,DS_Mag_50,9.964311e-01,ASCI,ASCI_DS_Mag_50
22549643,DS_Mag_50,9.968439e-01,ASCI,ASCI_DS_Mag_50
20331502,DS_Mag_50,9.499726e-01,ASCI,ASCI_DS_Mag_50
22549527,DS_Mag_50,9.963934e-01,ASCI,ASCI_DS_Mag_50
22545277,DS_Mag_50,9.977653e-01,ASCI,ASCI_DS_Mag_50
20333646,DS_Mag_50,9.472281e-01,ASCI,ASCI_DS_Mag_50
20332524,DS_Mag_50,9.731502e-01,ASCI,ASCI_DS_Mag_50
22547519,DS_Mag_50,9.861955e-01,ASCI,ASCI_DS_Mag_50
20333520,DS_Mag_50,9.541928e-01,ASCI,ASCI_DS_Mag_50
20329814,DS_Mag_50,9.965344e-01,ASCI,ASCI_DS_Mag_50
20331510,DS_Mag_50,9.828211e-01,ASCI,ASCI_DS_Mag_50
20331406,DS_Mag_50,8.562624e-01,ASCI,ASCI_DS_Mag_50
22547125,DS_Mag_50,9.412455e-01,ASCI,ASCI_DS_Mag_50
22549073,DS_Mag_50,9.966460e-01,ASCI,ASCI_DS_Mag_50
20331154,DS_Mag_50,9.898166e-01,ASCI,ASCI_DS_Mag_50
20342725,DS_Mag_50,9.862641e-01,ASCI,ASCI_DS_Mag_50
20334590,DS_Mag_50,9.979626e-01,ASCI,ASCI_DS_Mag_50
20333084,DS_Mag_50,9.865031e-01,ASCI,ASCI_DS_Mag_50
20331138,DS_Mag_50,9.712754e-01,ASCI,ASCI_DS_Mag_50
20350987,DS_Mag_50,9.637081e-01,ASCI,ASCI_DS_Mag_50
20325145,DS_Mag_50,9.908274e-01,ASCI,ASCI_DS_Mag_50
948070165,DS_Mag_50,9.900080e-01,ASCI,ASCI_DS_Mag_50
22549685,DS_Mag_50,9.919938e-01,ASCI,ASCI_DS_Mag_50
20326477,DS_Mag_50,9.944533e-01,ASCI,ASCI_DS_Mag_50
20344503,DS_Mag_50,9.647386e-01,ASCI,ASCI_DS_Mag_50
948070418,DS_Mag_50,9.976322e-01,ASCI,ASCI_DS_Mag_50
20329968,DS_Mag_50,9.932840e-01,ASCI,ASCI_DS_Mag_50
20325217,DS_Mag_50,9.967391e-01,ASCI,ASCI_DS_Mag_50
20329680,DS_Mag_50,9.956593e-01,ASCI,ASCI_DS_Mag_50
22545223,DS_Mag_50,9.868565e-01,ASCI,ASCI_DS_Mag_50
20342719,DS_Mag_50,9.985447e-01,ASCI,ASCI_DS_Mag_50
20341481,DS_Mag_50,9.947764e-01,ASCI,ASCI_DS_Mag_50
22549715,DS_Mag_50,9.860514e-01,ASCI,ASCI_DS_Mag_50
948070419,DS_Mag_50,9.820814e-01,ASCI,ASCI_DS_Mag_50
20348711,DS_Mag_50,9.968823e-01,ASCI,ASCI_DS_Mag_50
