"","hydro","biol.endpoints","Condition","hydro.endpoints","thresholds","comb_code","PredictedProbability","Type","PredictedProbabilityScaled","comb_code_type","Flow.Metric.Name","Flow.Component"
"11",18,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.835727210260864,"Positive",0.944658704302643,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"12",3,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.866403188921612,"Positive",0.991559867350805,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"13",0,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"14",0,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"15",0,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"16",1,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.870105362347275,"Positive",0.997220199866676,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"17",156.5,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.351006268483007,"Positive",0.203558439023368,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"18",0.5,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871017163730411,"Positive",0.99861427259736,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"19",161.5,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.33280276613039,"Positive",0.175726713055318,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"20",166,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.316833821543601,"Positive",0.15131145047951,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"21",10.5,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.851719174729179,"Positive",0.969109162470049,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"22",9,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.854758852010658,"Positive",0.973756590393021,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"23",163,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.327434670061975,"Positive",0.167519315607715,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"24",0,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"25",0.5,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871017163730411,"Positive",0.99861427259736,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"26",0,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"27",17,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.837936922580299,"Positive",0.948037180957928,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"28",164,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.323880757525074,"Positive",0.162085662351026,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"29",84.5,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.634270523341897,"Positive",0.636647246059618,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"30",162.5,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.329219109540408,"Positive",0.170247583476628,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"31",126,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.469780115261447,"Positive",0.385154325994726,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"32",162.5,"CSCI",0,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.329219109540408,"Positive",0.170247583476628,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"33",124,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.477849415830431,"Positive",0.397491653056268,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"34",0.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871017163730411,"Positive",0.99861427259736,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"35",48.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.756425635705729,"Positive",0.823412822653055,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"36",57,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.730197242688878,"Positive",0.783311668881272,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"37",163.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.325655206982699,"Positive",0.164798656262425,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"38",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"39",166,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.316833821543601,"Positive",0.15131145047951,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"40",43.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.771023353209857,"Positive",0.845731586672414,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"41",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"42",63,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.710645982619856,"Positive",0.753419327175234,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"43",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"44",137,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.425791248063395,"Positive",0.317898801547524,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"45",4,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.864518855831248,"Positive",0.988678869991745,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"46",163,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.327434670061975,"Positive",0.167519315607715,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"47",18,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.835727210260864,"Positive",0.944658704302643,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"48",152.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.36589094905271,"Positive",0.226315947040959,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"49",1,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.870105362347275,"Positive",0.997220199866676,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"50",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"51",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"52",1.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.869188083317446,"Positive",0.99581775224424,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"53",80,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.650992945216993,"Positive",0.662214516254899,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"54",2,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.868265307432386,"Positive",0.994406900361705,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"55",148.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.381036238717973,"Positive",0.249471905905641,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"56",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"57",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"58",42.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.773867924446638,"Positive",0.850080712770519,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"59",166,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.316833821543601,"Positive",0.15131145047951,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"60",86.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.626730266708671,"Positive",0.62511878564142,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"61",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"62",1,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.870105362347275,"Positive",0.997220199866676,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"63",47,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.760870321840273,"Positive",0.830208398807269,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"64",1,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.870105362347275,"Positive",0.997220199866676,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"65",43.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.771023353209857,"Positive",0.845731586672414,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"66",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"67",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"68",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"69",2,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.868265307432386,"Positive",0.994406900361705,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"70",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
