"","comid","comid_wy","wayr","WYT","abs_FFM_median_cfs","hydro","FlowMetric","Scenario","hydro.endpoints","PredictedProbability","PredictedProbabilityScaled","index"
"2",20332660,"20332660_2004",2004,"dry",0.289401598,0.289401598,"ds_mag_50","Current","DS_Mag_50",0.435677768866364,0.996774683198789,"ASCI"
"3",20348867,"20348867_2000",2000,"moderate",0.208837746,0.058837746,"ds_mag_50","Current","DS_Mag_50",0.435782149951151,0.999349290759298,"ASCI"
"4",20325361,"20325361_2013",2013,"dry",0.985499584,0.985499584,"ds_mag_50","Current","DS_Mag_50",0.435362665351133,0.989002509779551,"ASCI"
"5",20342991,"20342991_2000",2000,"dry",8.455527056,8.455527056,"ds_mag_50","Current","DS_Mag_50",0.431984535309685,0.905679375489356,"ASCI"
"6",20344477,"20344477_1990",1990,"dry",0.607699883,0.037699883,"ds_mag_50","Current","DS_Mag_50",0.435791719789404,0.999585335230087,"ASCI"
"7",20331374,"20331374_1997",1997,"moderate",12.65861888,12.56861888,"ds_mag_50","Current","DS_Mag_50",0.430127170506847,0.859866616657131,"ASCI"
"8",20332716,"20332716_1992",1992,"wet",0.482225275,0.372225275,"ds_mag_50","Current","DS_Mag_50",0.435640274244329,0.995849861066831,"ASCI"
"9",948070417,"948070417_1992",1992,"wet",0.252387196,0.182387196,"ds_mag_50","Current","DS_Mag_50",0.435726215819122,0.997969649615432,"ASCI"
"10",20350737,"20350737_2009",2009,"moderate",0.190598069,0.190598069,"ds_mag_50","Current","DS_Mag_50",0.435722498595817,0.997877962589532,"ASCI"
"11",20334722,"20334722_1997",1997,"moderate",0.328910839,0.268910839,"ds_mag_50","Current","DS_Mag_50",0.435687045231459,0.997003489018887,"ASCI"
"12",22548393,"22548393_2001",2001,"moderate",0.506063104,0.506063104,"ds_mag_50","Current","DS_Mag_50",0.435579686859964,0.99435544530964,"ASCI"
"13",20332844,"20332844_1992",1992,"wet",0.324082418,0.124082418,"ds_mag_50","Current","DS_Mag_50",0.435752611743827,0.998620717262907,"ASCI"
"14",20333790,"20333790_2011",2011,"wet",3.686869797,3.676869797,"ds_mag_50","Current","DS_Mag_50",0.434144852897433,0.958964604377775,"ASCI"
"15",20332970,"20332970_2000",2000,"moderate",0.810010573,0.810010573,"ds_mag_50","Current","DS_Mag_50",0.435442099261427,0.990961783784224,"ASCI"
"16",22547109,"22547109_1992",1992,"moderate",2.600465951,2.600465951,"ds_mag_50","Current","DS_Mag_50",0.434631818056511,0.97097582444527,"ASCI"
"17",948070184,"948070184_2000",2000,"moderate",3.332065768,3.312065768,"ds_mag_50","Current","DS_Mag_50",0.434309876066604,0.963034976896633,"ASCI"
"18",20334586,"20334586_1994",1994,"moderate",0.523892274,0.313892274,"ds_mag_50","Current","DS_Mag_50",0.435666681759162,0.996501214590149,"ASCI"
"19",22548209,"22548209_2007",2007,"dry",2.43423976,2.43423976,"ds_mag_50","Current","DS_Mag_50",0.434707030066222,0.972830963326413,"ASCI"
"20",20326323,"20326323_1991",1991,"wet",1.440364053,1.010364053,"ds_mag_50","Current","DS_Mag_50",0.435351410886202,0.988724913215367,"ASCI"
"21",20332082,"20332082_2002",2002,"dry",16.5386208,16.4486208,"ds_mag_50","Current","DS_Mag_50",0.428376863000941,0.816694475391313,"ASCI"
"22",22547503,"22547503_2009",2009,"dry",1.700478022,1.700478022,"ds_mag_50","Current","DS_Mag_50",0.435039069551276,0.981020870246302,"ASCI"
"23",20325637,"20325637_2005",2005,"wet",2.534210872,0.294210872,"ds_mag_50","Current","DS_Mag_50",0.43567559166796,0.996720981596788,"ASCI"
"24",22547119,"22547119_2008",2008,"wet",0.678881369,0.588881369,"ds_mag_50","Current","DS_Mag_50",0.435542196614071,0.993430731117246,"ASCI"
"25",20343051,"20343051_1991",1991,"wet",0.993960373,0.783960373,"ds_mag_50","Current","DS_Mag_50",0.435453890990321,0.991252632211624,"ASCI"
"26",20341789,"20341789_1990",1990,"dry",0.259262488,0.259262488,"ds_mag_50","Current","DS_Mag_50",0.435691413149011,0.997111225718266,"ASCI"
"27",948070390,"948070390_2011",2011,"wet",15.71856119,15.54856119,"ds_mag_50","Current","DS_Mag_50",0.428782730903522,0.826705394253492,"ASCI"
"28",20348873,"20348873_1992",1992,"wet",0.232651182,0.122651182,"ds_mag_50","Current","DS_Mag_50",0.435753259702125,0.998636699452932,"ASCI"
"29",20325083,"20325083_2001",2001,"dry",0.478235931,0.448235931,"ds_mag_50","Current","DS_Mag_50",0.435605864552837,0.9950011301684,"ASCI"
"30",20329228,"20329228_2009",2009,"moderate",3.143273726,3.133273726,"ds_mag_50","Current","DS_Mag_50",0.434390759960162,0.965030015406744,"ASCI"
"31",20348855,"20348855_2013",2013,"dry",0.190324259,0.060324259,"ds_mag_50","Current","DS_Mag_50",0.435781476957343,0.99933269105687,"ASCI"
"32",948070218,"948070218_2013",2013,"dry",0.382282218,0.382282218,"ds_mag_50","Current","DS_Mag_50",0.435635721474632,0.995737564904102,"ASCI"
"33",20325177,"20325177_2002",2002,"dry",0.069373876,0.069373876,"ds_mag_50","Current","DS_Mag_50",0.435777379900258,0.999231635255724,"ASCI"
"34",20342997,"20342997_2011",2011,"wet",0.585844822,0.415844822,"ds_mag_50","Current","DS_Mag_50",0.43562052779038,0.995362805679994,"ASCI"
"35",20330868,"20330868_2010",2010,"wet",2.309599983,1.539599983,"ds_mag_50","Current","DS_Mag_50",0.435111877361467,0.982816708438301,"ASCI"
"36",20332118,"20332118_1999",1999,"dry",1.514513403,1.484513403,"ds_mag_50","Current","DS_Mag_50",0.43513680827685,0.983431640955667,"ASCI"
"37",22550551,"22550551_2012",2012,"dry",0.67767649,0.65767649,"ds_mag_50","Current","DS_Mag_50",0.435511054937847,0.992662607321486,"ASCI"
"38",22549547,"22549547_1994",1994,"moderate",2.041691975,2.031691975,"ds_mag_50","Current","DS_Mag_50",0.434889182451478,0.977323835854033,"ASCI"
"39",20330038,"20330038_1997",1997,"moderate",0.345295205,0.185295205,"ds_mag_50","Current","DS_Mag_50",0.435724899305566,0.997937177201861,"ASCI"
"40",20327393,"20327393_2003",2003,"moderate",0.733390693,0.603390693,"ds_mag_50","Current","DS_Mag_50",0.435535628596231,0.993268727930336,"ASCI"
"41",20325467,"20325467_1990",1990,"dry",0.085504496,0.085504496,"ds_mag_50","Current","DS_Mag_50",0.435770077063666,0.999051507425654,"ASCI"
