COMID,FlowMetric,PredictedProbabilityScaled,Index,IndexCode
20332660,DS_Mag_50,0.991585594697048,ASCI,ASCI_DS_Mag_50
20348867,DS_Mag_50,0.998301187330448,ASCI,ASCI_DS_Mag_50
20325361,DS_Mag_50,0.971374233560065,ASCI,ASCI_DS_Mag_50
20342991,DS_Mag_50,0.763362256199973,ASCI,ASCI_DS_Mag_50
20344477,DS_Mag_50,0.998917361780597,ASCI,ASCI_DS_Mag_50
20331374,DS_Mag_50,0.658546666366339,ASCI,ASCI_DS_Mag_50
20332716,DS_Mag_50,0.989175674434077,ASCI,ASCI_DS_Mag_50
948070417,DS_Mag_50,0.994701341050692,ASCI,ASCI_DS_Mag_50
20350737,DS_Mag_50,0.99446220286302,ASCI,ASCI_DS_Mag_50
20334722,DS_Mag_50,0.992182018408027,ASCI,ASCI_DS_Mag_50
22548393,DS_Mag_50,0.98528423333892,ASCI,ASCI_DS_Mag_50
20332844,DS_Mag_50,0.996399806828491,ASCI,ASCI_DS_Mag_50
20333790,DS_Mag_50,0.894323424953282,ASCI,ASCI_DS_Mag_50
20332970,DS_Mag_50,0.976460155634949,ASCI,ASCI_DS_Mag_50
22547109,DS_Mag_50,0.924908127095185,ASCI,ASCI_DS_Mag_50
948070184,DS_Mag_50,0.904650964801171,ASCI,ASCI_DS_Mag_50
20334586,DS_Mag_50,0.990872851414792,ASCI,ASCI_DS_Mag_50
22548209,DS_Mag_50,0.929660423867877,ASCI,ASCI_DS_Mag_50
20326323,DS_Mag_50,0.970654161826671,ASCI,ASCI_DS_Mag_50
20332082,DS_Mag_50,0.567684190130966,ASCI,ASCI_DS_Mag_50
22547503,DS_Mag_50,0.950724226138603,ASCI,ASCI_DS_Mag_50
20325637,DS_Mag_50,0.991445623026382,ASCI,ASCI_DS_Mag_50
22547119,DS_Mag_50,0.982878014698383,ASCI,ASCI_DS_Mag_50
20343051,DS_Mag_50,0.977215685562632,ASCI,ASCI_DS_Mag_50
20341789,DS_Mag_50,0.992462880425148,ASCI,ASCI_DS_Mag_50
948070390,DS_Mag_50,0.588024713974304,ASCI,ASCI_DS_Mag_50
20348873,DS_Mag_50,0.996441507888571,ASCI,ASCI_DS_Mag_50
20325083,DS_Mag_50,0.986965169947207,ASCI,ASCI_DS_Mag_50
20329228,DS_Mag_50,0.909727015719814,ASCI,ASCI_DS_Mag_50
20348855,DS_Mag_50,0.998257858159089,ASCI,ASCI_DS_Mag_50
948070218,DS_Mag_50,0.988883138316053,ASCI,ASCI_DS_Mag_50
20325177,DS_Mag_50,0.997994086923461,ASCI,ASCI_DS_Mag_50
