"","X","metric","Threshold25","Threshold50","Threshold75","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1",1,"H_ASCI_d_ds_mag_50_0.86_Positive",3.52765188311036,10.9759457748749,0.388193656232124,240,"Positive","ASCI","H_ASCI",0.86,"d_ds_mag_50"
"2",2,"H_ASCI_d_fa_mag_0.86_Positive",80.5975522712965,245.669463083764,8.87410764245216,250,"Positive","ASCI","H_ASCI",0.86,"d_fa_mag"
"3",3,"H_ASCI_d_peak_10_0.86_Positive",6036.04623472095,4402.96715583071,7246.5008526429,131,"Positive","ASCI","H_ASCI",0.86,"d_peak_10"
"4",4,"H_ASCI_d_peak_2_0.86_Positive",1063.20957385847,819.245405131947,1209.94026460871,54,"Positive","ASCI","H_ASCI",0.86,"d_peak_2"
"5",5,"H_ASCI_d_peak_5_0.86_Positive",4445.88735188342,3357.96145831429,4935.45400398953,96,"Positive","ASCI","H_ASCI",0.86,"d_peak_5"
"6",6,"H_ASCI_d_sp_mag_0.86_Positive",159.184097960753,483.707918251024,15.9384167423215,232,"Positive","ASCI","H_ASCI",0.86,"d_sp_mag"
"7",7,"H_ASCI_d_wet_bfl_mag_10_0.86_Positive",5.36162692117574,16.0362870649559,0.792305535376002,202,"Positive","ASCI","H_ASCI",0.86,"d_wet_bfl_mag_10"
"8",8,"H_ASCI_d_wet_bfl_mag_50_0.86_Positive",10.3284594807663,31.9773861800458,1.05527065559881,204,"Positive","ASCI","H_ASCI",0.86,"d_wet_bfl_mag_50"
"9",9,"H_ASCI_delta_q99_0.86_Positive",841.637936419684,624.394513771342,985.91855021202,29,"Positive","ASCI","H_ASCI",0.86,"delta_q99"
"10",10,"H_ASCI_d_ds_mag_50_0.86_Negative",-1.7328674616023,-4.49969211400143,-0.585310710313283,35,"Negative","ASCI","H_ASCI",0.86,"d_ds_mag_50"
"11",11,"H_ASCI_d_fa_mag_0.86_Negative",-0.591128777765477,-1.40186417643384,-0.358562867637452,25,"Negative","ASCI","H_ASCI",0.86,"d_fa_mag"
