"","d_ds_mag_50","d_fa_mag","d_peak_10","d_peak_2","d_peak_5","d_sp_mag","d_wet_bfl_mag_10","d_wet_bfl_mag_50","delta_q99"
"d_ds_mag_50",1,0.453430732959866,-0.258325340960824,-0.298789339135287,-0.264201852874825,0.165465269046417,0.263370985033082,0.215855059595422,-0.230619202705771
"d_fa_mag",0.453430732959866,1,0.0599021259146042,0.155545124991669,0.243635190839781,0.521597480397506,0.394119986127727,0.447457634777383,0.151535947601667
"d_peak_10",-0.258325340960824,0.0599021259146042,1,0.398755562182917,0.687791382697389,0.439151215687869,0.435091768251698,0.467030192528628,0.701647275984813
"d_peak_2",-0.298789339135287,0.155545124991669,0.398755562182917,1,0.766194580098258,0.200800592847646,0.114085328037469,0.184168550381318,0.528246117627389
"d_peak_5",-0.264201852874825,0.243635190839781,0.687791382697389,0.766194580098258,1,0.444021197014524,0.383219293756686,0.43936924083193,0.753619160908205
"d_sp_mag",0.165465269046417,0.521597480397506,0.439151215687869,0.200800592847646,0.444021197014524,1,0.609497762700529,0.697451704041599,0.439226903173113
"d_wet_bfl_mag_10",0.263370985033082,0.394119986127727,0.435091768251698,0.114085328037469,0.383219293756686,0.609497762700529,1,0.794512431387035,0.398251167225285
"d_wet_bfl_mag_50",0.215855059595422,0.447457634777383,0.467030192528628,0.184168550381318,0.43936924083193,0.697451704041599,0.794512431387035,1,0.499125640095841
"delta_q99",-0.230619202705771,0.151535947601667,0.701647275984813,0.528246117627389,0.753619160908205,0.439226903173113,0.398251167225285,0.499125640095841,1
