"","biol.endpoints","hydro.endpoints","thresholds","comb_code","InterceptCoef","VariableCoef","Deviance","AIC","NullDeviance","InterceptPvalue","VariablePvalue","Delta","McFadden","Nagelkerke","n"
"1","H_ASCI","d_ds_mag_50",0.75,"H_ASCI_d_ds_mag_50_0.75",0.376961824417286,-0.0328165795993674,323.450163665632,327.450163665632,331.359378187506,0.015647649941053,0.0132483758193835,"Positive",-10.1165,-21.1009,240
"2","D_ASCI","d_ds_mag_50",0.75,"D_ASCI_d_ds_mag_50_0.75",0.151830254047885,-0.0699290522454965,304.307060625873,308.307060625873,323.341572289796,0.36058551695748,0.000619821271433454,"Positive",-9.45856,-19.0495,236
"3","H_ASCI","d_fa_mag",0.75,"H_ASCI_d_fa_mag_0.75",0.291989315539942,-0.00128164623488942,341.900268688619,345.900268688619,343.864694657633,0.0381988638006378,0.171964469198839,"Positive",-10.7506,-22.7052,250
"4","D_ASCI","d_fa_mag",0.75,"D_ASCI_d_fa_mag_0.75",-0.0247505498286027,-0.00199596126933254,335.728584084116,339.728584084116,339.710161881976,0.861823249798715,0.0682219214637272,"Positive",-10.5385,-22.2145,246
"5","H_ASCI","d_peak_10",0.75,"H_ASCI_d_peak_10_0.75",0.0331196462052304,0.000210399937544604,180.335963755414,184.335963755414,181.230337298689,0.863560143775412,0.385682747946699,"Positive",-5.19786,-10.9073,131
"6","D_ASCI","d_peak_10",0.75,"D_ASCI_d_peak_10_0.75",-0.0940724979530764,5.66083917001933e-06,179.940856476344,183.940856476344,179.94124546891,0.63054855751785,0.98426251001335,"Positive",-5.18428,-10.9256,130
"7","H_ASCI","d_peak_2",0.75,"H_ASCI_d_peak_2_0.75",-0.69768045825473,0.00125258753713651,71.2118213297228,75.2118213297228,72.9973113019932,0.0626595943431185,0.194994421551213,"Positive",-1.44744,-2.83577,54
"8","D_ASCI","d_peak_2",0.75,"D_ASCI_d_peak_2_0.75",-0.927281826366371,0.000988905260406425,64.0235604634185,68.0235604634185,64.9244451660709,0.0181647914681395,0.343655496569346,"Positive",-1.20039,-2.26204,51
"9","H_ASCI","d_peak_5",0.75,"H_ASCI_d_peak_5_0.75",0.50760130391682,1.12866703461377e-05,127.018984220507,131.018984220507,127.020141726333,0.0280765556370661,0.972904722185906,"Positive",-3.36544,-6.78202,96
"10","D_ASCI","d_peak_5",0.75,"D_ASCI_d_peak_5_0.75",0.449793423348565,-0.000344341044336244,125.319876910369,129.319876910369,125.800307211728,0.0623855801351083,0.492067498975525,"Positive",-3.30705,-6.7528,93
"11","H_ASCI","d_sp_mag",0.75,"H_ASCI_d_sp_mag_0.75",0.459387469336142,-0.00185008372712842,315.918335589594,319.918335589594,320.222335552745,0.0318777331206825,0.0818132300817466,"Positive",-9.85762,-20.725,232
"12","D_ASCI","d_sp_mag",0.75,"D_ASCI_d_sp_mag_0.75",0.566104693166248,-0.00453934993583778,303.433278016736,307.433278016736,315.214924193966,0.0282428944676391,0.00259288719470239,"Positive",-9.42853,-19.4549,228
"13","H_ASCI","d_wet_bfl_mag_10",0.75,"H_ASCI_d_wet_bfl_mag_10_0.75",0.386503107509876,-0.0379564533238121,273.427766477008,277.427766477008,278.762805697628,0.028837033879644,0.0408611629525248,"Positive",-8.39728,-17.5329,202
"14","D_ASCI","d_wet_bfl_mag_10",0.75,"D_ASCI_d_wet_bfl_mag_10_0.75",0.10176461393007,-0.0554362918159401,264.465551413464,268.465551413464,272.462632016762,0.582388397828312,0.0193447440843492,"Positive",-8.08927,-16.7045,198
"15","H_ASCI","d_wet_bfl_mag_50",0.75,"H_ASCI_d_wet_bfl_mag_50_0.75",0.650839150456145,-0.0238692079143599,270.016057081402,274.016057081402,279.481294152572,0.00180301273844981,0.0151580900865125,"Positive",-8.28003,-16.9837,204
"16","D_ASCI","d_wet_bfl_mag_50",0.75,"D_ASCI_d_wet_bfl_mag_50_0.75",0.439822587055373,-0.035786830000103,263.920215228353,267.920215228353,276.758663682032,0.0486260452416092,0.00328740395719334,"Positive",-8.07052,-16.5094,200
"17","H_ASCI","delta_q99",0.75,"H_ASCI_delta_q99_0.75",1.00164385747521,-0.000273536251870594,34.1390342696406,38.1390342696406,34.1621510879544,0.0375033295292056,0.877844640847136,"Positive",-0.173305,-0.299861,29
"18","D_ASCI","delta_q99",0.75,"D_ASCI_delta_q99_0.75",0.296827687555274,-9.74421023969762e-05,38.2412064462673,42.2412064462673,38.2428538632264,0.503306772470489,0.967593058852167,"Positive",-0.31429,-0.597671,28
"19","H_ASCI","d_ds_mag_50",0.86,"H_ASCI_d_ds_mag_50_0.86",-0.245109487950925,-0.0510855616649206,304.461166337449,308.461166337449,315.435725518723,0.136407462404267,0.00734073222702181,"Positive",-9.46385,-18.8295,240
