"","hydro","biol.endpoints","Condition","hydro.endpoints","thresholds","comb_code","PredictedProbability","Type","PredictedProbabilityScaled","comb_code_type","Flow.Metric.Name","Flow.Component"
"1",137,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.106021320821825,"Positive",0.108589684976155,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"2",124,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.140300128172145,"Positive",0.154319492361442,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"3",163.5,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.0582604758681149,"Positive",0.0448741006510972,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"4",43,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.543967513416222,"Positive",0.692833904087666,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"5",166,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.054982029533676,"Positive",0.0405004735915346,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"6",122,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.146329389310529,"Positive",0.1623628571062,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"7",125.5,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.135915747541757,"Positive",0.148470488349068,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"8",91.5,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.266062278853,"Positive",0.322093092773513,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"9",166,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.054982029533676,"Positive",0.0405004735915346,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"10",162.5,"H_ASCI",0,"DS_Dur_WS",0.75,"H_ASCI_DS_Dur_WS_0.75",0.0596225373060077,"Positive",0.0466911652462918,"H_ASCI_DS_Dur_WS_0.75_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
