"","site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
"50",401121,"DS_Dur_WS",-1,"Current","ds_dur_ws",0.700221147609594,1,"CSCI"
"51",402050,"DS_Dur_WS",-42,"Current","ds_dur_ws",3.07764974164959e-05,4.39512213223749e-05,"CSCI"
"52",402051,"DS_Dur_WS",-35,"Current","ds_dur_ws",0.000209578483683665,0.000299301958890363,"CSCI"
"53",402060,"DS_Dur_WS",-36,"Current","ds_dur_ws",0.00015934528043149,0.000227562904036246,"CSCI"
"54",403020,"DS_Dur_WS",-7,"Current","ds_dur_ws",0.31086048919155,0.443946158638055,"CSCI"
"55",403030,"DS_Dur_WS",-26,"Current","ds_dur_ws",0.002463939885098,0.00351880113008974,"CSCI"
"56",404010,"DS_Dur_WS",-58,"Current","ds_dur_ws",3.83498303692539e-07,5.46363790417157e-07,"CSCI"
"57",405010,"DS_Dur_WS",-61.5,"Current","ds_dur_ws",1.46947082618862e-07,2.08540201122597e-07,"CSCI"
"58",405020,"DS_Dur_WS",-80,"Current","ds_dur_ws",9.22823858507603e-10,0,"CSCI"
"59",501010,"DS_Dur_WS",-25,"Current","ds_dur_ws",0.00323833771964608,0.00462473436020182,"CSCI"
"60",501011,"DS_Dur_WS",-32,"Current","ds_dur_ws",0.00047678055718084,0.000680898651251757,"CSCI"
"61",502030,"DS_Dur_WS",-73,"Current","ds_dur_ws",6.28527052935277e-09,7.65821868736556e-09,"CSCI"
"62",101010,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"63",101011,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"64",101012,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"65",101020,"SP_Tim",15,"Current","sp_tim",0.466581599464521,0.332864533846204,"CSCI"
"66",201010,"SP_Tim",2,"Current","sp_tim",0.461778641736015,0.0443503468978496,"CSCI"
"67",201020,"SP_Tim",2,"Current","sp_tim",0.461778641736015,0.0443503468978496,"CSCI"
"68",201030,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"69",201031,"SP_Tim",8,"Current","sp_tim",0.463994564377479,0.177461058126488,"CSCI"
"70",201040,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"71",201041,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"72",201050,"SP_Tim",1,"Current","sp_tim",0.461409465692,0.0221739022567355,"CSCI"
"73",201060,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"74",201061,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"75",201062,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"76",201070,"SP_Tim",2,"Current","sp_tim",0.461778641736015,0.0443503468978496,"CSCI"
"77",201080,"SP_Tim",2,"Current","sp_tim",0.461778641736015,0.0443503468978496,"CSCI"
"78",201090,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"79",201091,"SP_Tim",8,"Current","sp_tim",0.463994564377479,0.177461058126488,"CSCI"
"80",201100,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"81",203010,"SP_Tim",18.5,"Current","sp_tim",0.467875800100629,0.410607305151212,"CSCI"
"82",204010,"SP_Tim",16,"Current","sp_tim",0.466951325947061,0.355074043388692,"CSCI"
"83",205010,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"84",301010,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"85",301011,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"86",301020,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"87",301030,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"88",401070,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"89",401080,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"90",401100,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"91",401101,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"92",401110,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"93",401120,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"94",401121,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"95",402010,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"96",402020,"SP_Tim",31,"Current","sp_tim",0.472501353836547,0.688464815198394,"CSCI"
"97",402021,"SP_Tim",40,"Current","sp_tim",0.475834724547778,0.888700752075451,"CSCI"
"98",402022,"SP_Tim",38,"Current","sp_tim",0.475093778893346,0.844192066980723,"CSCI"
"99",402023,"SP_Tim",40,"Current","sp_tim",0.475834724547778,0.888700752075451,"CSCI"
"100",402030,"SP_Tim",42,"Current","sp_tim",0.476575776599958,0.933215828494356,"CSCI"
"101",402031,"SP_Tim",45,"Current","sp_tim",0.47768754706805,1,"CSCI"
"102",402040,"SP_Tim",31,"Current","sp_tim",0.472501353836547,0.688464815198394,"CSCI"
"103",402041,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"104",402050,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"105",403010,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"106",403011,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"107",403020,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"108",403030,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"109",404010,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"110",405010,"SP_Tim",35,"Current","sp_tim",0.473982567008313,0.777441449619521,"CSCI"
"111",405020,"SP_Tim",35,"Current","sp_tim",0.473982567008313,0.777441449619521,"CSCI"
"112",501010,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"113",501011,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"114",501020,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"115",502010,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
"116",502011,"SP_Tim",0,"Current","sp_tim",0.461040331971605,0,"CSCI"
