"","site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
"58",405020,"DS_Dur_WS",-80,"Current","ds_dur_ws",2.22044604925031e-16,0,"ASCI"
"59",501010,"DS_Dur_WS",-25,"Current","ds_dur_ws",6.98910580723741e-07,1.03990633195244e-06,"ASCI"
"60",501011,"DS_Dur_WS",-32,"Current","ds_dur_ws",9.08114170148295e-09,1.35117950554491e-08,"ASCI"
"61",502030,"DS_Dur_WS",-73,"Current","ds_dur_ws",2.22044604925031e-16,0,"ASCI"
"62",201061,"SP_Dur",17,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"63",301010,"SP_Dur",18.5,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"64",301020,"SP_Dur",0,"Current","sp_dur",0.518619753352855,1,"ASCI"
"65",301030,"SP_Dur",1.5,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"66",401101,"SP_Dur",0,"Current","sp_dur",0.518619753352855,1,"ASCI"
"67",401110,"SP_Dur",0,"Current","sp_dur",0.518619753352855,1,"ASCI"
"68",401120,"SP_Dur",0,"Current","sp_dur",0.518619753352855,1,"ASCI"
"69",401121,"SP_Dur",0,"Current","sp_dur",0.518619753352855,1,"ASCI"
"70",402041,"SP_Dur",0,"Current","sp_dur",0.518619753352855,1,"ASCI"
"71",403020,"SP_Dur",3,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"72",403030,"SP_Dur",4,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"73",404010,"SP_Dur",49,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"74",405010,"SP_Dur",17.5,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"75",405020,"SP_Dur",11,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"76",501011,"SP_Dur",35,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"77",502030,"SP_Dur",36.5,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"78",101010,"SP_Dur",-42.5,"Current","sp_dur",1.51428579361566e-12,3.85863693134616e-12,"ASCI"
"79",101011,"SP_Dur",-29.5,"Current","sp_dur",6.65733546614948e-09,1.69664187878745e-08,"ASCI"
"80",101012,"SP_Dur",-41,"Current","sp_dur",3.98625141195101e-12,1.01585155422428e-11,"ASCI"
"81",101020,"SP_Dur",-24.5,"Current","sp_dur",1.67683307662709e-07,4.2734594450437e-07,"ASCI"
"82",201010,"SP_Dur",-49,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"83",201020,"SP_Dur",-42,"Current","sp_dur",2.09086885736596e-12,5.32807618397292e-12,"ASCI"
"84",201030,"SP_Dur",-16,"Current","sp_dur",4.0410519816764e-05,0.000102987423271237,"ASCI"
"85",201031,"SP_Dur",-10,"Current","sp_dur",0.00193685611076767,0.00493613596164224,"ASCI"
"86",201040,"SP_Dur",-38,"Current","sp_dur",2.76234782327329e-11,7.03986979155865e-11,"ASCI"
"87",201041,"SP_Dur",-33,"Current","sp_dur",6.95773401467111e-10,1.77319884166963e-09,"ASCI"
"88",201050,"SP_Dur",-46,"Current","sp_dur",1.58261481112804e-13,4.02768249828902e-13,"ASCI"
"89",201060,"SP_Dur",-18,"Current","sp_dur",1.11181204500852e-05,2.83348638411215e-05,"ASCI"
"90",201062,"SP_Dur",-7,"Current","sp_dur",0.013269409844092,0.0338174894650475,"ASCI"
"91",201070,"SP_Dur",-36,"Current","sp_dur",1.00404723916896e-10,2.55883888146039e-10,"ASCI"
"92",201080,"SP_Dur",-41,"Current","sp_dur",3.98625141195101e-12,1.01585155422428e-11,"ASCI"
"93",201090,"SP_Dur",-11,"Current","sp_dur",0.00101685635668018,0.00259148896096551,"ASCI"
"94",201091,"SP_Dur",-27.5,"Current","sp_dur",2.41978186886303e-08,6.1668867017115e-08,"ASCI"
"95",201100,"SP_Dur",-38,"Current","sp_dur",2.76234782327329e-11,7.03986979155865e-11,"ASCI"
"96",203010,"SP_Dur",-45.5,"Current","sp_dur",2.18521499425444e-13,5.563427160934e-13,"ASCI"
"97",204010,"SP_Dur",-73,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"98",205010,"SP_Dur",-5.5,"Current","sp_dur",0.0341901863543784,0.0871347166477041,"ASCI"
"99",207010,"SP_Dur",-11.5,"Current","sp_dur",0.000736652148403545,0.00187738012170345,"ASCI"
"100",301011,"SP_Dur",-22,"Current","sp_dur",8.41558420056915e-07,2.14473690475838e-06,"ASCI"
"101",401070,"SP_Dur",-10.5,"Current","sp_dur",0.0014034935982624,0.00357684558176682,"ASCI"
"102",401080,"SP_Dur",-19,"Current","sp_dur",5.83170811151217e-06,1.48622832464999e-05,"ASCI"
"103",401100,"SP_Dur",-7,"Current","sp_dur",0.013269409844092,0.0338174894650475,"ASCI"
"104",402010,"SP_Dur",-37,"Current","sp_dur",5.26642925106271e-11,1.34215965072795e-10,"ASCI"
"105",402020,"SP_Dur",-31,"Current","sp_dur",2.52896958056727e-09,6.44515435457347e-09,"ASCI"
"106",402021,"SP_Dur",-47,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"107",402022,"SP_Dur",-54,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"108",402023,"SP_Dur",-53,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"109",402030,"SP_Dur",-48,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"110",402031,"SP_Dur",-49,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"111",402040,"SP_Dur",-47,"Current","sp_dur",2.22044604925031e-16,0,"ASCI"
"112",402050,"SP_Dur",-2,"Current","sp_dur",0.253018519792404,0.644825295779923,"ASCI"
"113",402051,"SP_Dur",-1,"Current","sp_dur",0.392383055454384,1,"ASCI"
