"","biol.endpoints","hydro.endpoints","thresholds"
"1","CSCI","d_ds_mag_50",0.63
"2","OoverE","d_ds_mag_50",0.63
"3","MMI","d_ds_mag_50",0.63
"4","CSCI","d_fa_mag",0.63
"5","OoverE","d_fa_mag",0.63
"6","MMI","d_fa_mag",0.63
"7","CSCI","d_peak_10",0.63
"8","OoverE","d_peak_10",0.63
"9","MMI","d_peak_10",0.63
"10","CSCI","d_peak_2",0.63
"11","OoverE","d_peak_2",0.63
"12","MMI","d_peak_2",0.63
"13","CSCI","d_peak_5",0.63
"14","OoverE","d_peak_5",0.63
"15","MMI","d_peak_5",0.63
"16","CSCI","d_sp_mag",0.63
"17","OoverE","d_sp_mag",0.63
"18","MMI","d_sp_mag",0.63
"19","CSCI","d_wet_bfl_mag_10",0.63
"20","OoverE","d_wet_bfl_mag_10",0.63
"21","MMI","d_wet_bfl_mag_10",0.63
"22","CSCI","d_wet_bfl_mag_50",0.63
"23","OoverE","d_wet_bfl_mag_50",0.63
"24","MMI","d_wet_bfl_mag_50",0.63
"25","CSCI","delta_q99",0.63
"26","OoverE","delta_q99",0.63
"27","MMI","delta_q99",0.63
"28","CSCI",NA,0.63
"29","OoverE",NA,0.63
"30","MMI",NA,0.63
"31","CSCI","d_ds_mag_50",0.79
"32","OoverE","d_ds_mag_50",0.79
"33","MMI","d_ds_mag_50",0.79
"34","CSCI","d_fa_mag",0.79
"35","OoverE","d_fa_mag",0.79
"36","MMI","d_fa_mag",0.79
"37","CSCI","d_peak_10",0.79
"38","OoverE","d_peak_10",0.79
"39","MMI","d_peak_10",0.79
"40","CSCI","d_peak_2",0.79
"41","OoverE","d_peak_2",0.79
"42","MMI","d_peak_2",0.79
"43","CSCI","d_peak_5",0.79
"44","OoverE","d_peak_5",0.79
"45","MMI","d_peak_5",0.79
"46","CSCI","d_sp_mag",0.79
"47","OoverE","d_sp_mag",0.79
"48","MMI","d_sp_mag",0.79
"49","CSCI","d_wet_bfl_mag_10",0.79
"50","OoverE","d_wet_bfl_mag_10",0.79
"51","MMI","d_wet_bfl_mag_10",0.79
"52","CSCI","d_wet_bfl_mag_50",0.79
"53","OoverE","d_wet_bfl_mag_50",0.79
"54","MMI","d_wet_bfl_mag_50",0.79
"55","CSCI","delta_q99",0.79
"56","OoverE","delta_q99",0.79
"57","MMI","delta_q99",0.79
"58","CSCI",NA,0.79
"59","OoverE",NA,0.79
"60","MMI",NA,0.79
"61","CSCI","d_ds_mag_50",0.92
"62","OoverE","d_ds_mag_50",0.92
"63","MMI","d_ds_mag_50",0.92
"64","CSCI","d_fa_mag",0.92
"65","OoverE","d_fa_mag",0.92
"66","MMI","d_fa_mag",0.92
"67","CSCI","d_peak_10",0.92
"68","OoverE","d_peak_10",0.92
"69","MMI","d_peak_10",0.92
"70","CSCI","d_peak_2",0.92
"71","OoverE","d_peak_2",0.92
"72","MMI","d_peak_2",0.92
"73","CSCI","d_peak_5",0.92
"74","OoverE","d_peak_5",0.92
"75","MMI","d_peak_5",0.92
"76","CSCI","d_sp_mag",0.92
"77","OoverE","d_sp_mag",0.92
"78","MMI","d_sp_mag",0.92
"79","CSCI","d_wet_bfl_mag_10",0.92
"80","OoverE","d_wet_bfl_mag_10",0.92
"81","MMI","d_wet_bfl_mag_10",0.92
"82","CSCI","d_wet_bfl_mag_50",0.92
"83","OoverE","d_wet_bfl_mag_50",0.92
"84","MMI","d_wet_bfl_mag_50",0.92
"85","CSCI","delta_q99",0.92
"86","OoverE","delta_q99",0.92
"87","MMI","delta_q99",0.92
"88","CSCI",NA,0.92
"89","OoverE",NA,0.92
"90","MMI",NA,0.92
