"","masterid","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","comid","d_ds_mag_50","d_fa_mag","d_peak_10","d_peak_2","d_peak_5","d_sp_mag","d_wet_bfl_mag_10","d_wet_bfl_mag_50","delta_q99"
"1","312PS0099","312PS0099_06142010_BMI_RWB_1","6/14/10",1.11687099,1.07707254,1.09697177,34.77948,-119.95802,17626291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","312PS0099","312PS0099_06142010_BMI_RWB_1","6/14/10",1.11687099,1.07707254,1.09697177,34.77948,-119.95802,17626291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","315GAVGSP","315GAVGSP_05232001_BMI_CSBP_Trans_1","5/23/01",0.61621207,0.61676591,0.61648899,34.47395,-120.22866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","402BA0079","402BA0079_05282008_BMI_RWB_1","5/28/08",0.84225358,0.76776221,0.8050079,34.41183,-119.27418,17586810,3.13876423576423,11.1909508936911,-24.2012617382618,-98.4056327006326,-89.846939060939,72.9969925074925,1.07818235098235,19.7484941724942,-66.391092833515
"5","402BA0095","402BA0095_05292008_BMI_RWB_1","5/29/08",1.32741831,1.10448302,1.21595066,34.46328,-119.34566,17586570,2.08074159174159,26.8720458701235,464.483277522478,-54.0040291375292,216.384368531469,95.8230108225107,2.28933168498169,7.31948343323344,-17.4592136539054
"6","402BA0143","402BA0143_05212008_BMI_RWB_1","5/21/08",0.75197227,0.58339355,0.66768291,34.36483,-119.31057,17587720,0.507085414585415,-0.687890097557132,-282.242069264069,-511.875061938061,-986.1327007992,45.4057335997336,-1.15080514485514,-2.27561663336664,-279.938212000324
"7","402BA0287","402BA0287_06092008_BMI_RWB_1","6/9/08",1.06228056,1.01762477,1.03995266,34.50284,-119.36644,17585802,11.2602385114885,59.4471503186641,7380.99581018978,1122.47500932401,4989.85029866799,1699.85358774559,18.1732619047619,120.143740592741,1001.94972952228
"8","402BA0335","402BA0335_05272008_BMI_RWB_1","5/27/08",0.97330032,0.72707352,0.85018692,34.37965,-119.30751,17586838,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","403BA0015","403BA0015_05192008_BMI_RWB_1","5/19/08",1.02851554,0.98517561,1.00684557,34.5312,-119.18421,17568137,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","403BA0027","403BA0027_06182014_BMI_RWB_MCM_1","6/18/14",0.95929163,0.90659145,0.93294154,34.66254,-119.05249,17567373,NA,NA,NA,NA,NA,NA,NA,NA,NA
