"","SampleID","SampleDate","masterid","D_ASCI","H_ASCI","latitude","longitude","comid","d_ds_mag_50","d_fa_mag","d_peak_10","d_peak_2","d_peak_5","d_sp_mag","d_wet_bfl_mag_10","d_wet_bfl_mag_50","delta_q99"
"1","905M21756_2017-05-04 00:00:00_1",2017-05-04,"905M21756",0.589648208862483,0.559430575460003,33.05619,-117.04124,20328616,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","905M21756_2017-05-04 00:00:00_1",2017-05-04,"905M21756",0.589648208862483,0.559430575460003,33.05619,-117.04124,20328616,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","907M23331_2016-06-08 00:00:00_1",2016-06-08,"907M23331",0.525828128446821,0.533819828577353,32.84058,-116.90771,20332970,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","907M23331_2016-06-08 00:00:00_1",2016-06-08,"907M23331",0.525828128446821,0.533819828577353,32.84058,-116.90771,20332970,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","909M24937_2016-06-22 00:00:00_1",2016-06-22,"909M24937",1.13463306818176,1.15058037159369,32.81935,-116.70775,20333036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","909M24937_2016-06-22 00:00:00_1",2016-06-22,"909M24937",1.13463306818176,1.15058037159369,32.81935,-116.70775,20333036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","907M23330_2016-06-09 00:00:00_1",2016-06-09,"907M23330",1.06716253758748,0.946159823632859,33.00358,-116.70228,20330036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","907M23330_2016-06-09 00:00:00_1",2016-06-09,"907M23330",1.06716253758748,0.946159823632859,33.00358,-116.70228,20330036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","909M24925_2016-05-10 00:00:00_1",2016-05-10,"909M24925",0.916345893842013,0.899620945156761,32.83848,-116.63814,20334440,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","909M24925_2016-05-10 00:00:00_1",2016-05-10,"909M24925",0.916345893842013,0.899620945156761,32.83848,-116.63814,20334440,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","907M23362_2017-05-09 00:00:00_1",2017-05-09,"907M23362",0.867687959703956,0.946584233791821,32.9918,-116.71432,20332438,0.24401615051615,7.74639276877024,-116.69440995671,-64.8472708957709,-58.5124892773893,63.963616050616,1.39610056610057,1.22793822843823,-48.236254358387
"12","907M23362_2017-05-09 00:00:00_1",2017-05-09,"907M23362",0.867687959703956,0.946584233791821,32.9918,-116.71432,20332438,0.24401615051615,7.74639276877024,-116.69440995671,-64.8472708957709,-58.5124892773893,63.963616050616,1.39610056610057,1.22793822843823,-48.236254358387
"13","911M24934_2017-04-04 00:00:00_1",2017-04-04,"911M24934",0.960377779189846,1.06511538814691,32.76761,-116.65057,20325165,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","911M24934_2017-04-04 00:00:00_1",2017-04-04,"911M24934",0.960377779189846,1.06511538814691,32.76761,-116.65057,20325165,NA,NA,NA,NA,NA,NA,NA,NA,NA
