"site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
101010,"DS_Dur_WS",19,"Current","ds_dur_ws",0.427226883532877,0.856626185802103,"ASCI"
101011,"DS_Dur_WS",20.5,"Current","ds_dur_ws",0.426551156842267,0.845337139879611,"ASCI"
101012,"DS_Dur_WS",29,"Current","ds_dur_ws",0.422727287088572,0.781453558172784,"ASCI"
101020,"DS_Dur_WS",104,"Current","ds_dur_ws",0.389435531962839,0.225263966023889,"ASCI"
201010,"DS_Dur_WS",29.5,"Current","ds_dur_ws",0.422502637015267,0.777700435750269,"ASCI"
201020,"DS_Dur_WS",28.5,"Current","ds_dur_ws",0.422951969127984,0.785207214637936,"ASCI"
201030,"DS_Dur_WS",25,"Current","ds_dur_ws",0.424525631021279,0.811497638897826,"ASCI"
201031,"DS_Dur_WS",72,"Current","ds_dur_ws",0.403533461776869,0.460791405289129,"ASCI"
201050,"DS_Dur_WS",46,"Current","ds_dur_ws",0.415107693148271,0.654156609424036,"ASCI"
201061,"DS_Dur_WS",26.5,"Current","ds_dur_ws",0.423851015177584,0.800227151368872,"ASCI"
201070,"DS_Dur_WS",22,"Current","ds_dur_ws",0.42587570425548,0.83405267327993,"ASCI"
201080,"DS_Dur_WS",22,"Current","ds_dur_ws",0.42587570425548,0.83405267327993,"ASCI"
201090,"DS_Dur_WS",34,"Current","ds_dur_ws",0.420482239393326,0.74394660916221,"ASCI"
201091,"DS_Dur_WS",135,"Current","ds_dur_ws",0.375951941292716,0,"ASCI"
201100,"DS_Dur_WS",4,"Current","ds_dur_ws",0.433998693539774,0.969759609727067,"ASCI"
203010,"DS_Dur_WS",19.5,"Current","ds_dur_ws",0.427001610995502,0.852862664167034,"ASCI"
204010,"DS_Dur_WS",46,"Current","ds_dur_ws",0.415107693148271,0.654156609424036,"ASCI"
205010,"DS_Dur_WS",16,"Current","ds_dur_ws",0.428579149573385,0.879217854361074,"ASCI"
207010,"DS_Dur_WS",59,"Current","ds_dur_ws",0.409308014852994,0.55726412978569,"ASCI"
301010,"DS_Dur_WS",7,"Current","ds_dur_ws",0.432642274515913,0.94709855924129,"ASCI"
301011,"DS_Dur_WS",45,"Current","ds_dur_ws",0.415554819878786,0.661626544035333,"ASCI"
301020,"DS_Dur_WS",3,"Current","ds_dur_ws",0.434451054054843,0.977316982699157,"ASCI"
401080,"DS_Dur_WS",13,"Current","ds_dur_ws",0.429932483032704,0.901827355780783,"ASCI"
401101,"DS_Dur_WS",0,"Current","ds_dur_ws",0.435808787942985,1,"ASCI"
401120,"DS_Dur_WS",8.5,"Current","ds_dur_ws",0.431964442161159,0.935774334984805,"ASCI"
402010,"DS_Dur_WS",0,"Current","ds_dur_ws",0.435808787942985,1,"ASCI"
402020,"DS_Dur_WS",20,"Current","ds_dur_ws",0.42677636873552,0.849099648362044,"ASCI"
402021,"DS_Dur_WS",17,"Current","ds_dur_ws",0.428128274667876,0.871685300764589,"ASCI"
402022,"DS_Dur_WS",18.5,"Current","ds_dur_ws",0.427452186258261,0.86039021177394,"ASCI"
402023,"DS_Dur_WS",21,"Current","ds_dur_ws",0.426325975405027,0.841575140211379,"ASCI"
402030,"DS_Dur_WS",13.5,"Current","ds_dur_ws",0.429706854152689,0.898057880897929,"ASCI"
402031,"DS_Dur_WS",2,"Current","ds_dur_ws",0.434903523779023,0.984876180176156,"ASCI"
402040,"DS_Dur_WS",1,"Current","ds_dur_ws",0.43535610198456,0.992437189999839,"ASCI"
402041,"DS_Dur_WS",0,"Current","ds_dur_ws",0.435808787942985,1,"ASCI"
403010,"DS_Dur_WS",28,"Current","ds_dur_ws",0.423176683045087,0.788961403668576,"ASCI"
403011,"DS_Dur_WS",8.5,"Current","ds_dur_ws",0.431964442161159,0.935774334984805,"ASCI"
501020,"DS_Dur_WS",3,"Current","ds_dur_ws",0.434451054054843,0.977316982699157,"ASCI"
502010,"DS_Dur_WS",13,"Current","ds_dur_ws",0.429932483032704,0.901827355780783,"ASCI"
502011,"DS_Dur_WS",0,"Current","ds_dur_ws",0.435808787942985,1,"ASCI"
502020,"DS_Dur_WS",7.5,"Current","ds_dur_ws",0.432416302248735,0.943323347551675,"ASCI"
201040,"DS_Dur_WS",-10,"Current","ds_dur_ws",0.00764051528525265,0.0113682929493068,"ASCI"
201041,"DS_Dur_WS",-4.5,"Current","ds_dur_ws",0.189385344104252,0.281785716238023,"ASCI"
201060,"DS_Dur_WS",-1.5,"Current","ds_dur_ws",0.600467976889279,0.893433965262907,"ASCI"
