site,year,flow_metric,current_value_final,current_value_note,reference_value_final,reference_value_note,deltah_final,site.year,notes,summary.statistic,n_year
312PS0099,2007,DS_Tim,384,original,389,original,-5,312PS0099_2007,"NA, NA",min,19
312PS0099,2005,DS_Tim,130,original,130,original,0,312PS0099_2005,"NA, NA",median,19
312PS0099,2012,DS_Tim,391,original,391,original,0,312PS0099_2012,"NA, NA",max,19
312PS0099,NA,DS_Tim,NA,NA,NA,NA,-0.631578947,312PS0099_2007,NA,mean,19
312PS0099,1993,DS_Mag_50,14.112,supplementary,14.11377084,supplementary,-0.001770835,312PS0099_1993,"NA, NA",min,22
312PS0099,NA,DS_Mag_50,NA,NA,NA,NA,-0.000270833,312PS0099_1993,NA,median,22
312PS0099,2009,DS_Mag_50,0.18,supplementary,0.175125,supplementary,0.004875,312PS0099_2009,"NA, NA",max,22
312PS0099,NA,DS_Mag_50,NA,NA,NA,NA,0.000119291,312PS0099_1993,NA,mean,22
312PS0099,1993,DS_Mag_90,21.14966667,supplementary,21.152,supplementary,-0.002333335,312PS0099_1993,"NA, NA",min,22
312PS0099,NA,DS_Mag_90,NA,NA,NA,NA,-0.000360583,312PS0099_1993,NA,median,22
312PS0099,2002,DS_Mag_90,0.381916667,original,0.37825417,original,0.003662497,312PS0099_2002,"NA, NA",max,22
312PS0099,NA,DS_Mag_90,NA,NA,NA,NA,-0.000297115,312PS0099_1993,NA,mean,22
312PS0099,2004,SP_ROC,0.003393301,supplementary,0.003408029,supplementary,-1.47E-05,312PS0099_2004,"NA, NA",min,23
312PS0099,NA,SP_ROC,NA,NA,NA,NA,3.59E-07,312PS0099_2004,NA,median,23
312PS0099,2003,SP_ROC,0.105077502,original,0.105055544,original,2.20E-05,312PS0099_2003,"NA, NA",max,23
312PS0099,NA,SP_ROC,NA,NA,NA,NA,1.87E-06,312PS0099_2004,NA,mean,23
312PS0099,2000,SP_Dur,22,original,22,original,0,312PS0099_2000,"NA, NA",min,11
312PS0099,1993,SP_Dur,24,original,24,original,0,312PS0099_1993,"NA, NA",median,11
312PS0099,1992,SP_Dur,111,original,111,original,0,312PS0099_1992,"NA, NA",max,11
312PS0099,NA,SP_Dur,NA,NA,NA,NA,0,312PS0099_2000,NA,mean,11
