site,year,flow_metric,current_value_final,current_value_note,reference_value_final,reference_value_note,deltah_final,site.year,notes,summary.statistic,n_year
312PS0099,1991,SP_Mag,404.1157917,original,404.163125,original,-0.0473333,312PS0099_1991,"NA, NA",min,20
312PS0099,NA,SP_Mag,NA,NA,NA,NA,-0.000395667,312PS0099_1991,NA,median,20
312PS0099,1993,SP_Mag,330.673875,original,330.589375,original,0.0845,312PS0099_1993,"NA, NA",max,20
312PS0099,NA,SP_Mag,NA,NA,NA,NA,0.007793138,312PS0099_1991,NA,mean,20
312PS0099,2003,SP_Tim,93,original,93,original,0,312PS0099_2003,"NA, NA",min,11
312PS0099,2010,SP_Tim,155,original,155,original,0,312PS0099_2010,"NA, NA",median,11
312PS0099,1998,SP_Tim,228,original,228,original,0,312PS0099_1998,"NA, NA",max,11
312PS0099,NA,SP_Tim,NA,NA,NA,NA,0,312PS0099_2003,NA,mean,11
312PS0099,2006,Wet_BFL_Dur,16,original,16,original,0,312PS0099_2006,"NA, NA",min,10
312PS0099,2005,Wet_BFL_Dur,33,original,33,original,0,312PS0099_2005,"NA, NA",median,10
312PS0099,1998,Wet_BFL_Dur,114,original,114,original,0,312PS0099_1998,"NA, NA",max,10
312PS0099,NA,Wet_BFL_Dur,NA,NA,NA,NA,0,312PS0099_2006,NA,mean,10
312PS0099,1998,Wet_BFL_Mag_10,23.1463875,original,23.14902083,original,-0.002633331,312PS0099_1998,"NA, NA",min,22
312PS0099,NA,Wet_BFL_Mag_10,NA,NA,NA,NA,-5.83E-05,312PS0099_1998,NA,median,22
312PS0099,1993,Wet_BFL_Mag_10,6.169787501,original,6.048570832,original,0.121216669,312PS0099_1993,"NA, NA",max,22
312PS0099,NA,Wet_BFL_Mag_10,NA,NA,NA,NA,0.008114546,312PS0099_1998,NA,mean,22
312PS0099,2005,Wet_BFL_Mag_50,154.1774583,original,154.1957,original,-0.0182417,312PS0099_2005,"NA, NA",min,22
312PS0099,NA,Wet_BFL_Mag_50,NA,NA,NA,NA,-0.000229333,312PS0099_2005,NA,median,22
312PS0099,2006,Wet_BFL_Mag_50,6.8089375,original,6.690042,original,0.1188955,312PS0099_2006,"NA, NA",max,22
312PS0099,NA,Wet_BFL_Mag_50,NA,NA,NA,NA,0.007939943,312PS0099_2005,NA,mean,22
312PS0099,1997,Wet_Tim,66,original,66,original,0,312PS0099_1997,"NA, NA",min,10
312PS0099,1993,Wet_Tim,95,original,95,original,0,312PS0099_1993,"NA, NA",median,10
312PS0099,2006,Wet_Tim,176,original,176,original,0,312PS0099_2006,"NA, NA",max,10
312PS0099,NA,Wet_Tim,NA,NA,NA,NA,0,312PS0099_1997,NA,mean,10
312PS0099,1999,DS_Dur_WS,138,original,138,original,0,312PS0099_1999,"NA, NA",min,6
312PS0099,1992,DS_Dur_WS,246,original,246,original,0,312PS0099_1992,"NA, NA",median,6
312PS0099,2002,DS_Dur_WS,151,original,150,original,1,312PS0099_2002,"NA, NA",max,6
312PS0099,NA,DS_Dur_WS,NA,NA,NA,NA,0.166666667,312PS0099_1999,NA,mean,6
312PS0099,2005,Q99,521.6089433,original,521.66856,original,-0.059616676,312PS0099_2005,"NA, NA",min,23
312PS0099,NA,Q99,NA,NA,NA,NA,-0.000333333,312PS0099_2005,NA,median,23
312PS0099,1997,Q99,157.555445,original,157.5066867,original,0.048758324,312PS0099_1997,"NA, NA",max,23
312PS0099,NA,Q99,NA,NA,NA,NA,-0.000870269,312PS0099_2005,NA,mean,23
312WE1028,1994,DS_Dur_WS,94,original,94,original,0,312WE1028_1994,"NA, NA",min,4
312WE1028,1997,DS_Dur_WS,117,original,117,original,0,312WE1028_1997,"NA, NA",median,4
312WE1028,1991,DS_Dur_WS,289,original,288,original,1,312WE1028_1991,"NA, NA",max,4
312WE1028,NA,DS_Dur_WS,NA,NA,NA,NA,0.25,312WE1028_1994,NA,mean,4
312WE1028,1997,DS_Tim,381,original,389,original,-8,312WE1028_1997,"NA, NA",min,13
312WE1028,2007,DS_Tim,385,original,389,original,-4,312WE1028_2007,"NA, NA",median,13
312WE1028,1999,DS_Tim,389,original,389,original,0,312WE1028_1999,"NA, NA",max,13
312WE1028,NA,DS_Tim,NA,NA,NA,NA,-1.538461538,312WE1028_1997,NA,mean,13
312WE1028,1993,DS_Mag_50,17.41127084,supplementary,17.41395833,supplementary,-0.002687495,312WE1028_1993,"NA, NA",min,22
312WE1028,NA,DS_Mag_50,NA,NA,NA,NA,-1.04E-05,312WE1028_1993,NA,median,22
312WE1028,1996,DS_Mag_50,2.076208334,supplementary,2.069395833,supplementary,0.006812501,312WE1028_1996,"NA, NA",max,22
312WE1028,NA,DS_Mag_50,NA,NA,NA,NA,0.000404395,312WE1028_1993,NA,mean,22
312WE1028,1993,DS_Mag_90,23.58039583,supplementary,23.58397917,supplementary,-0.00358334,312WE1028_1993,"NA, NA",min,22
312WE1028,NA,DS_Mag_90,NA,NA,NA,NA,-7.71E-05,312WE1028_1993,NA,median,22
312WE1028,1991,DS_Mag_90,2.410325,original,2.403254167,original,0.007070833,312WE1028_1991,"NA, NA",max,22
312WE1028,NA,DS_Mag_90,NA,NA,NA,NA,2.64E-05,312WE1028_1993,NA,mean,22
312WE1028,2004,SP_ROC,0.068447589,supplementary,0.085714286,supplementary,-0.017266697,312WE1028_2004,"NA, NA",min,22
312WE1028,NA,SP_ROC,NA,NA,NA,NA,1.93E-07,312WE1028_2004,NA,median,22
312WE1028,2011,SP_ROC,0.193277257,supplementary,0.090909091,supplementary,0.102368166,312WE1028_2011,"NA, NA",max,22
312WE1028,NA,SP_ROC,NA,NA,NA,NA,0.004402686,312WE1028_2004,NA,mean,22
312WE1028,1991,SP_Dur,21,original,22,original,-1,312WE1028_1991,"NA, NA",min,6
312WE1028,1993,SP_Dur,22,original,22,original,0,312WE1028_1993,"NA, NA",median,6
312WE1028,2005,SP_Dur,140,original,140,original,0,312WE1028_2005,"NA, NA",max,6
312WE1028,NA,SP_Dur,NA,NA,NA,NA,-0.166666667,312WE1028_1991,NA,mean,6
312WE1028,1993,SP_Mag,755.7961667,original,755.9096667,original,-0.1135,312WE1028_1993,"NA, NA",min,13
312WE1028,NA,SP_Mag,NA,NA,NA,NA,-0.001333333,312WE1028_1993,NA,median,13
312WE1028,1991,SP_Mag,111.1385,original,111.1119583,original,0.0265417,312WE1028_1991,"NA, NA",max,13
312WE1028,NA,SP_Mag,NA,NA,NA,NA,-0.01334868,312WE1028_1993,NA,mean,13
312WE1028,1992,SP_Tim,143,original,143,original,0,312WE1028_1992,"NA, NA",min,6
312WE1028,2005,SP_Tim,151,original,151,original,0,312WE1028_2005,"NA, NA",median,6
312WE1028,1993,SP_Tim,242,original,242,original,0,312WE1028_1993,"NA, NA",max,6
312WE1028,NA,SP_Tim,NA,NA,NA,NA,0,312WE1028_1992,NA,mean,6
312WE1028,1991,Wet_BFL_Dur,22,original,23,original,-1,312WE1028_1991,"NA, NA",min,6
312WE1028,1992,Wet_BFL_Dur,18,original,18,original,0,312WE1028_1992,"NA, NA",median,6
312WE1028,1993,Wet_BFL_Dur,115,original,115,original,0,312WE1028_1993,"NA, NA",max,6
312WE1028,NA,Wet_BFL_Dur,NA,NA,NA,NA,-0.166666667,312WE1028_1991,NA,mean,6
312WE1028,1995,Wet_BFL_Mag_10,11.996225,original,11.99809167,original,-0.001866672,312WE1028_1995,"NA, NA",min,23
312WE1028,2012,Wet_BFL_Mag_10,0.002,supplementary,0.002,supplementary,0,312WE1028_2012,"NA, NA",median,23
312WE1028,2005,Wet_BFL_Mag_10,0.069375,original,0.003,original,0.066375,312WE1028_2005,"NA, NA",max,23
312WE1028,NA,Wet_BFL_Mag_10,NA,NA,NA,NA,0.003773553,312WE1028_1995,NA,mean,23
312WE1028,1998,Wet_BFL_Mag_50,125.1591667,original,125.17225,original,-0.0130833,312WE1028_1998,"NA, NA",min,23
312WE1028,2011,Wet_BFL_Mag_50,0.006,supplementary,0.006,supplementary,0,312WE1028_2011,"NA, NA",median,23
312WE1028,1991,Wet_BFL_Mag_50,15.022125,original,1.30125,original,13.720875,312WE1028_1991,"NA, NA",max,23
312WE1028,NA,Wet_BFL_Mag_50,NA,NA,NA,NA,0.600062514,312WE1028_1998,NA,mean,23
312WE1028,2005,Wet_Tim,90,original,90,original,0,312WE1028_2005,"NA, NA",min,6
312WE1028,1995,Wet_Tim,94,original,94,original,0,312WE1028_1995,"NA, NA",median,6
312WE1028,1991,Wet_Tim,159,original,158,original,1,312WE1028_1991,"NA, NA",max,6
312WE1028,NA,Wet_Tim,NA,NA,NA,NA,0.166666667,312WE1028_2005,NA,mean,6
312WE1028,1993,Q99,651.7068333,original,651.8049733,original,-0.09814,312WE1028_1993,"NA, NA",min,23
312WE1028,NA,Q99,NA,NA,NA,NA,-4.17E-05,312WE1028_1993,NA,median,23
312WE1028,1995,Q99,238.554795,original,238.39556,original,0.159234988,312WE1028_1995,"NA, NA",max,23
312WE1028,NA,Q99,NA,NA,NA,NA,0.010997665,312WE1028_1993,NA,mean,23
312WE1035,1994,DS_Dur_WS,94,original,94,original,0,312WE1035_1994,"NA, NA",min,3
312WE1035,1991,DS_Dur_WS,289,original,289,original,0,312WE1035_1991,"NA, NA",median,3
312WE1035,1992,DS_Dur_WS,293,original,293,original,0,312WE1035_1992,"NA, NA",max,3
312WE1035,NA,DS_Dur_WS,NA,NA,NA,NA,0,312WE1035_1994,NA,mean,3
312WE1035,1994,DS_Tim,386,original,389,original,-3,312WE1035_1994,"NA, NA",min,12
312WE1035,2001,DS_Tim,191,original,191,original,0,312WE1035_2001,"NA, NA",median,12
312WE1035,1999,DS_Tim,389,original,389,original,0,312WE1035_1999,"NA, NA",max,12
312WE1035,NA,DS_Tim,NA,NA,NA,NA,-0.583333333,312WE1035_1994,NA,mean,12
312WE1035,1993,DS_Mag_50,6.3108125,supplementary,6.31225,supplementary,-0.0014375,312WE1035_1993,"NA, NA",min,22
312WE1035,NA,DS_Mag_50,NA,NA,NA,NA,-5.21E-05,312WE1035_1993,NA,median,22
312WE1035,1996,DS_Mag_50,0.776645833,supplementary,0.7741875,supplementary,0.002458333,312WE1035_1996,"NA, NA",max,22
312WE1035,NA,DS_Mag_50,NA,NA,NA,NA,1.89E-05,312WE1035_1993,NA,mean,22
312WE1035,1993,DS_Mag_90,8.593583334,supplementary,8.595541667,supplementary,-0.001958333,312WE1035_1993,"NA, NA",min,22
312WE1035,NA,DS_Mag_90,NA,NA,NA,NA,-7.29E-05,312WE1035_1993,NA,median,22
312WE1035,2009,DS_Mag_90,0.02,supplementary,0.019,supplementary,0.001,312WE1035_2009,"NA, NA",max,22
312WE1035,NA,DS_Mag_90,NA,NA,NA,NA,-0.000199817,312WE1035_1993,NA,mean,22
312WE1035,2009,SP_ROC,0.022471921,supplementary,0.026353289,supplementary,-0.003881368,312WE1035_2009,"NA, NA",min,23
312WE1035,NA,SP_ROC,NA,NA,NA,NA,-1.42E-06,312WE1035_2009,NA,median,23
312WE1035,2003,SP_ROC,0.02016129,supplementary,0.016185241,supplementary,0.003976049,312WE1035_2003,"NA, NA",max,23
312WE1035,NA,SP_ROC,NA,NA,NA,NA,7.68E-05,312WE1035_2009,NA,mean,23
312WE1035,2011,SP_Dur,18,original,18,original,0,312WE1035_2011,"NA, NA",min,8
312WE1035,2001,SP_Dur,27,original,27,original,0,312WE1035_2001,"NA, NA",median,8
312WE1035,2005,SP_Dur,146,original,146,original,0,312WE1035_2005,"NA, NA",max,8
312WE1035,NA,SP_Dur,NA,NA,NA,NA,0,312WE1035_2011,NA,mean,8
312WE1035,1998,SP_Mag,90.18254167,original,90.20220833,original,-0.01966666,312WE1035_1998,"NA, NA",min,12
312WE1035,NA,SP_Mag,NA,NA,NA,NA,-0.001625167,312WE1035_1998,NA,median,12
312WE1035,1993,SP_Mag,322.212625,original,322.2062083,original,0.0064167,312WE1035_1993,"NA, NA",max,12
312WE1035,NA,SP_Mag,NA,NA,NA,NA,-0.00443047,312WE1035_1998,NA,mean,12
312WE1035,1992,SP_Tim,143,original,143,original,0,312WE1035_1992,"NA, NA",min,8
312WE1035,2001,SP_Tim,164,original,164,original,0,312WE1035_2001,"NA, NA",median,8
312WE1035,1993,SP_Tim,241,original,241,original,0,312WE1035_1993,"NA, NA",max,8
312WE1035,NA,SP_Tim,NA,NA,NA,NA,0,312WE1035_1992,NA,mean,8
312WE1035,1992,Wet_BFL_Dur,19,original,19,original,0,312WE1035_1992,"NA, NA",min,8
312WE1035,1998,Wet_BFL_Dur,33,original,33,original,0,312WE1035_1998,"NA, NA",median,8
312WE1035,1991,Wet_BFL_Dur,25,original,24,original,1,312WE1035_1991,"NA, NA",max,8
312WE1035,NA,Wet_BFL_Dur,NA,NA,NA,NA,0.125,312WE1035_1992,NA,mean,8
312WE1035,1995,Wet_BFL_Mag_10,4.603208333,original,4.604208333,original,-0.001,312WE1035_1995,"NA, NA",min,23
312WE1035,2010,Wet_BFL_Mag_10,0.009,supplementary,0.009,supplementary,0,312WE1035_2010,"NA, NA",median,23
312WE1035,1992,Wet_BFL_Mag_10,0.415166666,original,0.412366667,original,0.0028,312WE1035_1992,"NA, NA",max,23
312WE1035,NA,Wet_BFL_Mag_10,NA,NA,NA,NA,7.03E-05,312WE1035_1995,NA,mean,23
312WE1035,1991,Wet_BFL_Mag_50,0.418958333,original,7.317312499,original,-6.898354166,312WE1035_1991,"NA, NA",min,23
312WE1035,NA,Wet_BFL_Mag_50,NA,NA,NA,NA,-4.17E-05,312WE1035_1991,NA,median,23
312WE1035,1992,Wet_BFL_Mag_50,0.493833333,original,0.422625,original,0.071208333,312WE1035_1992,"NA, NA",max,23
312WE1035,NA,Wet_BFL_Mag_50,NA,NA,NA,NA,-0.294390413,312WE1035_1991,NA,mean,23
312WE1035,1991,Wet_Tim,156,original,157,original,-1,312WE1035_1991,"NA, NA",min,8
312WE1035,1998,Wet_Tim,117,original,117,original,0,312WE1035_1998,"NA, NA",median,8
312WE1035,2011,Wet_Tim,160,original,160,original,0,312WE1035_2011,"NA, NA",max,8
312WE1035,NA,Wet_Tim,NA,NA,NA,NA,-0.125,312WE1035_1991,NA,mean,8
312WE1035,1992,Q99,49.76209583,original,49.77314792,original,-0.011052085,312WE1035_1992,"NA, NA",min,23
312WE1035,NA,Q99,NA,NA,NA,NA,-5.62E-05,312WE1035_1992,NA,median,23
312WE1035,1998,Q99,86.77662167,original,86.71868833,original,0.05793334,312WE1035_1998,"NA, NA",max,23
312WE1035,NA,Q99,NA,NA,NA,NA,0.005220546,312WE1035_1992,NA,mean,23
314CE0200,2007,DS_Dur_WS,174,original,298,original,-124,314CE0200_2007,"NA, NA",min,16
314CE0200,2002,DS_Dur_WS,168,original,255,original,-87,314CE0200_2002,"NA, NA",median,16
314CE0200,1994,DS_Dur_WS,252,original,231,original,21,314CE0200_1994,"NA, NA",max,16
314CE0200,NA,DS_Dur_WS,NA,NA,NA,NA,-12,314CE0200_2007,NA,mean,16
314CE0200,1994,DS_Tim,205,original,226,original,-21,314CE0200_1994,"NA, NA",min,21
314CE0200,2009,DS_Tim,209,original,210,original,-1,314CE0200_2009,"NA, NA",median,21
314CE0200,2007,DS_Tim,299,original,176,original,123,314CE0200_2007,"NA, NA",max,21
314CE0200,NA,DS_Tim,NA,NA,NA,NA,15.33333333,314CE0200_1994,NA,mean,21
314CE0200,1995,DS_Mag_50,39.37135417,original,40.42370833,original,-1.052354165,314CE0200_1995,"NA, NA",min,22
314CE0200,NA,DS_Mag_50,NA,NA,NA,NA,0.525664165,314CE0200_1995,NA,median,22
314CE0200,2011,DS_Mag_50,29.433875,original,13.25742,supplementary,16.176455,314CE0200_2011,"NA, NA",max,22
314CE0200,NA,DS_Mag_50,NA,NA,NA,NA,1.430964512,314CE0200_1995,NA,mean,22
314CE0200,2001,DS_Mag_90,193.9151,supplementary,197.8344,supplementary,-3.91930002,314CE0200_2001,"NA, NA",min,22
314CE0200,NA,DS_Mag_90,NA,NA,NA,NA,0.538844668,314CE0200_2001,NA,median,22
314CE0200,2011,DS_Mag_90,77.86540833,original,67.36921,supplementary,10.49619833,314CE0200_2011,"NA, NA",max,22
314CE0200,NA,DS_Mag_90,NA,NA,NA,NA,1.560367024,314CE0200_2001,NA,mean,22
314CE0200,2003,SP_ROC,0.015877588,original,0.016238916,original,-0.000361328,314CE0200_2003,"NA, NA",min,22
314CE0200,NA,SP_ROC,NA,NA,NA,NA,2.39E-05,314CE0200_2003,NA,median,22
314CE0200,2004,SP_ROC,0.054947906,original,0.050431537,supplementary,0.004516369,314CE0200_2004,"NA, NA",max,22
314CE0200,NA,SP_ROC,NA,NA,NA,NA,0.000698176,314CE0200_2003,NA,mean,22
314CE0200,2003,SP_Dur,44,original,69,original,-25,314CE0200_2003,"NA, NA",min,17
314CE0200,2009,SP_Dur,65,original,66,original,-1,314CE0200_2009,"NA, NA",median,17
314CE0200,1995,SP_Dur,72,original,69,original,3,314CE0200_1995,"NA, NA",max,17
314CE0200,NA,SP_Dur,NA,NA,NA,NA,-3.235294118,314CE0200_2003,NA,mean,17
314CE0200,2008,SP_Mag,16.63420833,original,203.5908,original,-186.9565917,314CE0200_2008,"NA, NA",min,21
314CE0200,NA,SP_Mag,NA,NA,NA,NA,5.88675,314CE0200_2008,NA,median,21
314CE0200,1994,SP_Mag,309.3875417,original,218.8919583,original,90.4955834,314CE0200_1994,"NA, NA",max,21
314CE0200,NA,SP_Mag,NA,NA,NA,NA,-5.145048062,314CE0200_2008,NA,mean,21
314CE0200,1994,SP_Tim,161,original,162,original,-1,314CE0200_1994,"NA, NA",min,17
314CE0200,2000,SP_Tim,163,original,163,original,0,314CE0200_2000,"NA, NA",median,17
314CE0200,2003,SP_Tim,225,original,88,original,137,314CE0200_2003,"NA, NA",max,17
314CE0200,NA,SP_Tim,NA,NA,NA,NA,8,314CE0200_1994,NA,mean,17
314CE0200,2006,Wet_BFL_Dur,16,original,16,original,0,314CE0200_2006,"NA, NA",min,17
314CE0200,1997,Wet_BFL_Dur,56,original,56,original,0,314CE0200_1997,"NA, NA",median,17
314CE0200,2003,Wet_BFL_Dur,154,original,17,original,137,314CE0200_2003,"NA, NA",max,17
314CE0200,NA,Wet_BFL_Dur,NA,NA,NA,NA,9.588235294,314CE0200_2006,NA,mean,17
314CE0200,2001,Wet_BFL_Mag_10,55.615,original,76.505528,original,-20.890528,314CE0200_2001,"NA, NA",min,23
314CE0200,NA,Wet_BFL_Mag_10,NA,NA,NA,NA,0.083750017,314CE0200_2001,NA,median,23
314CE0200,1991,Wet_BFL_Mag_10,46.842475,original,18.18445,original,28.658025,314CE0200_1991,"NA, NA",max,23
314CE0200,NA,Wet_BFL_Mag_10,NA,NA,NA,NA,0.553592534,314CE0200_2001,NA,mean,23
314CE0200,2000,Wet_BFL_Mag_50,534.1355,original,836.92795,original,-302.79245,314CE0200_2000,"NA, NA",min,23
314CE0200,NA,Wet_BFL_Mag_50,NA,NA,NA,NA,-0.4632417,314CE0200_2000,NA,median,23
314CE0200,2008,Wet_BFL_Mag_50,15.01527083,supplementary,0.006,original,15.00927083,314CE0200_2008,"NA, NA",max,23
314CE0200,NA,Wet_BFL_Mag_50,NA,NA,NA,NA,-22.15440865,314CE0200_2000,NA,mean,23
314CE0200,1994,Wet_Tim,123,original,133,original,-10,314CE0200_1994,"NA, NA",min,18
314CE0200,2001,Wet_Tim,139,original,140,original,-1,314CE0200_2001,"NA, NA",median,18
314CE0200,2006,Wet_Tim,175,original,175,original,0,314CE0200_2006,"NA, NA",max,18
314CE0200,NA,Wet_Tim,NA,NA,NA,NA,-1.555555556,314CE0200_1994,NA,mean,18
314CE0200,1998,FA_Dur,2,original,33,original,-31,314CE0200_1998,"NA, NA",min,1
314CE0200,NA,FA_Dur,NA,NA,NA,NA,-31,314CE0200_1998,NA,median,1
314CE0200,1998,FA_Dur,2,original,33,original,-31,314CE0200_1998,"NA, NA",max,1
314CE0200,NA,FA_Dur,NA,NA,NA,NA,-31,314CE0200_1998,NA,mean,1
314CE0200,1998,FA_Mag,43.7828356,original,297.7894747,original,-254.0066391,314CE0200_1998,"NA, NA",min,1
314CE0200,NA,FA_Mag,NA,NA,NA,NA,-254.0066391,314CE0200_1998,NA,median,1
314CE0200,1998,FA_Mag,43.7828356,original,297.7894747,original,-254.0066391,314CE0200_1998,"NA, NA",max,1
314CE0200,NA,FA_Mag,NA,NA,NA,NA,-254.0066391,314CE0200_1998,NA,mean,1
314CE0200,1998,FA_Tim,7,original,66,original,-59,314CE0200_1998,"NA, NA",min,1
314CE0200,NA,FA_Tim,NA,NA,NA,NA,-59,314CE0200_1998,NA,median,1
314CE0200,1998,FA_Tim,7,original,66,original,-59,314CE0200_1998,"NA, NA",max,1
314CE0200,NA,FA_Tim,NA,NA,NA,NA,-59,314CE0200_1998,NA,mean,1
314CE0200,2001,Q99,3868.216002,original,3875.65732,original,-7.44131812,314CE0200_2001,"NA, NA",min,23
314CE0200,NA,Q99,NA,NA,NA,NA,7.824923288,314CE0200_2001,NA,median,23
314CE0200,1993,Q99,7214.426388,original,7178.515063,original,35.91132512,314CE0200_1993,"NA, NA",max,23
314CE0200,NA,Q99,NA,NA,NA,NA,8.116356488,314CE0200_2001,NA,mean,23
314SCCNSY,1994,DS_Dur_WS,90,original,90,original,0,314SCCNSY_1994,"NA, NA",min,6
314SCCNSY,1996,DS_Dur_WS,102,original,102,original,0,314SCCNSY_1996,"NA, NA",median,6
314SCCNSY,1999,DS_Dur_WS,140,original,139,original,1,314SCCNSY_1999,"NA, NA",max,6
314SCCNSY,NA,DS_Dur_WS,NA,NA,NA,NA,0.166666667,314SCCNSY_1994,NA,mean,6
314SCCNSY,1994,DS_Tim,385,original,389,original,-4,314SCCNSY_1994,"NA, NA",min,12
314SCCNSY,1997,DS_Tim,145,original,145,original,0,314SCCNSY_1997,"NA, NA",median,12
314SCCNSY,2002,DS_Tim,389,original,389,original,0,314SCCNSY_2002,"NA, NA",max,12
314SCCNSY,NA,DS_Tim,NA,NA,NA,NA,-0.666666667,314SCCNSY_1994,NA,mean,12
314SCCNSY,1999,DS_Mag_50,8.48925,original,8.505083,original,-0.015833,314SCCNSY_1999,"NA, NA",min,18
314SCCNSY,NA,DS_Mag_50,NA,NA,NA,NA,-0.00075,314SCCNSY_1999,NA,median,18
314SCCNSY,1996,DS_Mag_50,7.402958333,original,7.378708333,original,0.02425,314SCCNSY_1996,"NA, NA",max,18
314SCCNSY,NA,DS_Mag_50,NA,NA,NA,NA,-0.000907385,314SCCNSY_1999,NA,mean,18
314SCCNSY,1993,DS_Mag_90,51.1134,supplementary,51.1211,supplementary,-0.007699998,314SCCNSY_1993,"NA, NA",min,18
314SCCNSY,NA,DS_Mag_90,NA,NA,NA,NA,-0.0008772,314SCCNSY_1993,NA,median,18
314SCCNSY,2004,DS_Mag_90,0.084,supplementary,0.0831,supplementary,0.0009,314SCCNSY_2004,"NA, NA",max,18
314SCCNSY,NA,DS_Mag_90,NA,NA,NA,NA,-0.002217365,314SCCNSY_1993,NA,mean,18
314SCCNSY,2005,SP_ROC,0.015747984,supplementary,0.017441898,supplementary,-0.001693914,314SCCNSY_2005,"NA, NA",min,17
314SCCNSY,NA,SP_ROC,NA,NA,NA,NA,3.27E-07,314SCCNSY_2005,NA,median,17
314SCCNSY,2007,SP_ROC,0.182946262,supplementary,0.182347676,supplementary,0.000598586,314SCCNSY_2007,"NA, NA",max,17
314SCCNSY,NA,SP_ROC,NA,NA,NA,NA,-3.25E-05,314SCCNSY_2005,NA,mean,17
314SCCNSY,1995,SP_Dur,18,original,18,original,0,314SCCNSY_1995,"NA, NA",min,7
314SCCNSY,1997,SP_Dur,23,original,23,original,0,314SCCNSY_1997,"NA, NA",median,7
314SCCNSY,1992,SP_Dur,62,original,62,original,0,314SCCNSY_1992,"NA, NA",max,7
314SCCNSY,NA,SP_Dur,NA,NA,NA,NA,0,314SCCNSY_1995,NA,mean,7
314SCCNSY,1995,SP_Mag,541.8945417,original,541.915375,original,-0.0208333,314SCCNSY_1995,"NA, NA",min,12
314SCCNSY,NA,SP_Mag,NA,NA,NA,NA,-0.000875166,314SCCNSY_1995,NA,median,12
314SCCNSY,1992,SP_Mag,219.6065833,original,219.4257083,original,0.180875,314SCCNSY_1992,"NA, NA",max,12
314SCCNSY,NA,SP_Mag,NA,NA,NA,NA,0.039499984,314SCCNSY_1995,NA,mean,12
314SCCNSY,1997,SP_Tim,122,original,122,original,0,314SCCNSY_1997,"NA, NA",min,7
314SCCNSY,1995,SP_Tim,178,original,178,original,0,314SCCNSY_1995,"NA, NA",median,7
314SCCNSY,1998,SP_Tim,228,original,228,original,0,314SCCNSY_1998,"NA, NA",max,7
314SCCNSY,NA,SP_Tim,NA,NA,NA,NA,0,314SCCNSY_1997,NA,mean,7
314SCCNSY,2000,Wet_BFL_Dur,66,original,67,original,-1,314SCCNSY_2000,"NA, NA",min,7
314SCCNSY,1997,Wet_BFL_Dur,20,original,20,original,0,314SCCNSY_1997,"NA, NA",median,7
314SCCNSY,1998,Wet_BFL_Dur,119,original,119,original,0,314SCCNSY_1998,"NA, NA",max,7
314SCCNSY,NA,Wet_BFL_Dur,NA,NA,NA,NA,-0.142857143,314SCCNSY_2000,NA,mean,7
314SCCNSY,1998,Wet_BFL_Mag_10,62.72826667,original,62.73780834,original,-0.00954167,314SCCNSY_1998,"NA, NA",min,18
314SCCNSY,NA,Wet_BFL_Mag_10,NA,NA,NA,NA,-5.42E-05,314SCCNSY_1998,NA,median,18
