OID_,COMID,GNIS_NAME,cells,x,y,MeanProb,grid_code,Ras_Lat,Ras_Long,Shape_Length
1,20332660,Sand Creek,283670,522389.9246,3645369.804,0.58860114,20332660,32.94639532,-116.7604648,2418.073258
2,20332660,Sand Creek,283671,522589.9246,3645369.804,0.455664434,20332660,32.9463912,-116.7583252,2418.073258
3,20332660,Sand Creek,284355,522589.9246,3645169.804,0.132556744,20332660,32.94458713,-116.7583301,2418.073258
4,20332660,Sand Creek,284356,522789.9246,3645169.804,0.359614039,20332660,32.94458297,-116.7561905,2418.073258
5,20332660,Sand Creek,285040,522789.9246,3644969.804,0.333336666,20332660,32.94277889,-116.7561954,2418.073258
6,20332660,Sand Creek,285041,522989.9246,3644969.804,0.380931907,20332660,32.9427747,-116.7540559,2418.073258
7,20332660,Sand Creek,285725,522989.9246,3644769.804,0.122507749,20332660,32.94097063,-116.7540609,2418.073258
8,20332660,Sand Creek,285726,523189.9246,3644769.804,0.155824418,20332660,32.9409664,-116.7519214,2418.073258
9,20332660,Sand Creek,286410,523189.9246,3644569.804,0.148865113,20332660,32.93916232,-116.7519264,2418.073258
10,20332660,Sand Creek,287094,523189.9246,3644369.804,0.173612639,20332660,32.93735824,-116.7519314,2418.073258
11,20332660,Sand Creek,287778,523189.9246,3644169.804,0.151984802,20332660,32.93555417,-116.7519365,2418.073258
12,20332660,Sand Creek,288462,523189.9246,3643969.804,0.125547445,20332660,32.93375009,-116.7519415,2418.073258
13,20332660,Sand Creek,289146,523189.9246,3643769.804,0.092770723,20332660,32.93194601,-116.7519465,2418.073258
14,20348867,San Juan Creek,67148,446789.9246,3708569.804,0.611128887,20348867,33.51536657,-117.5729549,332.6493024
15,20348867,San Juan Creek,67149,446989.9246,3708569.804,0.701749825,20348867,33.51537651,-117.5708015,332.6493024
16,20325361, ,389042,529589.9246,3614569.804,0.294040596,20325361,32.66839193,-116.684421,720.2414193
17,20325361, ,389043,529789.9246,3614569.804,0.286941306,20325361,32.66838654,-116.682288,720.2414193
18,20342991,Agua Caliente Creek,129174,539989.9246,3690569.804,0.70219978,20342991,33.35359232,-116.5701939,245.9801838
19,20342991,Agua Caliente Creek,129175,540189.9246,3690569.804,0.403939606,20342991,33.35358486,-116.5680444,245.9801838
20,20344477, ,,,,,,,,99.22797064
21,20331374,San Clemente Canyon,319735,484989.9246,3634769.804,0.603059694,20331374,32.85090455,-117.1604109,1430.135002
22,20331374,San Clemente Canyon,319736,485189.9246,3634769.804,0.578982102,20331374,32.85090727,-117.1582735,1430.135002
23,20331374,San Clemente Canyon,319737,485389.9246,3634769.804,0.604389561,20331374,32.85090996,-117.1561361,1430.135002
24,20331374,San Clemente Canyon,319738,485589.9246,3634769.804,0.620957904,20331374,32.8509126,-117.1539988,1430.135002
25,20331374,San Clemente Canyon,319739,485789.9246,3634769.804,0.586641336,20331374,32.85091522,-117.1518614,1430.135002
26,20331374,San Clemente Canyon,320417,484589.9246,3634569.804,0.616928307,20331374,32.84909488,-117.1646823,1430.135002
27,20331374,San Clemente Canyon,320418,484789.9246,3634569.804,0.614378562,20331374,32.84909768,-117.1625449,1430.135002
28,20331374,San Clemente Canyon,320419,484989.9246,3634569.804,0.566413359,20331374,32.84910044,-117.1604076,1430.135002
29,20332716,Conejos Creek,290549,530189.9246,3643369.804,0.214358564,20332716,32.92816683,-116.6770843,3386.635762
30,20332716,Conejos Creek,291233,530189.9246,3643169.804,0.206709329,20332716,32.92636276,-116.6770909,3386.635762
