OID_,COMID,GNIS_NAME,cells,x,y,MeanProb,grid_code,Ras_Lat,Ras_Long,Shape_Length
31,20332716,Conejos Creek,291915,529789.9246,3642969.804,0.207839216,20332716,32.92456968,-116.6813756,3386.635762
32,20332716,Conejos Creek,291916,529989.9246,3642969.804,0.218458154,20332716,32.9245642,-116.6792365,3386.635762
33,20332716,Conejos Creek,291917,530189.9246,3642969.804,0.110628937,20332716,32.9245587,-116.6770974,3386.635762
34,20332716,Conejos Creek,292599,529789.9246,3642769.804,0.216548345,20332716,32.92276561,-116.6813821,3386.635762
35,20332716,Conejos Creek,293280,529189.9246,3642569.804,0.227187281,20332716,32.92097773,-116.6878057,3386.635762
36,20332716,Conejos Creek,293281,529389.9246,3642569.804,0.249715028,20332716,32.92097237,-116.6856666,3386.635762
37,20332716,Conejos Creek,293282,529589.9246,3642569.804,0.216428357,20332716,32.92096697,-116.6835276,3386.635762
38,20332716,Conejos Creek,293283,529789.9246,3642569.804,0.161863814,20332716,32.92096154,-116.6813886,3386.635762
39,20332716,Conejos Creek,293962,528789.9246,3642369.804,0.21379862,20332716,32.91918427,-116.69209,3386.635762
40,20332716,Conejos Creek,293963,528989.9246,3642369.804,0.240155984,20332716,32.91917898,-116.689951,3386.635762
41,20332716,Conejos Creek,293964,529189.9246,3642369.804,0.214818518,20332716,32.91917366,-116.687812,3386.635762
42,20332716,Conejos Creek,294646,528789.9246,3642169.804,0.242925707,20332716,32.91738019,-116.6920962,3386.635762
43,20332716,Conejos Creek,295328,528389.9246,3641969.804,0.258054195,20332716,32.91558658,-116.6963803,3386.635762
44,20332716,Conejos Creek,295329,528589.9246,3641969.804,0.232046795,20332716,32.91558137,-116.6942413,3386.635762
45,20332716,Conejos Creek,295330,528789.9246,3641969.804,0.186071393,20332716,32.91557612,-116.6921024,3386.635762
46,20332716,Conejos Creek,296011,528189.9246,3641769.804,0.247735226,20332716,32.91378768,-116.6985253,3386.635762
47,20332716,Conejos Creek,296012,528389.9246,3641769.804,0.243235676,20332716,32.91378251,-116.6963864,3386.635762
48,20332716,Conejos Creek,296694,527989.9246,3641569.804,0.197840216,20332716,32.91198875,-116.7006702,3386.635762
49,20332716,Conejos Creek,296695,528189.9246,3641569.804,0.229467053,20332716,32.91198361,-116.6985314,3386.635762
50,948070417, ,154870,480789.9246,3682969.804,0.36860314,948070417,33.28561361,-117.2063076,3603.55441
51,948070417, ,155554,480789.9246,3682769.804,0.25360464,948070417,33.28380963,-117.2063033,3603.55441
52,948070417, ,155555,480989.9246,3682769.804,0.343175682,948070417,33.28381318,-117.2041555,3603.55441
53,948070417, ,156239,480989.9246,3682569.804,0.26070393,948070417,33.28200919,-117.2041513,3603.55441
54,948070417, ,156240,481189.9246,3682569.804,0.281031897,948070417,33.2820127,-117.2020035,3603.55441
55,948070417, ,156241,481389.9246,3682569.804,0.32119788,948070417,33.28201618,-117.1998557,3603.55441
56,948070417, ,156242,481589.9246,3682569.804,0.389051095,948070417,33.28201961,-117.1977078,3603.55441
57,948070417, ,156243,481789.9246,3682569.804,0.388581142,948070417,33.28202301,-117.19556,3603.55441
58,948070417, ,156927,481789.9246,3682369.804,0.218418158,948070417,33.28021902,-117.195556,3603.55441
59,948070417, ,156928,481989.9246,3682369.804,0.21089891,948070417,33.28022238,-117.1934082,3603.55441
60,948070417, ,156929,482189.9246,3682369.804,0.19120088,948070417,33.28022571,-117.1912605,3603.55441
61,948070417, ,156930,482389.9246,3682369.804,0.19830017,948070417,33.28022899,-117.1891127,3603.55441
62,948070417, ,156931,482589.9246,3682369.804,0.199730027,948070417,33.28023224,-117.1869649,3603.55441
63,948070417, ,157615,482589.9246,3682169.804,0.249105089,948070417,33.27842826,-117.1869611,3603.55441
64,948070417, ,158299,482589.9246,3681969.804,0.314688531,948070417,33.27662427,-117.1869572,3603.55441
65,948070417, ,158300,482789.9246,3681969.804,0.31329867,948070417,33.27662748,-117.1848096,3603.55441
66,948070417, ,158301,482989.9246,3681969.804,0.222837716,948070417,33.27663066,-117.1826619,3603.55441
67,948070417, ,158985,482989.9246,3681769.804,0.326257374,948070417,33.27482667,-117.1826581,3603.55441
68,948070417, ,158986,483189.9246,3681769.804,0.320517948,948070417,33.27482981,-117.1805105,3603.55441
69,948070417, ,158987,483389.9246,3681769.804,0.31789821,948070417,33.27483291,-117.1783628,3603.55441
70,948070417, ,159671,483389.9246,3681569.804,0.368733127,948070417,33.27302892,-117.1783592,3603.55441
71,948070417, ,159672,483589.9246,3681569.804,0.342405759,948070417,33.27303198,-117.1762116,3603.55441
72,20350737,San Mateo Creek,,,,,,,,115.4382161
73,20334722, ,304187,521789.9246,3639369.804,0.291150885,20334722,32.89228494,-116.7670256,1318.12649
74,22548393,Fern Creek,97358,469589.9246,3699769.804,0.155614439,22548393,33.43688686,-117.3271557,289.773368
75,20332844,King Creek,305580,526789.9246,3638969.804,0.566133387,20332844,32.88856575,-116.7135786,1058.131245
76,20332844,King Creek,306264,526789.9246,3638769.804,0.413168683,20332844,32.88676167,-116.7135844,1058.131245
77,20332844,King Creek,306265,526989.9246,3638769.804,0.565283472,20332844,32.88675675,-116.7114462,1058.131245
78,20332844,King Creek,306949,526989.9246,3638569.804,0.430246975,20332844,32.88495267,-116.711452,1058.131245
79,20332844,King Creek,307633,526989.9246,3638369.804,0.430776922,20332844,32.88314858,-116.7114579,1058.131245
80,20332844,King Creek,308317,526989.9246,3638169.804,0.287881212,20332844,32.88134449,-116.7114637,1058.131245
81,20333790, ,415598,505589.9246,3606769.804,0.398860114,20333790,32.59841152,-116.9404292,4712.31055
82,20333790, ,416282,505589.9246,3606569.804,0.219578042,20333790,32.59660733,-116.9404304,4712.31055
83,20333790, ,416283,505789.9246,3606569.804,0.233936606,20333790,32.5966063,-116.9382991,4712.31055
84,20333790, ,416284,505989.9246,3606569.804,0.285841416,20333790,32.59660524,-116.9361678,4712.31055
85,20333790, ,416968,505989.9246,3606369.804,0.235336466,20333790,32.59480105,-116.9361691,4712.31055
86,20333790, ,417652,505989.9246,3606169.804,0.224627537,20333790,32.59299685,-116.9361704,4712.31055
87,20333790, ,417653,506189.9246,3606169.804,0.297630237,20333790,32.59299575,-116.9340391,4712.31055
88,20333790, ,418337,506189.9246,3605969.804,0.238046195,20333790,32.59119156,-116.9340405,4712.31055
89,20333790, ,418338,506389.9246,3605969.804,0.286321368,20333790,32.59119042,-116.9319093,4712.31055
90,20333790, ,419022,506389.9246,3605769.804,0.209579042,20333790,32.58938623,-116.9319106,4712.31055
91,20333790, ,419023,506589.9246,3605769.804,0.263913609,20333790,32.58938506,-116.9297795,4712.31055
92,20333790, ,419707,506589.9246,3605569.804,0.190040996,20333790,32.58758087,-116.9297809,4712.31055
93,20333790, ,419708,506789.9246,3605569.804,0.229967003,20333790,32.58757966,-116.9276498,4712.31055
94,20333790, ,419709,506989.9246,3605569.804,0.190030997,20333790,32.58757841,-116.9255187,4712.31055
95,20333790, ,419715,508189.9246,3605569.804,0.174122588,20333790,32.58757018,-116.9127321,4712.31055
96,20333790, ,419716,508389.9246,3605569.804,0.110878912,20333790,32.58756868,-116.910601,4712.31055
97,20333790, ,419717,508589.9246,3605569.804,0.1219978,20333790,32.58756715,-116.9084699,4712.31055
98,20333790, ,419718,508789.9246,3605569.804,0.248525147,20333790,32.58756558,-116.9063388,4712.31055
99,20333790, ,419719,508989.9246,3605569.804,0.253614639,20333790,32.58756397,-116.9042077,4712.31055
100,20333790, ,420393,506989.9246,3605369.804,0.119328067,20333790,32.58577422,-116.9255202,4712.31055
101,20333790, ,420394,507189.9246,3605369.804,0.123177682,20333790,32.58577294,-116.9233891,4712.31055
102,20333790, ,420395,507389.9246,3605369.804,0.159854015,20333790,32.58577162,-116.9212581,4712.31055
103,20333790, ,420396,507589.9246,3605369.804,0.184211579,20333790,32.58577027,-116.919127,4712.31055
104,20333790, ,420398,507989.9246,3605369.804,0.176862314,20333790,32.58576745,-116.9148649,4712.31055
105,20333790, ,420399,508189.9246,3605369.804,0.190850915,20333790,32.58576599,-116.9127338,4712.31055
106,20333790, ,420403,508989.9246,3605369.804,0.179722028,20333790,32.58575978,-116.9042096,4712.31055
107,20333790, ,420404,509189.9246,3605369.804,0.197570243,20333790,32.58575814,-116.9020785,4712.31055
108,20333790, ,421080,507589.9246,3605169.804,0.154244576,20333790,32.58396607,-116.9191286,4712.31055
109,20333790, ,421081,507789.9246,3605169.804,0.131636836,20333790,32.58396468,-116.9169976,4712.31055
110,20333790, ,421082,507989.9246,3605169.804,0.132926707,20333790,32.58396326,-116.9148666,4712.31055
111,20332970,Los Coches Creek,317107,506589.9246,3635569.804,0.125747425,20332970,32.85820401,-116.9295685,3808.27884
112,20332970,Los Coches Creek,317108,506789.9246,3635569.804,0.124337566,20332970,32.85820279,-116.9274309,3808.27884
113,20332970,Los Coches Creek,317791,506589.9246,3635369.804,0.141385861,20332970,32.8563999,-116.9295699,3808.27884
114,20332970,Los Coches Creek,317792,506789.9246,3635369.804,0.128837116,20332970,32.85639868,-116.9274324,3808.27884
115,20332970,Los Coches Creek,317793,506989.9246,3635369.804,0.120107989,20332970,32.85639742,-116.9252949,3808.27884
116,20332970,Los Coches Creek,317794,507189.9246,3635369.804,0.150124988,20332970,32.85639612,-116.9231574,3808.27884
117,20332970,Los Coches Creek,317795,507389.9246,3635369.804,0.149375062,20332970,32.85639479,-116.9210199,3808.27884
118,20332970,Los Coches Creek,318479,507389.9246,3635169.804,0.36750325,20332970,32.85459068,-116.9210215,3808.27884
119,20332970,Los Coches Creek,319163,507389.9246,3634969.804,0.394750525,20332970,32.85278656,-116.9210231,3808.27884
120,20332970,Los Coches Creek,319847,507389.9246,3634769.804,0.560573943,20332970,32.85098244,-116.9210247,3808.27884
121,20332970,Los Coches Creek,319848,507589.9246,3634769.804,0.406509349,20332970,32.85098108,-116.9188873,3808.27884
122,20332970,Los Coches Creek,320532,507589.9246,3634569.804,0.578022198,20332970,32.84917696,-116.9188889,3808.27884
123,20332970,Los Coches Creek,321216,507589.9246,3634369.804,0.393270673,20332970,32.84737284,-116.9188906,3808.27884
124,20332970,Los Coches Creek,321217,507789.9246,3634369.804,0.196110389,20332970,32.84737144,-116.9167533,3808.27884
125,20332970,Los Coches Creek,321901,507789.9246,3634169.804,0.158284172,20332970,32.84556732,-116.916755,3808.27884
126,20332970,Los Coches Creek,322585,507789.9246,3633969.804,0.196410359,20332970,32.8437632,-116.9167566,3808.27884
127,20332970,Los Coches Creek,323269,507789.9246,3633769.804,0.476572343,20332970,32.84195908,-116.9167583,3808.27884
128,20332970,Los Coches Creek,323953,507789.9246,3633569.804,0.380611939,20332970,32.84015496,-116.91676,3808.27884
129,20332970,Los Coches Creek,323954,507989.9246,3633569.804,0.390940906,20332970,32.84015352,-116.9146229,3808.27884
130,20332970,Los Coches Creek,323955,508189.9246,3633569.804,0.294010599,20332970,32.84015205,-116.9124858,3808.27884
131,20332970,Los Coches Creek,323956,508389.9246,3633569.804,0.110478952,20332970,32.84015053,-116.9103487,3808.27884
132,20332970,Los Coches Creek,323957,508589.9246,3633569.804,0.104429557,20332970,32.84014899,-116.9082116,3808.27884
133,20332970,Los Coches Creek,323958,508789.9246,3633569.804,0.094230577,20332970,32.8401474,-116.9060744,3808.27884
134,22547109, ,36615,496189.9246,3717569.804,0.18930107,22547109,33.59786089,-117.0410654,381.2081343
135,22548199, ,74238,496789.9246,3706569.804,0.416188381,22548199,33.49864749,-117.034559,681.234331
136,22548199, ,74239,496989.9246,3706569.804,0.388581142,22548199,33.49864807,-117.0324058,681.234331
137,22548199, ,74921,496589.9246,3706369.804,0.407239276,22548199,33.49684294,-117.0367114,681.234331
138,22548199, ,74922,496789.9246,3706369.804,0.392830717,22548199,33.49684356,-117.0345583,681.234331
139,22548199, ,75605,496589.9246,3706169.804,0.3920008,22548199,33.49503901,-117.0367106,681.234331
140,948070184, ,50908,481989.9246,3713369.804,0.122587741,948070184,33.5598336,-117.1940292,494.1469739
141,948070184, ,50909,482189.9246,3713369.804,0.1339966,948070184,33.55983696,-117.1918745,494.1469739
142,948070184, ,51591,481789.9246,3713169.804,0.081461854,948070184,33.5580263,-117.1961797,494.1469739
143,948070184, ,51592,481989.9246,3713169.804,0.110708929,948070184,33.5580297,-117.1940251,494.1469739
144,20334586,San Diego River,,,,,,,,636.1403962
145,22548209, ,73471,480189.9246,3706769.804,0.051794821,22548209,33.50027269,-117.2132749,4089.123029
146,22548209, ,74154,479989.9246,3706569.804,0.070762924,22548209,33.49846505,-117.2154236,4089.123029
147,22548209, ,74155,480189.9246,3706569.804,0.066983302,22548209,33.49846877,-117.2132705,4089.123029
148,22548209, ,74835,479389.9246,3706369.804,0.07630237,22548209,33.49664973,-117.2218784,4089.123029
149,22548209, ,74836,479589.9246,3706369.804,0.051014899,22548209,33.49665357,-117.2197253,4089.123029
150,22548209, ,74837,479789.9246,3706369.804,0.047225277,22548209,33.49665737,-117.2175723,4089.123029
151,22548209, ,74838,479989.9246,3706369.804,0.077472253,22548209,33.49666113,-117.2154192,4089.123029
152,22548209, ,75517,478989.9246,3706169.804,0.047615238,22548209,33.49483803,-117.2261799,4089.123029
153,22548209, ,75518,479189.9246,3706169.804,0.058264174,22548209,33.49484194,-117.2240269,4089.123029
154,22548209, ,75519,479389.9246,3706169.804,0.053584642,22548209,33.49484581,-117.2218738,4089.123029
155,22548209, ,76200,478789.9246,3705969.804,0.098560144,22548209,33.49303016,-117.2283282,4089.123029
156,22548209, ,76201,478989.9246,3705969.804,0.107209279,22548209,33.49303411,-117.2261752,4089.123029
157,22548209, ,76876,477189.9246,3705769.804,0.046805319,22548209,33.49119331,-117.2455471,4089.123029
158,22548209, ,76877,477389.9246,3705769.804,0.033956604,22548209,33.49119756,-117.2433942,4089.123029
159,22548209, ,76878,477589.9246,3705769.804,0.044845515,22548209,33.49120177,-117.2412412,4089.123029
160,22548209, ,76879,477789.9246,3705769.804,0.078672133,22548209,33.49120594,-117.2390883,4089.123029
161,22548209, ,76880,477989.9246,3705769.804,0.05420458,22548209,33.49121008,-117.2369353,4089.123029
162,22548209, ,76881,478189.9246,3705769.804,0.037326267,22548209,33.49121418,-117.2347824,4089.123029
163,22548209, ,76882,478389.9246,3705769.804,0.033116688,22548209,33.49121824,-117.2326294,4089.123029
164,22548209, ,76883,478589.9246,3705769.804,0.055814419,22548209,33.49122226,-117.2304765,4089.123029
165,22548209, ,76884,478789.9246,3705769.804,0.091970803,22548209,33.49122624,-117.2283235,4089.123029
166,22548209, ,77563,477789.9246,3705569.804,0.026827317,22548209,33.48940203,-117.2390833,4089.123029
167,22548209, ,77564,477989.9246,3705569.804,0.025757424,22548209,33.48940616,-117.2369304,4089.123029
168,20326323, ,310485,550189.9246,3637569.804,0.260963904,20326323,32.87511435,-116.4634836,340.5281761
169,20326323, ,310486,550389.9246,3637569.804,0.302459754,20326323,32.87510516,-116.4613457,340.5281761
170,20326323, ,311169,550189.9246,3637369.804,0.258194181,20326323,32.87331031,-116.4634944,340.5281761
171,20332082, ,299183,478589.9246,3640769.804,0.212928707,20332082,32.90492108,-117.2289456,314.958224
172,22547503,Spring Creek,64021,505389.9246,3709569.804,0.463493651,22547503,33.52569761,-116.9419551,352.2454882
173,20325637,Cottonwood Creek,420476,523589.9246,3605369.804,0.729067093,20325637,32.5855449,-116.748643,1167.567042
174,20325637,Cottonwood Creek,420477,523789.9246,3605369.804,0.782271773,20325637,32.58554062,-116.7465119,1167.567042
175,22547119,Tucalota Creek,,,,,,,,873.7907794
176,20343051,Iron Springs Creek,135880,513189.9246,3688569.804,0.387151285,20343051,33.33621554,-116.8582642,170.5962884
177,20341789, ,178195,494589.9246,3676169.804,0.268563144,20341789,33.22443521,-117.0580613,2007.413608
178,20341789, ,178196,494789.9246,3676169.804,0.263723628,20341789,33.2244362,-117.0559149,2007.413608
179,20341789, ,178878,494389.9246,3675969.804,0.235916408,20341789,33.22263018,-117.0602065,2007.413608
180,20341789, ,178879,494589.9246,3675969.804,0.29730027,20341789,33.2226312,-117.0580602,2007.413608
181,20341789, ,179556,493189.9246,3675769.804,0.153694631,20341789,33.22081928,-117.0730832,2007.413608
182,20341789, ,179557,493389.9246,3675769.804,0.218018198,20341789,33.22082052,-117.0709369,2007.413608
183,20341789, ,179561,494189.9246,3675769.804,0.198550145,20341789,33.22082512,-117.0623516,2007.413608
184,20341789, ,179562,494389.9246,3675769.804,0.233346665,20341789,33.22082617,-117.0602053,2007.413608
185,20341789, ,180241,493389.9246,3675569.804,0.146385361,20341789,33.21901651,-117.0709355,2007.413608
186,20341789, ,180242,493589.9246,3675569.804,0.16830317,20341789,33.21901771,-117.0687892,2007.413608
187,20341789, ,180243,493789.9246,3675569.804,0.125167483,20341789,33.21901888,-117.0666429,2007.413608
188,20341789, ,180244,493989.9246,3675569.804,0.171742826,20341789,33.21902001,-117.0644966,2007.413608
189,20341789, ,180245,494189.9246,3675569.804,0.163233677,20341789,33.21902111,-117.0623503,2007.413608
190,948070390, ,304681,483789.9246,3639169.804,0.3389961,948070390,32.89057776,-117.1733123,640.0588405
191,948070390, ,304682,483989.9246,3639169.804,0.255524448,948070390,32.8905807,-117.1711739,640.0588405
192,20348873, ,66528,459589.9246,3708769.804,0.485541446,20348873,33.51773124,-117.4351403,371.6876748
193,20348873, ,67212,459589.9246,3708569.804,0.453524648,20348873,33.51592737,-117.4351312,371.6876748
194,20325083,La Posta Creek,341302,557589.9246,3628569.804,0.441725827,20325083,32.79356919,-116.3849433,403.202499
195,20325083,La Posta Creek,341986,557589.9246,3628369.804,0.505159484,20325083,32.79176516,-116.3849557,403.202499
196,20329228, ,,,,,,,,362.1522034
197,20348855,San Juan Creek,67146,446389.9246,3708569.804,0.87160284,20348855,33.51534657,-117.5772618,412.9701106
198,20348855,San Juan Creek,67147,446589.9246,3708569.804,0.88090191,20348855,33.51535659,-117.5751084,412.9701106
199,948070218, ,,,,,,,,150.3812174
200,20325177,Espinosa Creek,358284,533989.9246,3623569.804,0.269783022,20325177,32.74945071,-116.6371669,2103.72136
201,20325177,Espinosa Creek,358285,534189.9246,3623569.804,0.275512449,20325177,32.74944451,-116.635032,2103.72136
202,20325177,Espinosa Creek,358286,534389.9246,3623569.804,0.238616138,20325177,32.74943827,-116.6328971,2103.72136
203,20325177,Espinosa Creek,358966,533589.9246,3623369.804,0.234136586,20325177,32.74765888,-116.641444,2103.72136
204,20325177,Espinosa Creek,358967,533789.9246,3623369.804,0.227327267,20325177,32.74765276,-116.6393091,2103.72136
205,20325177,Espinosa Creek,358968,533989.9246,3623369.804,0.223067693,20325177,32.74764659,-116.6371742,2103.72136
206,20325177,Espinosa Creek,360330,532789.9246,3622969.804,0.489311069,20325177,32.74407479,-116.6499975,2103.72136
207,20342997,San Luis Rey River,,,,,,,,609.3868458
208,20330868,Santa Ysabel Creek,215933,518189.9246,3665169.804,0.560773923,20330868,33.12507481,-116.8050046,2706.194092
209,20330868,Santa Ysabel Creek,215934,518389.9246,3665169.804,0.498160184,20330868,33.12507144,-116.8028607,2706.194092
210,20330868,Santa Ysabel Creek,215937,518989.9246,3665169.804,0.34679532,20330868,33.1250611,-116.7964287,2706.194092
211,20330868,Santa Ysabel Creek,215938,519189.9246,3665169.804,0.349075092,20330868,33.12505758,-116.7942847,2706.194092
212,20330868,Santa Ysabel Creek,215939,519389.9246,3665169.804,0.290260974,20330868,33.12505402,-116.7921407,2706.194092
213,20330868,Santa Ysabel Creek,216618,518389.9246,3664969.804,0.423537646,20330868,33.12326741,-116.8028647,2706.194092
214,20330868,Santa Ysabel Creek,216619,518589.9246,3664969.804,0.324427557,20330868,33.123264,-116.8007207,2706.194092
215,20330868,Santa Ysabel Creek,216620,518789.9246,3664969.804,0.304159584,20330868,33.12326055,-116.7985768,2706.194092
216,20330868,Santa Ysabel Creek,216621,518989.9246,3664969.804,0.216778322,20330868,33.12325707,-116.7964329,2706.194092
217,20330868,Santa Ysabel Creek,216623,519389.9246,3664969.804,0.279892011,20330868,33.12324999,-116.792145,2706.194092
218,20330868,Santa Ysabel Creek,216624,519589.9246,3664969.804,0.275642436,20330868,33.12324639,-116.7900011,2706.194092
219,20330868,Santa Ysabel Creek,216625,519789.9246,3664969.804,0.305879412,20330868,33.12324276,-116.7878571,2706.194092
220,20330868,Santa Ysabel Creek,217307,519389.9246,3664769.804,0.257394261,20330868,33.12144596,-116.7921492,2706.194092
221,20330868,Santa Ysabel Creek,217308,519589.9246,3664769.804,0.258344166,20330868,33.12144237,-116.7900054,2706.194092
222,20330868,Santa Ysabel Creek,217309,519789.9246,3664769.804,0.276152385,20330868,33.12143874,-116.7878615,2706.194092
223,20330868,Santa Ysabel Creek,217310,519989.9246,3664769.804,0.316288371,20330868,33.12143507,-116.7857176,2706.194092
224,20330868,Santa Ysabel Creek,217994,519989.9246,3664569.804,0.423977602,20330868,33.11963104,-116.7857219,2706.194092
225,20332118,"Penasquitos Creek, Los",,,,,,,,61.04872958
226,20333160,Sweetwater River,352032,514789.9246,3625369.804,0.793430657,20333160,32.76611371,-116.8420919,886.8661791
227,20333160,Sweetwater River,352033,514989.9246,3625369.804,0.846075392,20333160,32.766111,-116.8399565,886.8661791
228,20333160,Sweetwater River,352034,515189.9246,3625369.804,0.785371463,20333160,32.76610825,-116.8378212,886.8661791
229,20333160,Sweetwater River,352715,514589.9246,3625169.804,0.931436856,20333160,32.76431225,-116.8442304,886.8661791
230,20333160,Sweetwater River,352716,514789.9246,3625169.804,0.802519748,20333160,32.76430957,-116.842095,886.8661791
231,22550551,Tule Creek,86653,517389.9246,3702969.804,0.299470053,22550551,33.46604021,-116.812854,2990.14341
232,22550551,Tule Creek,86654,517589.9246,3702969.804,0.287281272,22550551,33.46603694,-116.8107016,2990.14341
233,22550551,Tule Creek,87327,515389.9246,3702769.804,0.535006499,22550551,33.4642669,-116.8343808,2990.14341
234,22550551,Tule Creek,87328,515589.9246,3702769.804,0.542045795,22550551,33.46426401,-116.8322285,2990.14341
235,22550551,Tule Creek,87334,516789.9246,3702769.804,0.326527347,22550551,33.46424586,-116.8193148,2990.14341
236,22550551,Tule Creek,87335,516989.9246,3702769.804,0.263273673,22550551,33.4642427,-116.8171624,2990.14341
237,22550551,Tule Creek,87336,517189.9246,3702769.804,0.215568443,22550551,33.46423951,-116.8150102,2990.14341
238,22550551,Tule Creek,87337,517389.9246,3702769.804,0.256884312,22550551,33.46423628,-116.8128579,2990.14341
239,22550551,Tule Creek,87338,517589.9246,3702769.804,0.235166483,22550551,33.46423301,-116.8107056,2990.14341
240,22550551,Tule Creek,87339,517789.9246,3702769.804,0.225757424,22550551,33.46422971,-116.8085533,2990.14341
241,22550551,Tule Creek,88012,515589.9246,3702569.804,0.623547645,22550551,33.46246008,-116.832232,2990.14341
242,22550551,Tule Creek,88013,515789.9246,3702569.804,0.6229977,22550551,33.46245714,-116.8300797,2990.14341
243,22550551,Tule Creek,88014,515989.9246,3702569.804,0.644375562,22550551,33.46245418,-116.8279275,2990.14341
244,22550551,Tule Creek,88015,516189.9246,3702569.804,0.609269073,22550551,33.46245117,-116.8257753,2990.14341
245,22550551,Tule Creek,88016,516389.9246,3702569.804,0.50009999,22550551,33.46244813,-116.823623,2990.14341
246,22550551,Tule Creek,88017,516589.9246,3702569.804,0.355154485,22550551,33.46244505,-116.8214707,2990.14341
247,22550551,Tule Creek,88018,516789.9246,3702569.804,0.246565343,22550551,33.46244193,-116.8193185,2990.14341
248,22550551,Tule Creek,88019,516989.9246,3702569.804,0.253114689,22550551,33.46243877,-116.8171662,2990.14341
249,22549547, ,101750,527189.9246,3698569.804,0.362963704,22549547,33.42614984,-116.707523,292.7323098
250,22549547, ,102434,527189.9246,3698369.804,0.385281472,22549547,33.42434591,-116.7075291,292.7323098
251,20330038,San Diego River,261797,525389.9246,3651769.804,0.385821418,20330038,33.00405967,-116.7281933,696.1808743
252,20330038,San Diego River,262480,525189.9246,3651569.804,0.408329167,20330038,33.00226026,-116.7303398,696.1808743
253,20330038,San Diego River,263164,525189.9246,3651369.804,0.289731027,20330038,33.0004562,-116.7303453,696.1808743
254,20327393,La Posta Creek,361810,555189.9246,3622569.804,0.568933107,20327393,32.73957102,-116.4109305,358.0963769
