"","stationcode","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_06142010_BMI_RWB_1","6/14/10",1.11687099,1.07707254,1.09697177,34.77948,-119.95802,0,-0.000115777471742,-0.000113636705246561,0,NA,NA,NA,-0.000116726446509571,0,-0.000112282302957487,3.59e-07,0,0,-8.50995907247303e-05,-0.000113015074909361,0
"2","312WE1028","312WE1028_05292002_BMI_RWB_1.0","5/29/2002",1.28393244,0.73128893,1.00761068,34.74721,-119.71562,0,-6.53408386441488e-05,-0.00014497612956131,-4,NA,NA,NA,-0.000140825235882235,0,-0.00014983613189177,1.93e-07,0,0,0,10.5443804023055,0
"3","312WE1035","312WE1035_05302002_BMI_RWB_1.0","5/30/2002",0.98393678,1.15885541,1.0713961,34.73287,-119.67637,0,-0.000209151575190899,-0.000204622524275691,0,NA,NA,NA,-0.000178655792797496,0,-0.000221813993650677,-1.42e-06,0,0,0,-0.000142837880221283,0
"4","314CE0200","314CE0200_05222007_BMI_RWB_1.0","5/22/2007",0.6288809,0.41428521,0.52158305,34.59277,-120.16055,-87,0.0677785689441304,0.0128715509885299,-1,NA,NA,NA,0.00318208484771033,-1,0.00264761463217518,2.39e-05,0,0,0.0620466098690765,-0.0021946859783328,-1
"5","314SCCNSY","314SCCNSY_04232014_BMI_RWB_1.0","4/23/2014",0.89242347,0.66812967,0.78027657,34.5967,-119.9088,0,-0.000150131944554675,-0.000150373265047638,0,NA,NA,NA,-6.52151770577221e-05,0,-9.21092165184367e-05,3.27e-07,0,0,-0.000144055806096582,-3.07113158432453e-05,0
"6","314SYC","314SYC_04152001_BMI_CSBP_Trans_1.0","4/15/2001",0.97180559,0.7031421,0.83747385,34.58799,-120.02651,0,0,426.999999,0,NA,NA,NA,0.000159568436707541,0,0.000244064908072673,0.000139832,0,0,0,0.979775407209076,0
"7","314SYL","314SYL_06292011_BMI_RWB_MCM_1.0","6/29/2011",0.87766387,0.69209471,0.78487929,34.64387,-120.43045,86.5,0.460339081429169,0.803582337365296,-2.5,NA,NA,NA,3.45502505508885,-2,0.0268227085961189,3.33e-07,0,0.5,0.0739738519084514,0.0974874949602725,-0.5
"8","314SYRASV","314SYRASV_04222014_BMI_RWB_1.0","4/22/2014",0.56495699,0.64710901,0.606033,34.585,-120.1446,-6,0.046998403355082,0.0123923211807792,-0.5,NA,NA,NA,0.00501863087690168,-4,0.00216467383225608,0.000144347,0,0,0.0137257803158736,-0.00200514510626759,0
"9","314WE0542","314WE0542_07112000_BMI_CSBP_Trans_1.0","7/11/2000",0.9514762,0.82783002,0.88965311,34.55085,-120.3583,-6,0,0.243902439024387,-2,NA,NA,NA,0,27,0,-0.029761905,-29,-25,-0.554666666666666,0.5,-4
"10","314WE0677","314WE0677_07232008_BMI_RWB_1.0","7/23/2008",0.89663748,1.01038699,0.95351224,34.7477,-120.05303,0,0.00475366697381194,0.000647538793148749,0,NA,NA,NA,-0.000384516639304005,0,-0.000370706604195809,-1.98e-06,0,0,0.000618299509178916,0.00470286447199663,0
