,OID_,cells,x,y,MeanProb,COMID,geometry,
64,64,9695,447389.9246,3725369.804,0.638086191,20348217,c(447389.924600074, 3725369.80350754)
65,65,9696,447589.9246,3725369.804,0.451334867,20348217,c(447589.924600074, 3725369.80350754)
66,66,9697,447789.9246,3725369.804,0.363773623,20348217,c(447789.924600074, 3725369.80350754)
67,67,10369,445389.9246,3725169.804,0.463783622,20348237,c(445389.924600074, 3725169.80350754)
68,68,10376,446789.9246,3725169.804,0.598950105,20348217,c(446789.924600074, 3725169.80350754)
69,69,10377,446989.9246,3725169.804,0.458644136,20348217,c(446989.924600074, 3725169.80350754)
70,70,11053,445389.9246,3724969.804,0.345465453,20348237,c(445389.924600074, 3724969.80350754)
71,71,11058,446389.9246,3724969.804,0.48130187,20348217,c(446389.924600074, 3724969.80350754)
72,72,11059,446589.9246,3724969.804,0.54809519,20348217,c(446589.924600074, 3724969.80350754)
73,73,11060,446789.9246,3724969.804,0.511308869,20348217,c(446789.924600074, 3724969.80350754)
74,74,11096,453989.9246,3724969.804,0.248445155,20350503,c(453989.924600074, 3724969.80350754)
75,75,11097,454189.9246,3724969.804,0.275732427,20350503,c(454189.924600074, 3724969.80350754)
76,76,11737,445389.9246,3724769.804,0.475092491,20348237,c(445389.924600074, 3724769.80350754)
77,77,11739,445789.9246,3724769.804,0.472422758,20348227,c(445789.924600074, 3724769.80350754)
78,78,11740,445989.9246,3724769.804,0.584981502,20348227,c(445989.924600074, 3724769.80350754)
79,79,11741,446189.9246,3724769.804,0.531656834,20348217,c(446189.924600074, 3724769.80350754)
80,80,11742,446389.9246,3724769.804,0.572022798,20348217,c(446389.924600074, 3724769.80350754)
81,81,11778,453589.9246,3724769.804,0.223817618,20350503,c(453589.924600074, 3724769.80350754)
82,82,11779,453789.9246,3724769.804,0.223467653,20350503,c(453789.924600074, 3724769.80350754)
83,83,11780,453989.9246,3724769.804,0.234166583,20350503,c(453989.924600074, 3724769.80350754)
84,84,11781,454189.9246,3724769.804,0.216678332,20350503,c(454189.924600074, 3724769.80350754)
85,85,11782,454389.9246,3724769.804,0.188141186,20350503,c(454389.924600074, 3724769.80350754)
86,86,11783,454589.9246,3724769.804,0.184061594,20350503,c(454589.924600074, 3724769.80350754)
87,87,12389,438989.9246,3724569.804,0.313958604,20348283,c(438989.924600074, 3724569.80350754)
88,88,12390,439189.9246,3724569.804,0.2610039,20348283,c(439189.924600074, 3724569.80350754)
89,89,12420,445189.9246,3724569.804,0.536336366,20348237,c(445189.924600074, 3724569.80350754)
90,90,12421,445389.9246,3724569.804,0.462243776,20348237,c(445389.924600074, 3724569.80350754)
91,91,12422,445589.9246,3724569.804,0.609059094,20348235,c(445589.924600074, 3724569.80350754)
92,92,12423,445789.9246,3724569.804,0.407569243,20348227,c(445789.924600074, 3724569.80350754)
93,93,12461,453389.9246,3724569.804,0.217438256,20350503,c(453389.924600074, 3724569.80350754)
94,94,12462,453589.9246,3724569.804,0.226327367,20350503,c(453589.924600074, 3724569.80350754)
95,95,13073,438989.9246,3724369.804,0.216148385,20348283,c(438989.924600074, 3724369.80350754)
96,96,13104,445189.9246,3724369.804,0.433586641,20348237,c(445189.924600074, 3724369.80350754)
97,97,13105,445389.9246,3724369.804,0.344825517,20348235,c(445389.924600074, 3724369.80350754)
98,98,13106,445589.9246,3724369.804,0.365313469,20348235,c(445589.924600074, 3724369.80350754)
99,99,13142,452789.9246,3724369.804,0.297210279,20350503,c(452789.924600074, 3724369.80350754)
100,100,13143,452989.9246,3724369.804,0.206679332,20350503,c(452989.924600074, 3724369.80350754)
101,101,13144,453189.9246,3724369.804,0.2159984,20350503,c(453189.924600074, 3724369.80350754)
102,102,13145,453389.9246,3724369.804,0.245555444,20350503,c(453389.924600074, 3724369.80350754)
103,103,13756,438789.9246,3724169.804,0.161723828,20348283,c(438789.924600074, 3724169.80350754)
104,104,13757,438989.9246,3724169.804,0.225447455,20348283,c(438989.924600074, 3724169.80350754)
105,105,13787,444989.9246,3724169.804,0.364813519,20348237,c(444989.924600074, 3724169.80350754)
106,106,13788,445189.9246,3724169.804,0.396280372,20348235,c(445189.924600074, 3724169.80350754)
107,107,13812,449989.9246,3724169.804,0.351554845,20350503,c(449989.924600074, 3724169.80350754)
108,108,13813,450189.9246,3724169.804,0.379022098,20350503,c(450189.924600074, 3724169.80350754)
109,109,13814,450389.9246,3724169.804,0.33529647,20350503,c(450389.924600074, 3724169.80350754)
110,110,13815,450589.9246,3724169.804,0.241045895,20350503,c(450589.924600074, 3724169.80350754)
111,111,13816,450789.9246,3724169.804,0.267063294,20350503,c(450789.924600074, 3724169.80350754)
112,112,13817,450989.9246,3724169.804,0.253964604,20350503,c(450989.924600074, 3724169.80350754)
113,113,13818,451189.9246,3724169.804,0.269073093,20350503,c(451189.924600074, 3724169.80350754)
114,114,13819,451389.9246,3724169.804,0.288221178,20350503,c(451389.924600074, 3724169.80350754)
115,115,13820,451589.9246,3724169.804,0.283071693,20350503,c(451589.924600074, 3724169.80350754)
116,116,13821,451789.9246,3724169.804,0.30239976,20350503,c(451789.924600074, 3724169.80350754)
117,117,13822,451989.9246,3724169.804,0.304009599,20350503,c(451989.924600074, 3724169.80350754)
118,118,13823,452189.9246,3724169.804,0.271072893,20350503,c(452189.924600074, 3724169.80350754)
119,119,13824,452389.9246,3724169.804,0.315418458,20350503,c(452389.924600074, 3724169.80350754)
120,120,13825,452589.9246,3724169.804,0.286061394,20350503,c(452589.924600074, 3724169.80350754)
121,121,13826,452789.9246,3724169.804,0.256414359,20350503,c(452789.924600074, 3724169.80350754)
122,122,14440,438789.9246,3723969.804,0.0750025,20348283,c(438789.924600074, 3723969.80350754)
123,123,14470,444789.9246,3723969.804,0.482571743,20348259,c(444789.924600074, 3723969.80350754)
124,124,14471,444989.9246,3723969.804,0.366123388,20348259,c(444989.924600074, 3723969.80350754)
125,125,14496,449989.9246,3723969.804,0.305589441,20350503,c(449989.924600074, 3723969.80350754)
126,126,14502,451189.9246,3723969.804,0.273462654,20350503,c(451189.924600074, 3723969.80350754)
127,127,14503,451389.9246,3723969.804,0.297610239,20350503,c(451389.924600074, 3723969.80350754)
128,128,14504,451589.9246,3723969.804,0.278042196,20350503,c(451589.924600074, 3723969.80350754)
129,129,14505,451789.9246,3723969.804,0.246045395,20350503,c(451789.924600074, 3723969.80350754)
130,130,15123,438589.9246,3723769.804,0.078062194,20348283,c(438589.924600074, 3723769.80350754)
131,131,15124,438789.9246,3723769.804,0.079492051,20348283,c(438789.924600074, 3723769.80350754)
132,132,15153,444589.9246,3723769.804,0.47850215,20348259,c(444589.924600074, 3723769.80350754)
133,133,15154,444789.9246,3723769.804,0.351944806,20348259,c(444789.924600074, 3723769.80350754)
134,134,15179,449789.9246,3723769.804,0.362443756,20350503,c(449789.924600074, 3723769.80350754)
135,135,15180,449989.9246,3723769.804,0.301119888,20350503,c(449989.924600074, 3723769.80350754)
136,136,15807,438589.9246,3723569.804,0.078392161,20348283,c(438589.924600074, 3723569.80350754)
137,137,15836,444389.9246,3723569.804,0.375262474,20348259,c(444389.924600074, 3723569.80350754)
138,138,15837,444589.9246,3723569.804,0.389811019,20348259,c(444589.924600074, 3723569.80350754)
139,139,15862,449589.9246,3723569.804,0.357764224,20350503,c(449589.924600074, 3723569.80350754)
140,140,15863,449789.9246,3723569.804,0.30589941,20350503,c(449789.924600074, 3723569.80350754)
141,141,15897,456589.9246,3723569.804,0.233966603,20348257,c(456589.924600074, 3723569.80350754)
142,142,15898,456789.9246,3723569.804,0.262693731,20348257,c(456789.924600074, 3723569.80350754)
143,143,16490,438389.9246,3723369.804,0.10609939,20348283,c(438389.924600074, 3723369.80350754)
144,144,16491,438589.9246,3723369.804,0.096460354,20348283,c(438589.924600074, 3723369.80350754)
145,145,16518,443989.9246,3723369.804,0.522137786,20348259,c(443989.924600074, 3723369.80350754)
146,146,16519,444189.9246,3723369.804,0.41439856,20348259,c(444189.924600074, 3723369.80350754)
147,147,16520,444389.9246,3723369.804,0.384571543,20348259,c(444389.924600074, 3723369.80350754)
148,148,16546,449589.9246,3723369.804,0.269653035,20350503,c(449589.924600074, 3723369.80350754)
149,149,16580,456389.9246,3723369.804,0.245835416,20348257,c(456389.924600074, 3723369.80350754)
150,150,16581,456589.9246,3723369.804,0.271232877,20348257,c(456589.924600074, 3723369.80350754)
151,151,17174,438389.9246,3723169.804,0.061163884,20348283,c(438389.924600074, 3723169.80350754)
152,152,17201,443789.9246,3723169.804,0.470812919,20348259,c(443789.924600074, 3723169.80350754)
153,153,17202,443989.9246,3723169.804,0.401249875,20348259,c(443989.924600074, 3723169.80350754)
154,154,17229,449389.9246,3723169.804,0.410228977,20348247,c(449389.924600074, 3723169.80350754)
155,155,17230,449589.9246,3723169.804,0.292350765,20350503,c(449589.924600074, 3723169.80350754)
156,156,17262,455989.9246,3723169.804,0.269693031,20348257,c(455989.924600074, 3723169.80350754)
157,157,17263,456189.9246,3723169.804,0.277712229,20348257,c(456189.924600074, 3723169.80350754)
158,158,17264,456389.9246,3723169.804,0.283351665,20348257,c(456389.924600074, 3723169.80350754)
159,159,17857,438189.9246,3722969.804,0.060573943,20348283,c(438189.924600074, 3722969.80350754)
160,160,17858,438389.9246,3722969.804,0.251614839,20348283,c(438389.924600074, 3722969.80350754)
161,161,17884,443589.9246,3722969.804,0.554724528,20348259,c(443589.924600074, 3722969.80350754)
162,162,17885,443789.9246,3722969.804,0.385451455,20348259,c(443789.924600074, 3722969.80350754)
163,163,17912,449189.9246,3722969.804,0.475392461,20348247,c(449189.924600074, 3722969.80350754)
164,164,17913,449389.9246,3722969.804,0.320567943,20348247,c(449389.924600074, 3722969.80350754)
165,165,17945,455789.9246,3722969.804,0.264593541,20348257,c(455789.924600074, 3722969.80350754)
166,166,17946,455989.9246,3722969.804,0.282111789,20348257,c(455989.924600074, 3722969.80350754)
167,167,18540,437989.9246,3722769.804,0.233656634,20348283,c(437989.924600074, 3722769.80350754)
168,168,18541,438189.9246,3722769.804,0.165893411,20348283,c(438189.924600074, 3722769.80350754)
169,169,18567,443389.9246,3722769.804,0.541245875,20348259,c(443389.924600074, 3722769.80350754)
170,170,18568,443589.9246,3722769.804,0.513928607,20348259,c(443589.924600074, 3722769.80350754)
171,171,18594,448789.9246,3722769.804,0.202519748,20348247,c(448789.924600074, 3722769.80350754)
172,172,18595,448989.9246,3722769.804,0.367073293,20348247,c(448989.924600074, 3722769.80350754)
173,173,18596,449189.9246,3722769.804,0.293440656,20348247,c(449189.924600074, 3722769.80350754)
174,174,18625,454989.9246,3722769.804,0.338576142,20348257,c(454989.924600074, 3722769.80350754)
175,175,18626,455189.9246,3722769.804,0.290510949,20348257,c(455189.924600074, 3722769.80350754)
176,176,18627,455389.9246,3722769.804,0.284071593,20348257,c(455389.924600074, 3722769.80350754)
177,177,18628,455589.9246,3722769.804,0.260273973,20348257,c(455589.924600074, 3722769.80350754)
178,178,18629,455789.9246,3722769.804,0.26650335,20348257,c(455789.924600074, 3722769.80350754)
179,179,19223,437789.9246,3722569.804,0.267693231,20348283,c(437789.924600074, 3722569.80350754)
180,180,19224,437989.9246,3722569.804,0.209159084,20348283,c(437989.924600074, 3722569.80350754)
181,181,19250,443189.9246,3722569.804,0.530476952,20348259,c(443189.924600074, 3722569.80350754)
182,182,19251,443389.9246,3722569.804,0.456184382,20348259,c(443389.924600074, 3722569.80350754)
183,183,19278,448789.9246,3722569.804,0.262653735,20348295,c(448789.924600074, 3722569.80350754)
184,184,19309,454989.9246,3722569.804,0.345835416,20348257,c(454989.924600074, 3722569.80350754)
185,185,19907,437789.9246,3722369.804,0.156724328,20348283,c(437789.924600074, 3722369.80350754)
186,186,19934,443189.9246,3722369.804,0.453314669,20348259,c(443189.924600074, 3722369.80350754)
187,187,19961,448589.9246,3722369.804,0.475652435,20348295,c(448589.924600074, 3722369.80350754)
188,188,19962,448789.9246,3722369.804,0.450084992,20348295,c(448789.924600074, 3722369.80350754)
189,189,19992,454789.9246,3722369.804,0.416228377,20348257,c(454789.924600074, 3722369.80350754)
190,190,19993,454989.9246,3722369.804,0.340325967,20348257,c(454989.924600074, 3722369.80350754)
191,191,20590,437589.9246,3722169.804,0.269313069,20348283,c(437589.924600074, 3722169.80350754)
192,192,20591,437789.9246,3722169.804,0.210178982,20348283,c(437789.924600074, 3722169.80350754)
193,193,20616,442789.9246,3722169.804,0.412778722,20348259,c(442789.924600074, 3722169.80350754)
194,194,20617,442989.9246,3722169.804,0.473242676,20348259,c(442989.924600074, 3722169.80350754)
195,195,20618,443189.9246,3722169.804,0.381251875,20348259,c(443189.924600074, 3722169.80350754)
196,196,20644,448389.9246,3722169.804,0.255674433,20348295,c(448389.924600074, 3722169.80350754)
197,197,20645,448589.9246,3722169.804,0.708089191,20348295,c(448589.924600074, 3722169.80350754)
198,198,20675,454589.9246,3722169.804,0.472962704,20348257,c(454589.924600074, 3722169.80350754)
199,199,20676,454789.9246,3722169.804,0.389941006,20348257,c(454789.924600074, 3722169.80350754)
200,200,20691,457789.9246,3722169.804,0.102759724,20348385,c(457789.924600074, 3722169.80350754)
201,201,21274,437589.9246,3721969.804,0.239156084,20348283,c(437589.924600074, 3721969.80350754)
202,202,21299,442589.9246,3721969.804,0.426887311,20348269,c(442589.924600074, 3721969.80350754)
203,203,21300,442789.9246,3721969.804,0.510988901,20348259,c(442789.924600074, 3721969.80350754)
204,204,21311,444989.9246,3721969.804,0.396350365,20348363,c(444989.924600074, 3721969.80350754)
205,205,21328,448389.9246,3721969.804,0.228667133,20348295,c(448389.924600074, 3721969.80350754)
206,206,21329,448589.9246,3721969.804,0.436916308,20348295,c(448589.924600074, 3721969.80350754)
207,207,21355,453789.9246,3721969.804,0.316018398,20350505,c(453789.924600074, 3721969.80350754)
208,208,21356,453989.9246,3721969.804,0.422737726,20350505,c(453989.924600074, 3721969.80350754)
209,209,21357,454189.9246,3721969.804,0.373292671,20350505,c(454189.924600074, 3721969.80350754)
210,210,21358,454389.9246,3721969.804,0.234536546,20350505,c(454389.924600074, 3721969.80350754)
211,211,21359,454589.9246,3721969.804,0.306789321,20350505,c(454589.924600074, 3721969.80350754)
212,212,21375,457789.9246,3721969.804,0.109879012,20348385,c(457789.924600074, 3721969.80350754)
213,213,21956,437189.9246,3721769.804,0.261183882,20348283,c(437189.924600074, 3721769.80350754)
214,214,21957,437389.9246,3721769.804,0.296840316,20348283,c(437389.924600074, 3721769.80350754)
215,215,21958,437589.9246,3721769.804,0.257774223,20348283,c(437589.924600074, 3721769.80350754)
216,216,21982,442389.9246,3721769.804,0.525717428,20348307,c(442389.924600074, 3721769.80350754)
217,217,21983,442589.9246,3721769.804,0.547875212,20348269,c(442589.924600074, 3721769.80350754)
218,218,21994,444789.9246,3721769.804,0.392730727,20348363,c(444789.924600074, 3721769.80350754)
219,219,21995,444989.9246,3721769.804,0.442715728,20348363,c(444989.924600074, 3721769.80350754)
220,220,22012,448389.9246,3721769.804,0.232026797,20348295,c(448389.924600074, 3721769.80350754)
221,221,22037,453389.9246,3721769.804,0.298320168,20350505,c(453389.924600074, 3721769.80350754)
222,222,22038,453589.9246,3721769.804,0.344275572,20350505,c(453589.924600074, 3721769.80350754)
223,223,22039,453789.9246,3721769.804,0.360143986,20350505,c(453789.924600074, 3721769.80350754)
224,224,22059,457789.9246,3721769.804,0.120087991,20348385,c(457789.924600074, 3721769.80350754)
225,225,22640,437189.9246,3721569.804,0.231856814,20348283,c(437189.924600074, 3721569.80350754)
226,226,22666,442389.9246,3721569.804,0.578552145,20348307,c(442389.924600074, 3721569.80350754)
227,227,22678,444789.9246,3721569.804,0.30169983,20348363,c(444789.924600074, 3721569.80350754)
228,228,22696,448389.9246,3721569.804,0.437186281,20348295,c(448389.924600074, 3721569.80350754)
229,229,22697,448589.9246,3721569.804,0.530306969,20348295,c(448589.924600074, 3721569.80350754)
230,230,22721,453389.9246,3721569.804,0.247905209,20350505,c(453389.924600074, 3721569.80350754)
231,231,22743,457789.9246,3721569.804,0.113438656,20348385,c(457789.924600074, 3721569.80350754)
232,232,22756,460389.9246,3721569.804,0.13119688,20348321,c(460389.924600074, 3721569.80350754)
233,233,23323,436989.9246,3721369.804,0.236066393,20348283,c(436989.924600074, 3721369.80350754)
234,234,23324,437189.9246,3721369.804,0.216358364,20348283,c(437189.924600074, 3721369.80350754)
235,235,23349,442189.9246,3721369.804,0.517208279,20348307,c(442189.924600074, 3721369.80350754)
236,236,23350,442389.9246,3721369.804,0.54259574,20348307,c(442389.924600074, 3721369.80350754)
237,237,23362,444789.9246,3721369.804,0.09890011,20348363,c(444789.924600074, 3721369.80350754)
238,238,23381,448589.9246,3721369.804,0.662663734,20348295,c(448589.924600074, 3721369.80350754)
239,239,23404,453189.9246,3721369.804,0.381291871,20350505,c(453189.924600074, 3721369.80350754)
240,240,23405,453389.9246,3721369.804,0.285071493,20350505,c(453389.924600074, 3721369.80350754)
241,241,23427,457789.9246,3721369.804,0.090570943,20348385,c(457789.924600074, 3721369.80350754)
242,242,23440,460389.9246,3721369.804,0.135136486,20348321,c(460389.924600074, 3721369.80350754)
243,243,23613,494989.9246,3721369.804,0.305119488,22545153,c(494989.924600074, 3721369.80350754)
244,244,24005,436589.9246,3721169.804,0.255084492,20350507,c(436589.924600074, 3721169.80350754)
245,245,24006,436789.9246,3721169.804,0.259954005,20350507,c(436789.924600074, 3721169.80350754)
246,246,24007,436989.9246,3721169.804,0.234156584,20348283,c(436989.924600074, 3721169.80350754)
247,247,24032,441989.9246,3721169.804,0.547365263,20348307,c(441989.924600074, 3721169.80350754)
248,248,24033,442189.9246,3721169.804,0.496670333,20348307,c(442189.924600074, 3721169.80350754)
249,249,24045,444589.9246,3721169.804,0.092490751,20348363,c(444589.924600074, 3721169.80350754)
250,250,24046,444789.9246,3721169.804,0.145185481,20348363,c(444789.924600074, 3721169.80350754)
251,251,24064,448389.9246,3721169.804,0.524707529,20348295,c(448389.924600074, 3721169.80350754)
252,252,24065,448589.9246,3721169.804,0.443185681,20348295,c(448589.924600074, 3721169.80350754)
253,253,24087,452989.9246,3721169.804,0.381351865,20350505,c(452989.924600074, 3721169.80350754)
254,254,24088,453189.9246,3721169.804,0.281611839,20350505,c(453189.924600074, 3721169.80350754)
255,255,24111,457789.9246,3721169.804,0.09730027,20348385,c(457789.924600074, 3721169.80350754)
256,256,24112,457989.9246,3721169.804,0.116568343,20348385,c(457989.924600074, 3721169.80350754)
257,257,24123,460189.9246,3721169.804,0.138936106,20348321,c(460189.924600074, 3721169.80350754)
258,258,24124,460389.9246,3721169.804,0.177422258,20348321,c(460389.924600074, 3721169.80350754)
259,259,24129,461389.9246,3721169.804,0.103889611,20348329,c(461389.924600074, 3721169.80350754)
260,260,24130,461589.9246,3721169.804,0.083911609,20348329,c(461589.924600074, 3721169.80350754)
261,261,24296,494789.9246,3721169.804,0.271452855,22545153,c(494789.924600074, 3721169.80350754)
262,262,24297,494989.9246,3721169.804,0.349125087,22545153,c(494989.924600074, 3721169.80350754)
263,263,24688,436389.9246,3720969.804,0.222157784,20350507,c(436389.924600074, 3720969.80350754)
264,264,24689,436589.9246,3720969.804,0.058444156,20350507,c(436589.924600074, 3720969.80350754)
265,265,24716,441989.9246,3720969.804,0.486521348,20348307,c(441989.924600074, 3720969.80350754)
266,266,24717,442189.9246,3720969.804,0.527277272,20348307,c(442189.924600074, 3720969.80350754)
267,267,24727,444189.9246,3720969.804,0.065783422,20348363,c(444189.924600074, 3720969.80350754)
268,268,24728,444389.9246,3720969.804,0.10089991,20348363,c(444389.924600074, 3720969.80350754)
269,269,24729,444589.9246,3720969.804,0.19730027,20348363,c(444589.924600074, 3720969.80350754)
270,270,24748,448389.9246,3720969.804,0.518758124,20348295,c(448389.924600074, 3720969.80350754)
271,271,24770,452789.9246,3720969.804,0.312468753,20348351,c(452789.924600074, 3720969.80350754)
272,272,24771,452989.9246,3720969.804,0.208769123,20348351,c(452989.924600074, 3720969.80350754)
273,273,24796,457989.9246,3720969.804,0.114188581,20348385,c(457989.924600074, 3720969.80350754)
274,274,24807,460189.9246,3720969.804,0.17640236,20348321,c(460189.924600074, 3720969.80350754)
275,275,24812,461189.9246,3720969.804,0.140085991,20348329,c(461189.924600074, 3720969.80350754)
276,276,24813,461389.9246,3720969.804,0.09320068,20348329,c(461389.924600074, 3720969.80350754)
277,277,24944,487589.9246,3720969.804,0.208379162,22545181,c(487589.924600074, 3720969.80350754)
278,278,24980,494789.9246,3720969.804,0.285061494,22545153,c(494789.924600074, 3720969.80350754)
279,279,24996,497989.9246,3720969.804,0.287941206,22545147,c(497989.924600074, 3720969.80350754)
280,280,25371,436189.9246,3720769.804,0.113118688,20350507,c(436189.924600074, 3720769.80350754)
281,281,25372,436389.9246,3720769.804,0.088411159,20350507,c(436389.924600074, 3720769.80350754)
282,282,25400,441989.9246,3720769.804,0.689331067,20348307,c(441989.924600074, 3720769.80350754)
283,283,25401,442189.9246,3720769.804,0.599590041,20348307,c(442189.924600074, 3720769.80350754)
284,284,25410,443989.9246,3720769.804,0.085591441,20348363,c(443989.924600074, 3720769.80350754)
285,285,25411,444189.9246,3720769.804,0.075322468,20348363,c(444189.924600074, 3720769.80350754)
286,286,25431,448189.9246,3720769.804,0.46880312,20348295,c(448189.924600074, 3720769.80350754)
287,287,25432,448389.9246,3720769.804,0.494060594,20348295,c(448389.924600074, 3720769.80350754)
288,288,25454,452789.9246,3720769.804,0.278212179,20348351,c(452789.924600074, 3720769.80350754)
289,289,25480,457989.9246,3720769.804,0.109289071,20348385,c(457989.924600074, 3720769.80350754)
290,290,25491,460189.9246,3720769.804,0.194190581,20348321,c(460189.924600074, 3720769.80350754)
