,OID_,cells,x,y,MeanProb,COMID,geometry,
1,1,144,452389.9246,3728169.804,0.274072593,20348187,c(452389.924600074, 3728169.80350754)
2,2,145,452589.9246,3728169.804,0.375222478,20348187,c(452589.924600074, 3728169.80350754)
3,3,829,452589.9246,3727969.804,0.3469953,20348187,c(452589.924600074, 3727969.80350754)
4,4,1512,452389.9246,3727769.804,0.365933407,20348197,c(452389.924600074, 3727769.80350754)
5,5,1513,452589.9246,3727769.804,0.318478152,20348197,c(452589.924600074, 3727769.80350754)
6,6,2196,452389.9246,3727569.804,0.390990901,20348197,c(452389.924600074, 3727569.80350754)
7,7,2879,452189.9246,3727369.804,0.305419458,20348197,c(452189.924600074, 3727369.80350754)
8,8,2880,452389.9246,3727369.804,0.346785321,20348197,c(452389.924600074, 3727369.80350754)
9,9,2891,454589.9246,3727369.804,0.244775522,20348191,c(454589.924600074, 3727369.80350754)
10,10,2892,454789.9246,3727369.804,0.097540246,20348191,c(454789.924600074, 3727369.80350754)
11,11,3563,452189.9246,3727169.804,0.341525847,20348197,c(452189.924600074, 3727169.80350754)
12,12,3569,453389.9246,3727169.804,0.185931407,20350501,c(453389.924600074, 3727169.80350754)
13,13,3570,453589.9246,3727169.804,0.184111589,20350501,c(453589.924600074, 3727169.80350754)
14,14,3571,453789.9246,3727169.804,0.190820918,20350501,c(453789.924600074, 3727169.80350754)
15,15,3572,453989.9246,3727169.804,0.214168583,20350501,c(453989.924600074, 3727169.80350754)
16,16,3573,454189.9246,3727169.804,0.174062594,20350501,c(454189.924600074, 3727169.80350754)
17,17,3574,454389.9246,3727169.804,0.199030097,20350501,c(454389.924600074, 3727169.80350754)
18,18,3575,454589.9246,3727169.804,0.176342366,20350501,c(454589.924600074, 3727169.80350754)
19,19,3576,454789.9246,3727169.804,0.087621238,20348191,c(454789.924600074, 3727169.80350754)
20,20,3577,454989.9246,3727169.804,0.19850015,20348191,c(454989.924600074, 3727169.80350754)
21,21,4246,451989.9246,3726969.804,0.312748725,20348197,c(451989.924600074, 3726969.80350754)
22,22,4247,452189.9246,3726969.804,0.32539746,20348197,c(452189.924600074, 3726969.80350754)
23,23,4250,452789.9246,3726969.804,0.247625237,20348195,c(452789.924600074, 3726969.80350754)
24,24,4251,452989.9246,3726969.804,0.23439656,20348195,c(452989.924600074, 3726969.80350754)
25,25,4252,453189.9246,3726969.804,0.233006699,20348195,c(453189.924600074, 3726969.80350754)
26,26,4253,453389.9246,3726969.804,0.245115488,20348195,c(453389.924600074, 3726969.80350754)
27,27,4261,454989.9246,3726969.804,0.21369863,20348191,c(454989.924600074, 3726969.80350754)
28,28,4930,451989.9246,3726769.804,0.30649935,20348197,c(451989.924600074, 3726769.80350754)
29,29,4932,452389.9246,3726769.804,0.22049795,20348195,c(452389.924600074, 3726769.80350754)
30,30,4933,452589.9246,3726769.804,0.239706029,20348195,c(452589.924600074, 3726769.80350754)
31,31,4934,452789.9246,3726769.804,0.256514349,20348195,c(452789.924600074, 3726769.80350754)
32,32,5614,451989.9246,3726569.804,0.280071993,20348197,c(451989.924600074, 3726569.80350754)
33,33,5615,452189.9246,3726569.804,0.229977002,20348195,c(452189.924600074, 3726569.80350754)
34,34,5616,452389.9246,3726569.804,0.231666833,20348195,c(452389.924600074, 3726569.80350754)
35,35,6298,451989.9246,3726369.804,0.23549645,20348199,c(451989.924600074, 3726369.80350754)
36,36,6299,452189.9246,3726369.804,0.206139386,20348195,c(452189.924600074, 3726369.80350754)
37,37,6968,449189.9246,3726169.804,0.079432057,20348207,c(449189.924600074, 3726169.80350754)
38,38,6969,449389.9246,3726169.804,0.166823318,20348207,c(449389.924600074, 3726169.80350754)
39,39,6970,449589.9246,3726169.804,0.220287971,20348207,c(449589.924600074, 3726169.80350754)
40,40,6971,449789.9246,3726169.804,0.201179882,20348207,c(449789.924600074, 3726169.80350754)
41,41,6972,449989.9246,3726169.804,0.2209979,20348207,c(449989.924600074, 3726169.80350754)
42,42,6973,450189.9246,3726169.804,0.215728427,20348207,c(450189.924600074, 3726169.80350754)
43,43,6974,450389.9246,3726169.804,0.201019898,20348205,c(450389.924600074, 3726169.80350754)
44,44,6975,450589.9246,3726169.804,0.250414959,20348205,c(450589.924600074, 3726169.80350754)
45,45,6976,450789.9246,3726169.804,0.22819718,20348205,c(450789.924600074, 3726169.80350754)
46,46,6977,450989.9246,3726169.804,0.211458854,20348205,c(450989.924600074, 3726169.80350754)
47,47,6978,451189.9246,3726169.804,0.182451755,20348205,c(451189.924600074, 3726169.80350754)
48,48,6979,451389.9246,3726169.804,0.243615638,20348205,c(451389.924600074, 3726169.80350754)
49,49,6980,451589.9246,3726169.804,0.220207979,20348205,c(451589.924600074, 3726169.80350754)
50,50,6981,451789.9246,3726169.804,0.210548945,20348199,c(451789.924600074, 3726169.80350754)
51,51,6982,451989.9246,3726169.804,0.192580742,20348199,c(451989.924600074, 3726169.80350754)
52,52,7649,448589.9246,3725969.804,0.163693631,20348207,c(448589.924600074, 3725969.80350754)
53,53,7650,448789.9246,3725969.804,0.134026597,20348207,c(448789.924600074, 3725969.80350754)
54,54,7651,448989.9246,3725969.804,0.307329267,20348207,c(448989.924600074, 3725969.80350754)
55,55,7652,449189.9246,3725969.804,0.22129787,20348207,c(449189.924600074, 3725969.80350754)
56,56,8331,448189.9246,3725769.804,0.400829917,20348217,c(448189.924600074, 3725769.80350754)
57,57,8332,448389.9246,3725769.804,0.214088591,20348217,c(448389.924600074, 3725769.80350754)
58,58,8333,448589.9246,3725769.804,0.279332067,20348217,c(448589.924600074, 3725769.80350754)
59,59,9013,447789.9246,3725569.804,0.475222478,20348217,c(447789.924600074, 3725569.80350754)
60,60,9014,447989.9246,3725569.804,0.3870013,20348217,c(447989.924600074, 3725569.80350754)
61,61,9015,448189.9246,3725569.804,0.320657934,20348217,c(448189.924600074, 3725569.80350754)
62,62,9693,446989.9246,3725369.804,0.579242076,20348217,c(446989.924600074, 3725369.80350754)
63,63,9694,447189.9246,3725369.804,0.7580042,20348217,c(447189.924600074, 3725369.80350754)
