"","hydro","biol.endpoints","Condition","hydro.endpoints","thresholds","comb_code","PredictedProbability","Type"
"1",197.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.21786768671087,"Positive"
"2",38,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.786357425531336,"Positive"
"3",24.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.820771340139775,"Positive"
"4",148.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.381036238717973,"Positive"
"5",130,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.453692978159235,"Positive"
"6",132,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.445683416454163,"Positive"
"7",56,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.733373607949267,"Positive"
"8",5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.862612159441005,"Positive"
"9",150.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.373432574740305,"Positive"
"10",151,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.37154122735759,"Positive"
"11",18,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.835727210260864,"Positive"
"12",3,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.866403188921612,"Positive"
"13",0,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"14",0,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"15",0,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"16",1,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.870105362347275,"Positive"
"17",156.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.351006268483007,"Positive"
"18",0.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871017163730411,"Positive"
"19",161.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.33280276613039,"Positive"
"20",166,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.316833821543601,"Positive"
"21",10.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.851719174729179,"Positive"
"22",9,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.854758852010658,"Positive"
"23",163,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.327434670061975,"Positive"
"24",0,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"25",0.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871017163730411,"Positive"
"26",0,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"27",17,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.837936922580299,"Positive"
"28",164,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.323880757525074,"Positive"
"29",84.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.634270523341897,"Positive"
"30",162.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.329219109540408,"Positive"
"31",126,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.469780115261447,"Positive"
"32",162.5,"CSCI",0,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.329219109540408,"Positive"
"33",124,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.477849415830431,"Positive"
"34",0.5,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871017163730411,"Positive"
"35",48.5,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.756425635705729,"Positive"
"36",57,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.730197242688878,"Positive"
"37",163.5,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.325655206982699,"Positive"
"38",0,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"39",166,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.316833821543601,"Positive"
"40",43.5,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.771023353209857,"Positive"
"41",0,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"42",63,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.710645982619856,"Positive"
"43",0,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"44",137,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.425791248063395,"Positive"
"45",4,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.864518855831248,"Positive"
"46",163,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.327434670061975,"Positive"
"47",18,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.835727210260864,"Positive"
"48",152.5,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.36589094905271,"Positive"
"49",1,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.870105362347275,"Positive"
"50",0,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"51",0,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"52",1.5,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.869188083317446,"Positive"
"53",80,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.650992945216993,"Positive"
"54",2,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.868265307432386,"Positive"
"55",148.5,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.381036238717973,"Positive"
"56",0,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
"57",0,"CSCI",1,"DS_Dur_WS","0.63","CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive"
