"","StationCode","SampleID","SampleDate","D_ASCI","H_ASCI","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_06/14/10_2",NA,0.771153675,0.784936724,0,-0.000115777471742,-0.000113636705246561,0,NA,NA,NA,-0.000116726446509571,0,-0.000112282302957487,3.59e-07,0,0,-8.50995907247303e-05,-0.000113015074909361,0
"2","402BA0079","402BA0079_05/28/08_1",NA,0.767392935,0.765032889,-3,0.00628374206392917,-0.00061932745617118,-5,NA,NA,NA,0.0481292593926485,-6,0.0954661282385344,7.76e-08,0,0.5,0.0338548738328265,0.0233835949316349,-0.5
"3","402BA0095","402BA0095_05/29/08_1",NA,0.935744404,1.034711242,0,-0.000315922619673908,-0.000287238347445452,0,NA,NA,NA,2.1637866699724e-08,0,-0.00030054787022392,6.09e-06,0,0,-0.000149935677337232,-0.000916802198639729,0
"4","402BA0143","402BA0143_05/21/08_1",NA,0.91990179,0.946687754,-159,-5.62044360235692e-05,-0.00133170799559618,-36,NA,NA,NA,0.0802718243717215,-3,0.0270479884187215,4.35e-08,0,0,-0.0030485701288613,0.000550328539530305,-3
"5","402BA0287","402BA0287_06/09/08_2",NA,NA,0.971804075,0,-8.75525300951514e-05,-8.84787933401342e-05,0,NA,NA,NA,-7.5931462145182e-05,0,-8.83336280192474e-05,3.02e-07,0,0,0.00609893010938362,0.00334491514590326,0
"6","402BA0335","402BA0335_05/27/08_2",NA,0.615752098,0.666458476,-97,0.0717705747134301,0.0232560984258906,-5,-5,0.0521072847494622,0,0.0106189406104291,-4,0.0145721151369507,0.00026376,0,0,0.0231723175314351,0.0215641214650938,-3
"7","403BA0015","403BA0015_05/19/08_1",NA,1.115393962,1.182164104,0,-3.07525025127354e-08,-5.50809928473481e-05,0,NA,NA,NA,-6.92784652280334e-05,0,-5.01321697592205e-05,-1.08e-06,0,0,-4.76247723079801e-08,-5.93247200121168e-05,0
"8","403BA0027","403BA0027_06/18/14_1",NA,1.02367677,0.945257169,0,-0.000135000939936587,-0.000198213534714178,-2,NA,NA,NA,-0.000199458589005983,0,-0.000199814709955163,1.92e-06,0,0,-0.00020461496360035,-0.000201576601864465,0
"9","403BA0068","403BA0068_05/14/08_1",NA,0.6069514,0.705523667,-11,0.0030991486322666,0.00662996385922985,-9,-1.5,1.06739735997786,-31.5,0.0860670107759219,-1,0.0519323452814331,-8.42e-06,0,-4,0,0.0213537295645088,-22
"10","403BA0136","403BA0136_06/17/14_1",NA,0.878007702,0.847510867,0,-0.000792806992933924,-0.00134601562682928,0,NA,NA,NA,0.000264544797599404,0,-0.000128136565861992,-7.16e-06,0,0,0,0.00969397452955715,-4
"11","403BA0171","403BA0171_05/19/08_1",NA,0.961567892,0.946897081,-1,-0.00090494394676923,-0.000908371887608119,-4,NA,NA,NA,-0.000870492705734242,0,-0.000904890223137901,1.84e-07,0,0,0.0335780860993765,0.0181486131720124,0
"12","403BA0960","403BA0960_05/21/08_1",NA,0.950553019,0.997293845,-2,0,0,0,NA,NA,NA,0.0020086666240001,-72,0.00340000000000007,6.4e-06,0,1,0.5625,0.5625,-1
"13","403CE0188","403CE0188_2016-05-26 00:00:00_1",2016-05-26,0.820410113365769,0.785250713449318,-0.5,0.0494874783920092,0.0144466054773079,-0.5,NA,NA,NA,0.00573492805102843,-7,0.0048895700964683,0.000314215,0,0,0.0281384929459882,-0.00215736174120875,-1
