"","var","rel.inf","Flow.Metric.Name","hydro.endpoints","Flow.Component"
"1","d_peak_2",29.3358117434689,"2-year flood magnitude","Peak_2","Peak flow"
"2","d_fa_mag",10.3429095000803,"Fall pulse magnitude","FA_Mag","Fall pulse flow"
"3","d_sp_mag",9.88098508551827,"Spring recession magnitude","SP_Mag","Spring recession flow"
"4","d_wet_bfl_mag_50",9.8496942588821,"Wet-season median baseflow","Wet_BFL_Mag_50","Wet-season baseflow"
"5","d_peak_10",9.54028660283774,"10-year flood magnitude","Peak_10","Peak flow"
"6","d_ds_mag_50",9.18958261778375,"Dry-season median baseflow","DS_Mag_50","Dry-season baseflow"
"7","delta_q99",8.28819516241595,"Magnitude of largest annual storm","Q99","Peak flow"
"8","d_peak_5",6.97711204663469,"5-year flood magnitude","Peak_5","Peak flow"
"9","d_wet_bfl_mag_10",6.59542298237828,"Wet-season low baseflow","Wet_BFL_Mag_10","Wet-season baseflow"
